"","model","target","theta","lambda","rmse"
"1",1,1,8,0.2,0.314559301940664
"2",1,2,8,0.1,0.106359725955691
"3",1,3,1,0.01,0.186142757116894
"4",1,4,0.5,0.01,0.30910483572297
"5",1,5,6,0.05,0.186236330606778
"6",2,1,8,0.1,0.118221239233733
"7",2,2,8,0.2,0.096711482802961
"8",2,3,8,0.2,0.173730189825663
"9",2,4,6,0.1,0.24260346842133
"10",2,5,8,0.05,0.156311369002751
"11",3,1,8,0.05,0.131966875979555
"12",3,2,6,0,0.137284207172869
"13",3,3,8,0,0.153216208840387
"14",3,4,8,0.2,0.125979615974957
"15",3,5,8,0.1,0.15937024355357
"16",4,1,3,0.01,0.153067631060561
"17",4,2,8,2,0.123818193811872
"18",4,3,6,0.05,0.243581276941548
"19",4,4,0.5,0.01,0.380646126622036
"20",4,5,8,0.05,0.291237390587193
"21",5,1,0.5,0.01,0.139287290425369
"22",5,2,0.1,0,0.150486941194693
"23",5,3,8,0.1,0.197141385336089
"24",5,4,8,0.05,0.113267294461393
"25",5,5,8,0.01,0.163150169262001
"26",6,1,3,0,0.134808146272701
"27",6,2,8,0.1,0.131713624593577
"28",6,3,3,0,0.0938186286355509
"29",6,4,8,0.05,0.176036341887069
"30",6,5,8,0.01,0.143610276107584
"31",7,1,3,0,0.123834678225105
"32",7,2,8,0.2,0.140235402006507
"33",7,3,8,0,0.146350863064343
"34",7,4,6,0.01,0.109941033663642
"35",7,5,8,0.2,0.185871511265063
"36",8,1,8,0.1,0.108853568961135
"37",8,2,0.5,0.01,0.200131409191674
"38",8,3,8,0.01,0.107389061852406
"39",8,4,8,0.05,0.141435164262413
"40",8,5,8,0.1,0.156177799386625
"41",9,1,8,0,0.1392301625582
"42",9,2,8,1,0.154576635361987
"43",9,3,6,0.05,0.169916474648334
"44",9,4,8,0.05,0.0998931463307451
"45",9,5,6,0.05,0.166784898510863
"46",10,1,6,0.05,0.104686816523428
"47",10,2,8,0,0.134026128747087
"48",10,3,4,0,0.1116615737218
"49",10,4,8,0.05,0.126629948025362
"50",10,5,8,0.05,0.166957309719984
"51",11,1,3,0.01,0.101057277207518
"52",11,2,8,0.1,0.146964364852413
"53",11,3,8,0.1,0.167357616947233
"54",11,4,8,0.1,0.151508086530123
"55",11,5,8,0.1,0.16629285354049
"56",12,1,8,0.1,0.218100723021927
"57",12,2,8,0.2,0.212750136327309
