"","model","target","theta","lambda","rmse"
"1",1,1,0,0,0.316754981791629
"2",1,2,8,0.05,0.110999701002305
"3",1,3,1,0,0.186264879962125
"4",1,4,0.5,0.01,0.309127475617387
"5",1,5,8,0.05,0.187179866227614
"6",2,1,8,0.01,0.121156510781678
"7",2,2,8,0.1,0.099152328996087
"8",2,3,8,0.2,0.174481982236646
"9",2,4,4,0.01,0.244527556268213
"10",2,5,8,0.01,0.15648521941848
"11",3,1,8,0.05,0.132047730792042
"12",3,2,6,0,0.137284207172869
"13",3,3,8,0,0.153216208840387
"14",3,4,8,0.2,0.128563068501319
"15",3,5,8,0.1,0.160112646997572
"16",4,1,3,0.01,0.152737159684846
"17",4,2,8,1,0.123818193811872
"18",4,3,4,0,0.244936089433632
"19",4,4,0.1,0.01,0.380639873230094
"20",4,5,8,0.01,0.292800738724845
"21",5,1,0.1,0.01,0.138678090156803
"22",5,2,0.1,0,0.150486941194693
"23",5,3,8,0.05,0.19860955892507
"24",5,4,4,0.01,0.114060377546409
"25",5,5,8,0,0.163574359817055
"26",6,1,3,0,0.134808146272701
"27",6,2,8,0.05,0.132773750457034
"28",6,3,3,0,0.0938186286355509
"29",6,4,8,0.05,0.176966459163165
"30",6,5,8,0,0.143759966178337
"31",7,1,3,0,0.123834678225105
"32",7,2,3,0.05,0.140365329980352
"33",7,3,8,0,0.146350863064343
"34",7,4,8,0.05,0.109252622012319
"35",7,5,8,0.2,0.184350522253634
"36",8,1,4,0.05,0.110515101592517
"37",8,2,0.5,0.01,0.200966780244997
"38",8,3,8,0.01,0.106656628239797
"39",8,4,6,0,0.14454118266857
"40",8,5,8,0.05,0.158445016869262
"41",9,1,8,0,0.1392301625582
"42",9,2,8,0.5,0.154576635361987
"43",9,3,6,0.05,0.169883223102216
"44",9,4,8,0.01,0.1008574200209
"45",9,5,6,0.01,0.167786222180144
"46",10,1,4,0.01,0.104607411199503
"47",10,2,8,0,0.134026128747087
"48",10,3,4,0,0.1116615737218
"49",10,4,6,0.01,0.126504898256553
"50",10,5,8,0.01,0.168127336111183
"51",11,1,3,0.01,0.101238577909628
"52",11,2,8,0.05,0.150091383570352
"53",11,3,8,0.05,0.172134105693335
"54",11,4,8,0.05,0.153802716893833
"55",11,5,8,0.1,0.16629687473746
"56",12,1,8,0.05,0.220282700582543
"57",12,2,8,0.1,0.213984522091639
"58",12,3,8,0.05,0.150252808691058
"59",12,4,6,0.1,0.150228261040265
"60",12,5,6,0.01,0.176143070058035
"61",13,1,1,0,0.155512461488345
"62",13,2,4,0.01,0.114803982144426
"63",13,3,8,0.1,0.185485813457584
"64",13,4,0,0.01,0.353964004212079
"65",13,5,2,0.01,0.213472867930438
"66",14,1,4,0.01,0.119926593158656
"67",14,2,0.5,0,0.172465888267182
"68",14,3,8,0,0.159783956611986
"69",14,4,8,0.01,0.171045195145413
"70",14,5,4,0,0.224132987093413
"71",15,1,2,0,0.141450400666441
"72",15,2,8,0.01,0.112989798068407
"73",15,3,8,0.05,0.167049565636128
"74",15,4,4,0,0.0963527632327248
"75",15,5,8,0,0.144172397579787
"76",16,1,3,0,0.138617126869984
"77",16,2,8,0,0.0869223955020722
"78",16,3,8,0.01,0.119439218622688
"79",16,4,8,0.5,0.161210302955388
"80",16,5,8,0.1,0.204002224483609
"81",17,1,6,0,0.204930825074274
"82",17,2,8,0.01,0.133576505625188
"83",17,3,8,0.1,0.196892200439987
"84",17,4,8,0.01,0.141970485167542
"85",17,5,8,0.1,0.17306980043153
"86",18,1,8,0.01,0.118447650654521
"87",18,2,1,0,0.156499857867431
"88",18,3,3,0.01,0.19154891730594
"89",18,4,8,0.05,0.140868624244114
"90",18,5,8,0.1,0.177031358468266
"91",19,1,2,0,0.118929594355036
"92",19,2,8,0.1,0.16111428474412
"93",19,3,8,0.01,0.130898137432721
"94",19,4,8,0.1,0.146292838823626
"95",19,5,6,0,0.205475860779275
"96",20,1,4,0.01,0.125329572026824
"97",20,2,8,0.1,0.169263082051703
"98",20,3,8,0.05,0.131032611994521
"99",20,4,3,0.01,0.134604807014703
"100",20,5,8,0,0.149876006496486
"101",21,1,3,0.01,0.16937677431054
"102",21,2,8,0.2,0.097812569294888
"103",21,3,8,0.05,0.210682532089598
"104",21,4,8,0.1,0.0990930697243441
"105",21,5,8,0.05,0.151845309587187
"106",22,1,8,0.01,0.155952292254995
"107",22,2,0,0,0.108239235837025
"108",22,3,8,0.01,0.168237633254684
"109",22,4,8,0.2,0.33521476661375
"110",22,5,6,0.05,0.231038668157127
"111",23,1,6,0.1,0.145199119066176
"112",23,2,6,0.1,0.139294476910699
"113",23,3,2,0.01,0.152055342583086
"114",23,4,8,0.05,0.212156328363871
"115",23,5,8,0.1,0.232260968857167
"116",24,1,8,0.05,0.147071919375208
"117",24,2,8,0.05,0.148897649251524
"118",24,3,2,0.01,0.15080920882103
"119",24,4,8,0,0.15088944851793
"120",24,5,1,0,0.238641560697978
"121",25,1,2,0.01,0.142570626815756
"122",25,2,3,0,0.17623788270934
"123",25,3,8,0.1,0.12816063874003
"124",25,4,3,0.01,0.127806417964144
"125",25,5,8,0.1,0.166190424255562
