"","model","target","theta","lambda","rmse"
"1",1,1,8,0.5,0.297068404579652
"2",1,2,8,0.5,0.106145174761408
"3",1,3,1,0.01,0.185905553484704
"4",1,4,1,0.01,0.310382395628279
"5",1,5,8,0.2,0.184585762703843
"6",2,1,8,0.2,0.109800219829008
"7",2,2,8,0.2,0.0972661335111775
"8",2,3,8,0.5,0.174530126521223
"9",2,4,8,0.5,0.232973897270175
"10",2,5,8,0.1,0.153974670321186
"11",3,1,6,0.1,0.132360527805601
"12",3,2,6,0.01,0.136599903711104
"13",3,3,8,0.05,0.151442704954438
"14",3,4,8,0.5,0.120589860758238
"15",3,5,6,0.1,0.157846803073925
"16",4,1,3,0.01,0.154138246392143
"17",4,2,8,1,0.120182947663735
"18",4,3,4,0.05,0.242590133781881
"19",4,4,0.5,0.01,0.381723904420563
"20",4,5,8,0.2,0.284518665569246
"21",5,1,0,0,0.140197117843841
"22",5,2,0.5,0.01,0.149779342197534
"23",5,3,8,0.2,0.192173904300158
"24",5,4,8,0.05,0.112694056010441
"25",5,5,8,0.05,0.161360389324029
"26",6,1,6,0.2,0.13380581658986
"27",6,2,8,0.2,0.128389092656761
"28",6,3,3,0.05,0.0924887720319589
"29",6,4,8,0.1,0.175388594293584
"30",6,5,8,0.05,0.140902322855271
"31",7,1,3,0.01,0.123784198426034
"32",7,2,8,1,0.141657248806336
"33",7,3,8,0.2,0.143264420670744
"34",7,4,6,0.01,0.109889610175652
"35",7,5,8,0.5,0.183678994969577
"36",8,1,8,0.2,0.105815557593317
"37",8,2,3,0.05,0.200537533785741
"38",8,3,8,0.05,0.109899072540592
"39",8,4,8,0.2,0.134774088699236
"40",8,5,8,0.2,0.156741361450155
"41",9,1,8,0.05,0.135947163759646
"42",9,2,8,1,0.151258499330824
"43",9,3,8,0.2,0.169641678706265
"44",9,4,8,0.1,0.0935413295504768
"45",9,5,6,0.05,0.16676209907983
"46",10,1,4,0,0.105548349799131
"47",10,2,8,0.2,0.125999969256317
"48",10,3,4,0.05,0.109920911829568
"49",10,4,8,0.1,0.126000356940762
"50",10,5,8,0.1,0.166286200250315
"51",11,1,4,0.05,0.101140007925632
"52",11,2,8,0.2,0.142507028222067
"53",11,3,8,0.2,0.158449922076729
"54",11,4,8,0.2,0.143853786717195
"55",11,5,8,0.2,0.168898509268015
"56",12,1,8,0.2,0.210841056184804
"57",12,2,8,0.5,0.20660308030741
"58",12,3,8,0.1,0.15291577533952
"59",12,4,8,0.5,0.150377075665227
"60",12,5,6,0.1,0.171906887511573
"61",13,1,8,0.5,0.143713227704481
"62",13,2,6,0.2,0.106783868661777
"63",13,3,8,0.2,0.179201425766324
"64",13,4,8,1,0.346040548072253
"65",13,5,2,0.05,0.214008487778961
"66",14,1,4,0.01,0.120903001867906
"67",14,2,0.5,0,0.172465888267182
"68",14,3,8,0,0.159783956611986
"69",14,4,8,0.1,0.16878165817593
"70",14,5,4,0,0.224132987093413
"71",15,1,2,0.01,0.141198106518974
"72",15,2,8,0.2,0.100878022714438
"73",15,3,8,0.1,0.165044006287688
"74",15,4,6,0.1,0.0952693800087239
"75",15,5,8,0.01,0.143899495716683
"76",16,1,4,0.05,0.136149054888961
"77",16,2,8,0.2,0.0841953832258197
