"","model","target","theta","lambda","rmse"
"1",1,1,0,0,0.316757490677323
"2",1,2,4,0,0.118744092215783
"3",1,3,0.5,0,0.186265784604499
"4",1,4,0.5,0,0.310863952338619
"5",1,5,2,0,0.192518508202143
"6",2,1,4,0,0.12255083428419
"7",2,2,1,0,0.103023656643591
"8",2,3,0.5,0,0.197983310462676
"9",2,4,2,0,0.246200832720077
"10",2,5,4,0,0.158495826736173
"11",3,1,2,0,0.135036886661934
"12",3,2,3,0,0.137287388482145
"13",3,3,4,0,0.153198991909964
"14",3,4,0,0,0.128793637923919
"15",3,5,3,0,0.162473739347912
"16",4,1,1,0,0.154422075005544
"17",4,2,0,0,0.13253552770145
"18",4,3,2,0,0.244950703614216
"19",4,4,0.1,0,0.382110447107738
"20",4,5,3,0,0.293739922576579
"21",5,1,0,0,0.140360469981715
"22",5,2,0,0,0.150469221794938
"23",5,3,1,0,0.20695712963549
"24",5,4,1,0,0.114212981460944
"25",5,5,4,0,0.163585040272404
"26",6,1,1,0,0.134900767074309
"27",6,2,3,0,0.138185871474671
"28",6,3,2,0,0.0948339587155705
"29",6,4,4,0,0.181681474067913
"30",6,5,4,0,0.14377105222171
"31",7,1,2,0,0.124300684455029
"32",7,2,0,0,0.144296153842756
"33",7,3,6,0,0.125686251181314
"34",7,4,3,0,0.111152434160702
"35",7,5,2,0,0.196990731443403
"36",8,1,8,0,0.101908633281005
"37",8,2,0.5,0,0.201745414952436
"38",8,3,3,0,0.112039544103411
"39",8,4,3,0,0.144570920293796
"40",8,5,6,0,0.161012292536028
"41",9,1,6,0,0.127193661291317
"42",9,2,0,0,0.159656435814532
"43",9,3,1,0,0.172435320290963
"44",9,4,3,0,0.104641210073027
"45",9,5,3,0,0.168764055941927
"46",10,1,2,0,0.105539067266904
"47",10,2,4,0,0.134011183874766
"48",10,3,2,0,0.11168600577492
"49",10,4,2,0,0.127752206720803
"50",10,5,4,0,0.16981977055012
"51",11,1,2,0,0.102340103455881
"52",11,2,4,0,0.158636908204113
"53",11,3,3,0,0.175507588785379
