"","model","target","theta","lambda","rmse"
"1",1,1,0,0.05,0.695075053855963
"2",1,2,8,1,0.304280166718735
"3",1,3,0,0.01,0.491747405524053
"4",1,4,2,0.05,0.67422322984115
"5",1,5,4,0.1,0.640441363014363
"6",2,1,8,0.1,0.393498836152648
"7",2,2,8,0.2,0.229537317506925
"8",2,3,8,1,0.434261485222422
"9",2,4,8,0.5,0.591254977452256
"10",2,5,8,0.2,0.461361517651948
"11",3,1,6,0.1,0.492780113276855
"12",3,2,8,0.2,0.33984546412103
"13",3,3,0,0,0.453952479309901
"14",3,4,8,0.2,0.302866528083478
"15",3,5,6,0.2,0.511517460310398
"16",4,1,3,0.1,0.401783684230351
"17",4,2,8,0.2,0.350962844054151
"18",4,3,8,0.2,0.563408312486719
"19",4,4,4,0.05,0.760440178608939
"20",4,5,8,0.2,0.718380055067588
"21",5,1,8,0.2,0.370327569935465
"22",5,2,6,0.05,0.364995968526808
"23",5,3,1,0.05,0.383478586561708
"24",5,4,8,2,0.342138605126887
"25",5,5,6,0.2,0.439900511493249
"26",6,1,6,0.2,0.353047498835133
"27",6,2,8,0.2,0.360281058026024
"28",6,3,8,2,0.286708834163382
"29",6,4,0,0.05,0.553459884014027
"30",6,5,6,0.2,0.445655257800406
"31",7,1,0.1,0.05,0.453252660777059
"32",7,2,8,0.05,0.340041304241905
"33",7,3,8,2,0.353783590865545
"34",7,4,2,0.01,0.36884629298258
"35",7,5,6,0.5,0.592816312850398
"36",8,1,8,1,0.375875640795847
"37",8,2,6,0.5,0.477050832177752
"38",8,3,8,0.05,0.420047696535892
"39",8,4,8,0.5,0.451328234056038
"40",8,5,8,0.5,0.477350231953611
"41",9,1,2,0,0.453052658659542
"42",9,2,0,0.01,0.393809517992177
"43",9,3,8,1,0.450702351708564
"44",9,4,0,0.01,0.414439736349449
"45",9,5,4,0.2,0.464961771016802
"46",10,1,0,0.01,0.365158600879114
"47",10,2,8,1,0.32626766250648
"48",10,3,8,1,0.401630824982228
"49",10,4,8,0,0.386262058435327
"50",10,5,6,0.2,0.514091963530625
"51",11,1,8,1,0.42390196710548
"52",11,2,6,0.5,0.41923896907507
"53",11,3,8,0.2,0.422258327198434
"54",11,4,4,0,0.531183221252922
"55",11,5,6,0.2,0.413773013970911
"56",12,1,8,0.5,0.481618617337802
"57",12,2,8,1,0.570859264910658
"58",12,3,8,0.05,0.360802661967975
"59",12,4,8,1,0.351142711153386
"60",12,5,8,0.5,0.448393106730785
"61",13,1,2,0.1,0.581873833907905
"62",13,2,8,1,0.315519728177425
"63",13,3,3,0.1,0.533186145709892
"64",13,4,3,0.1,0.749033181046465
"65",13,5,3,0.1,0.562830776971027
"66",14,1,8,2,0.358864732954595
"67",14,2,0,0.05,0.421929311704314
"68",14,3,6,0.2,0.477192770766963
"69",14,4,4,0.1,0.396160989941979
"70",14,5,4,0.05,0.620575644001107
"71",15,1,8,0.1,0.176283287435103
"72",15,2,3,0.01,0.356356664786071
"73",15,3,4,0.1,0.547595751811572
"74",15,4,8,2,0.224768488434004
"75",15,5,6,0.05,0.353857771172057
"76",16,1,8,0.01,0.371727708320119
"77",16,2,8,0,0.226145670056553
"78",16,3,6,0.2,0.403595089997724
"79",16,4,0,0,0.303368439933336
"80",16,5,6,0.2,0.543432087427776
"81",17,1,2,0.1,0.602014726007445
"82",17,2,1,0.05,0.417464323483783
"83",17,3,6,0.2,0.544141886844908
"84",17,4,8,0.2,0.388157489508614
"85",17,5,8,0.2,0.502790348239792
"86",18,1,6,0.1,0.373108384560795
"87",18,2,1,0,0.372130892924407
"88",18,3,8,0.1,0.421552079450917
"89",18,4,8,0.2,0.357021123893432
"90",18,5,4,0.1,0.481247175754837
