"","model","target","theta","lambda","rmse"
"1",1,1,0,0.05,0.694291836041624
"2",1,2,8,1,0.3049079550056
"3",1,3,0,0.01,0.491453015177435
"4",1,4,2,0.05,0.674758498327606
"5",1,5,4,0.1,0.641068126044399
"6",2,1,8,1,0.393774530606438
"7",2,2,8,0.2,0.229109775184214
"8",2,3,8,1,0.434281559188521
"9",2,4,8,0.5,0.591467985106216
"10",2,5,8,0.2,0.462579898757223
"11",3,1,6,0.05,0.493961602524455
"12",3,2,8,0.1,0.339444059280561
"13",3,3,0,0,0.453952479309901
"14",3,4,8,0.2,0.302562517070822
"15",3,5,6,0.2,0.513111607598559
"16",4,1,3,0.1,0.4011107010589
"17",4,2,8,0.2,0.348715546440741
"18",4,3,8,0.2,0.559663107590611
"19",4,4,4,0.05,0.761393766913283
"20",4,5,8,0.2,0.718505388385819
"21",5,1,8,0.1,0.371052961543891
"22",5,2,6,0.01,0.365280309401219
"23",5,3,1,0.05,0.383135158300704
"24",5,4,8,1,0.342138605126887
"25",5,5,4,0.2,0.4390251434563
"26",6,1,8,1,0.354753804478083
"27",6,2,8,0.2,0.360213341369362
"28",6,3,8,1,0.286708834163382
"29",6,4,0,0.05,0.552818693693106
"30",6,5,6,0.2,0.443908762773756
"31",7,1,0.5,0.05,0.453000641086733
"32",7,2,8,0.01,0.340556235228309
"33",7,3,8,2,0.353783590865545
"34",7,4,2,0.01,0.369097190241374
"35",7,5,6,0.2,0.592475702399595
"36",8,1,8,1,0.375875640795847
"37",8,2,6,0.5,0.478248609710027
"38",8,3,8,0.05,0.42061471698728
"39",8,4,8,0.5,0.452127663571227
"40",8,5,8,0.5,0.480148519481638
"41",9,1,2,0,0.453052658659542
"42",9,2,0,0.01,0.393739713091021
"43",9,3,8,1,0.450702351708564
"44",9,4,0,0.01,0.414357669208904
"45",9,5,4,0.2,0.46446667670628
"46",10,1,0,0.01,0.364911424589733
"47",10,2,8,1,0.32626766250648
"48",10,3,8,0.5,0.400690235650905
"49",10,4,8,0,0.386262058435327
"50",10,5,6,0.2,0.514225722161396
"51",11,1,8,1,0.424670005348174
"52",11,2,6,0.2,0.421609989391406
"53",11,3,8,0.2,0.423794126170982
"54",11,4,4,0,0.531183221252922
"55",11,5,8,0.2,0.412634130627404
"56",12,1,8,0.5,0.482467364384416
"57",12,2,8,1,0.570859264910658
"58",12,3,8,0.05,0.360993012028015
"59",12,4,8,1,0.351144610185272
"60",12,5,8,0.5,0.450300094141554
"61",13,1,2,0.1,0.580375146041037
"62",13,2,8,0.5,0.317153180625244
"63",13,3,4,0.1,0.533200751231837
"64",13,4,3,0.1,0.749345935565135
"65",13,5,2,0.05,0.562797965461293
"66",14,1,8,1,0.358864732954595
"67",14,2,0.1,0.05,0.423262594380246
"68",14,3,6,0.2,0.476364375673617
