"","model","target","theta","lambda","rmse"
"1",1,1,2,0.2,0.700596782433105
"2",1,2,8,2,0.293131251150189
"3",1,3,0,0.01,0.493264322967005
"4",1,4,2,0.1,0.671904135192162
"5",1,5,4,0.2,0.645850850304888
"6",2,1,8,1,0.388260166033614
"7",2,2,8,1,0.224789658552733
"8",2,3,8,8,0.433178829691613
"9",2,4,8,5,0.590550384561421
"10",2,5,8,2,0.459112072532839
"11",3,1,6,0.5,0.487029862181627
"12",3,2,6,0.2,0.349736422155389
"13",3,3,0.5,0.05,0.452017663239082
"14",3,4,8,1,0.303748261085926
"15",3,5,4,0.5,0.513499222672091
"16",4,1,1,0.05,0.411821144252096
"17",4,2,8,2,0.350537456151651
"18",4,3,6,1,0.564081766031821
"19",4,4,4,0.5,0.757563657437564
"20",4,5,8,0.5,0.721419096304761
"21",5,1,8,0.5,0.375152646093181
"22",5,2,8,0.5,0.360305348497601
"23",5,3,2,0.1,0.384317785186432
"24",5,4,8,2,0.336351515968935
"25",5,5,8,8,0.45481501142491
"26",6,1,8,2,0.35030143023823
"27",6,2,8,0.5,0.35985282597571
"28",6,3,8,2,0.28126762878145
"29",6,4,0.1,0.05,0.558843414980732
"30",6,5,6,2,0.450791190604639
"31",7,1,1,0.05,0.458647506145929
"32",7,2,8,0.2,0.327097697527517
"33",7,3,8,2,0.349822498266755
"34",7,4,3,0.2,0.363361618349681
"35",7,5,6,5,0.604147367988773
"36",8,1,8,8,0.376505020459926
"37",8,2,6,8,0.479721886831011
"38",8,3,8,0.2,0.420124093786656
"39",8,4,8,1,0.454308406175223
"40",8,5,8,1,0.480264119558548
"41",9,1,6,0.5,0.430255169804443
"42",9,2,8,1,0.387614978772621
"43",9,3,8,1,0.437029063619056
"44",9,4,0,0.01,0.416086265134167
"45",9,5,3,0.1,0.480914177281093
"46",10,1,0,0.01,0.365270319307992
"47",10,2,8,2,0.31786522605949
"48",10,3,8,2,0.388006760188323
"49",10,4,8,0,0.386262058435327
"50",10,5,6,0.5,0.514413737518958
"51",11,1,2,0.2,0.421850470649844
"52",11,2,6,1,0.414511787624159
"53",11,3,8,1,0.425963325540633
"54",11,4,8,0.5,0.522517639318607
"55",11,5,8,2,0.427578780493055
"56",12,1,6,1,0.482047501054363
"57",12,2,3,0.5,0.561392292884241
"58",12,3,8,0.1,0.354311786144935
"59",12,4,8,8,0.3519767131154
"60",12,5,8,5,0.450355924319378
"61",13,1,2,0.2,0.591610714936136
"62",13,2,8,1,0.299131975975387
"63",13,3,3,0.2,0.541510523389179
"64",13,4,1,0.1,0.750159337062025
"65",13,5,3,0.2,0.567339471834311
"66",14,1,8,5,0.354632342654583
"67",14,2,0,0.01,0.428992229560372
"68",14,3,4,0.2,0.480740547161325
"69",14,4,4,0.2,0.399369145351128
"70",14,5,3,0.2,0.624376855813979
"71",15,1,8,0.5,0.179846740706692
"72",15,2,4,0.1,0.353049001951804
"73",15,3,4,0.2,0.547696403898614
"74",15,4,8,5,0.22394917044954
"75",15,5,6,0.2,0.351280656337503
"76",16,1,8,0.1,0.369936680101701
"77",16,2,8,0,0.226145670056553
"78",16,3,6,0.5,0.407268246122377
"79",16,4,0,0.01,0.3031825921408
"80",16,5,6,0.5,0.55268136617148
"81",17,1,3,0.5,0.606529543132678
"82",17,2,8,5,0.415056149058349
"83",17,3,4,0.5,0.550694828715729
"84",17,4,8,2,0.38865669051083
"85",17,5,8,2,0.517146730674542
"86",18,1,6,1,0.371123647672755
"87",18,2,2,0.1,0.368235096056675
"88",18,3,8,0.2,0.429211166407866
"89",18,4,8,1,0.353357206015187
"90",18,5,4,0.2,0.489582341023524
"91",19,1,8,2,0.303010655338436
"92",19,2,8,2,0.397154862522431
"93",19,3,8,8,0.394432935829171
"94",19,4,8,0.5,0.441656715539983
"95",19,5,6,1,0.583538686684255
"96",20,1,6,2,0.430051659946037
"97",20,2,8,5,0.44398420645264
"98",20,3,8,0.5,0.401745689581124
"99",20,4,4,0.01,0.29327895354217
"100",20,5,6,0.2,0.394572177891853
"101",21,1,8,0.5,0.355586264009782
"102",21,2,8,0.1,0.315537333701031
"103",21,3,0,0.01,0.399548296643777
"104",21,4,8,0.5,0.375113469114854
"105",21,5,8,2,0.449042730597724
"106",22,1,6,1,0.486040300565532
"107",22,2,8,5,0.306237093607813
"108",22,3,0.5,0.01,0.393735546741194
"109",22,4,8,8,0.726019958559317
"110",22,5,6,0.5,0.478470958530663
"111",23,1,4,0.5,0.358807282745465
