"","model","target","theta","lambda","rmse"
"1",1,1,0.5,0,0.705196699316448
"2",1,2,2,0,0.341487812051182
"3",1,3,0,0,0.493509273832013
"4",1,4,1,0,0.674998615848335
"5",1,5,1,0,0.655778095381749
"6",2,1,3,0,0.417897060727134
"7",2,2,6,0,0.251515597336737
"8",2,3,1,0,0.4665567565013
"9",2,4,0,0,0.611066840158247
"10",2,5,3,0,0.485047357178433
"11",3,1,2,0,0.503066290960562
"12",3,2,2,0,0.356923567232619
"13",3,3,6,0,0.445403111754761
"14",3,4,4,0,0.333542589185465
"15",3,5,2,0,0.525327173946925
"16",4,1,0.5,0,0.41256202265833
"17",4,2,6,0,0.412538311402653
"18",4,3,2,0,0.587624238202388
"19",4,4,2,0,0.765376185335917
"20",4,5,4,0,0.737029366342885
"21",5,1,1,0,0.385657110104722
"22",5,2,3,0,0.368192702057594
"23",5,3,0.1,0,0.388289479255458
"24",5,4,6,0,0.345764806668559
"25",5,5,1,0,0.464544658968939
"26",6,1,0.5,0,0.36483253017609
"27",6,2,2,0,0.367149074208794
"28",6,3,1,0,0.295311799280439
"29",6,4,0,0,0.560772264495811
"30",6,5,2,0,0.472691750120815
"31",7,1,0.5,0,0.462016302718605
"32",7,2,4,0,0.346676301122154
"33",7,3,1,0,0.384312322071384
"34",7,4,1,0,0.370058311511808
"35",7,5,1,0,0.612993238625472
"36",8,1,6,0,0.396402357242759
"37",8,2,1,0,0.495944882075239
"38",8,3,6,0,0.426249814840485
"39",8,4,4,0,0.462912497974302
"40",8,5,3,0,0.496143488312394
"41",9,1,1,0,0.452998735611454
"42",9,2,0,0,0.398421736502051
"43",9,3,0.5,0,0.462648937385247
"44",9,4,0,0,0.416450503369924
"45",9,5,1,0,0.486064141429876
"46",10,1,0,0,0.365630915896503
"47",10,2,2,0,0.351844041335457
"48",10,3,2,0,0.457773237552362
"49",10,4,4,0,0.386264856967101
"50",10,5,3,0,0.529947739987832
"51",11,1,0.5,0,0.431071313884941
"52",11,2,2,0,0.431270789311248
"53",11,3,3,0,0.453920162642359
"54",11,4,2,0,0.531175534463259
"55",11,5,2,0,0.450038114980115
"56",12,1,0.5,0,0.509110667658087
"57",12,2,0.5,0,0.571246825990637
"58",12,3,6,0,0.346362494915836
"59",12,4,6,0,0.400904261759645
"60",12,5,2,0,0.46314411953516
"61",13,1,0.5,0,0.596796552180487
"62",13,2,0.5,0,0.343019139737396
"63",13,3,1,0,0.548893648132308
"64",13,4,0.5,0,0.752114621576267
"65",13,5,1,0,0.573232731550294
"66",14,1,2,0,0.414342105653029
"67",14,2,0,0,0.429459280214251
"68",14,3,1,0,0.497971740723055
"69",14,4,2,0,0.402998424190721
"70",14,5,2,0,0.633338215580104
"71",15,1,0.5,0,0.183400391117145
"72",15,2,2,0,0.356454421198981
"73",15,3,1,0,0.551986897875133
"74",15,4,6,0,0.154009855649892
"75",15,5,3,0,0.357704247790597
"76",16,1,6,0,0.342201366451199
"77",16,2,4,0,0.226133657419508
"78",16,3,2,0,0.416592216058802
"79",16,4,0,0,0.303373390182614
"80",16,5,2,0,0.555559261087988
"81",17,1,0.5,0,0.619308760968214
"82",17,2,0.1,0,0.434402036002417
"83",17,3,0.5,0,0.560737507337253
"84",17,4,2,0,0.415276532675367
"85",17,5,2,0,0.545302901234749
"86",18,1,3,0,0.38176633881698
"87",18,2,0.5,0,0.372150424184323
"88",18,3,4,0,0.433712936096405
"89",18,4,0.5,0,0.375897391769356
"90",18,5,2,0,0.499341479775632
"91",19,1,0.5,0,0.318069088791846
"92",19,2,1,0,0.426744346668656
"93",19,3,0,0,0.447026310356516
"94",19,4,2,0,0.451725766545903
"95",19,5,1,0,0.60414924184624
"96",20,1,3,0,0.452121898748464
"97",20,2,6,0,0.461489111228647
"98",20,3,6,0,0.388072776636906
"99",20,4,2,0,0.293410954613138
"100",20,5,3,0,0.400032034975745
"101",21,1,6,0,0.368571502100424
"102",21,2,4,0,0.317766244823596
"103",21,3,0,0,0.399785115261297
"104",21,4,0,0,0.384652234362608
"105",21,5,2,0,0.476988618148516
"106",22,1,0.5,0,0.50964464423049
"107",22,2,0.5,0,0.324374377430511
"108",22,3,0.1,0,0.394333754783527
"109",22,4,2,0,0.743104239128807
"110",22,5,2,0,0.488970358908022
"111",23,1,1,0,0.368508385453554
"112",23,2,4,0,0.362490184426558
"113",23,3,1,0,0.355036175879668
"114",23,4,1,0,0.470160405046806
"115",23,5,2,0,0.549209776040897
"116",24,1,8,0,0.362952417010383
"117",24,2,0,0,0.358223107004608
"118",24,3,0,0,0.316210444919645
"119",24,4,2,0,0.410445147069721
"120",24,5,1,0,0.632710691574069
"121",25,1,0.1,0,0.452807800550314
"122",25,2,4,0,0.38624345047359
"123",25,3,3,0,0.368837671178158
"124",25,4,4,0,0.353870524600105
"125",25,5,2,0,0.550803418289519
"126",26,1,1,0,0.657907298086068
"127",26,2,2,0,0.438485731732606
"128",26,3,2,0,0.377556073855345
"129",26,4,2,0,0.614556430940529
"130",26,5,4,0,0.495912535076694
"131",27,1,0,0,0.315521482991602
"132",27,2,1,0,0.420573989204978
"133",27,3,4,0,0.375327292810066
"134",27,4,0.5,0,0.439395656977051
"135",27,5,1,0,0.618397780634483
"136",28,1,0,0,0.478674086892558
"137",28,2,2,0,0.442080348787342
"138",28,3,0,0,0.392593008496851
"139",28,4,1,0,0.354049145706551
"140",28,5,0,0,0.53372493778686
"141",29,1,6,0,0.263528695382579
"142",29,2,0,0,0.461166467402254
"143",29,3,2,0,0.486662444103209
"144",29,4,1,0,0.457145515708333
"145",29,5,1,0,0.526263652565271
"146",30,1,0,0,0.229044235580649
"147",30,2,0.5,0,0.425581280479308
"148",30,3,1,0,0.54980270438708
"149",30,4,0.5,0,0.374883517671475
"150",30,5,2,0,0.459529144505064
"151",31,1,0.5,0,0.389096097487255
"152",31,2,1,0,0.363837945193888
"153",31,3,0.1,0,0.334167672232005
"154",31,4,2,0,0.53262288808605
"155",31,5,2,0,0.664975417501217
"156",32,1,2,0,0.410918892349796
"157",32,2,3,0,0.312876457335273
"158",32,3,2,0,0.525622313319043
"159",32,4,2,0,0.438373150418501
"160",32,5,3,0,0.444932611275495
"161",33,1,0,0,0.42238768574821
"162",33,2,3,0,0.396562316743564
"163",33,3,0,0,0.377958734594032
"164",33,4,1,0,0.422930914780351
"165",33,5,0.5,0,0.535915746158309
"166",34,1,2,0,0.352962881043386
"167",34,2,0.1,0,0.357878727986432
"168",34,3,1,0,0.388132165926153
"169",34,4,4,0,0.270103613529379
"170",34,5,1,0,0.587303328621974
"171",35,1,8,0,0.336163331919362
"172",35,2,2,0,0.461076371242602
"173",35,3,4,0,0.523750500885149
"174",35,4,2,0,0.344301028887428
"175",35,5,1,0,0.581296072899198
"176",36,1,2,0,0.445424906693204
"177",36,2,4,0,0.359801142206502
"178",36,3,1,0,0.338826520141619
"179",36,4,2,0,0.34161263420841
"180",36,5,3,0,0.435017629408718
"181",37,1,0.5,0,0.379473448935928
"182",37,2,3,0,0.299357988789936
"183",37,3,6,0,0.457658915425635
"184",37,4,1,0,0.316813900692052
"185",37,5,2,0,0.515421981516358
"186",38,1,2,0,0.366889538175285
"187",38,2,0,0,0.37318677720882
"188",38,3,0.5,0,0.421364873446554
"189",38,4,0.5,0,0.421835092031433
"190",38,5,2,0,0.430389205706457
"191",39,1,4,0,0.350597536571046
"192",39,2,4,0,0.368018503690358
"193",39,3,2,0,0.343454212285176
"194",39,4,0.5,0,0.364907720252641
"195",39,5,4,0,0.463117547507215
"196",40,1,3,0,0.436037454566136
"197",40,2,2,0,0.462876713026892
"198",40,3,0.1,0,0.47569823899199
"199",40,4,2,0,0.268225854548244
"200",40,5,2,0,0.424985498077631
"201",41,1,2,0,0.443754652778318
"202",41,2,0.1,0,0.421905522272865
"203",41,3,2,0,0.372322568425237
"204",41,4,2,0,0.512514997817088
"205",41,5,2,0,0.45345086507479
"206",42,1,1,0,0.435899495277087
"207",42,2,2,0,0.401984231337705
"208",42,3,3,0,0.352432043618613
"209",42,4,2,0,0.404414466287275
"210",42,5,2,0,0.556979725092398
"211",43,1,0.1,0,0.613298199598291
"212",43,2,0,0,0.474985343687559
"213",43,3,3,0,0.304738459382442
"214",43,4,0.5,0,0.438546126738316
"215",43,5,2,0,0.392176706293112
"216",44,1,0,0,0.448027553549268
"217",44,2,2,0,0.46824722101921
"218",44,3,2,0,0.435118196041852
"219",44,4,3,0,0.401383934699452
"220",44,5,1,0,0.56974446433195
"221",45,1,0.5,0,0.327632800132836
"222",45,2,3,0,0.484315658190623
"223",45,3,1,0,0.367254139443066
"224",45,4,0.5,0,0.423515687695072
"225",45,5,2,0,0.480728395947616
"226",46,1,3,0,0.536256042234805
"227",46,2,0,0,0.355419665967771
"228",46,3,1,0,0.294823852920734
"229",46,4,1,0,0.475476012524178
"230",46,5,2,0,0.568604793266121
"231",47,1,0.5,0,0.338652726775857
"232",47,2,0,0,0.406518747733559
"233",47,3,1,0,0.553604353998993
"234",47,4,2,0,0.346345235365774
"235",47,5,2,0,0.460164289795596
"236",48,1,3,0,0.404923448249096
"237",48,2,2,0,0.42626619284554
"238",48,3,0.5,0,0.425312209494191
"239",48,4,4,0,0.370707909174425
"240",48,5,2,0,0.580212871173461
"241",49,1,2,0,0.450396120096963
"242",49,2,1,0,0.569948830969574
"243",49,3,1,0,0.372033832774139
"244",49,4,2,0,0.638475161552423
"245",49,5,0.1,0,0.785249559625604
"246",50,1,1,0,0.497281752193492
"247",50,2,0,0,0.409037887366905
"248",50,3,0.5,0,0.393146846457729
"249",50,4,1,0,0.430345778431195
"250",50,5,2,0,0.766246346646519
