"","model","target","theta","lambda","rmse"
"1",1,1,8,0.2,0.472269503335316
"2",1,2,8,0.01,0.184648034088645
"3",1,3,0,0,0.312423780049174
"4",1,4,2,0.05,0.474588550849857
"5",1,5,8,0.2,0.321066540242993
"6",2,1,8,0.5,0.235599197041805
"7",2,2,0.5,0.01,0.214973980748784
"8",2,3,8,0.1,0.255962267206294
"9",2,4,8,0.1,0.350783949848927
"10",2,5,8,0.01,0.268421981336725
"11",3,1,8,0.1,0.264073668725192
"12",3,2,8,0.05,0.304898142017667
"13",3,3,1,0,0.281205402348061
"14",3,4,8,0.2,0.258071365016827
"15",3,5,8,0.5,0.306466991450503
"16",4,1,8,0.2,0.250059396555292
"17",4,2,8,2,0.199416744615749
"18",4,3,8,0.2,0.396729303372181
"19",4,4,2,0.05,0.552570602376911
"20",4,5,0,0,0.458266979490078
"21",5,1,0,0.01,0.242569884968431
"22",5,2,8,0.05,0.300491031727079
"23",5,3,0.5,0,0.331504543587941
"24",5,4,2,0.01,0.174322183097283
"25",5,5,8,0.05,0.252528802131663
"26",6,1,8,0.2,0.171226488448931
"27",6,2,8,0.1,0.228311160298644
"28",6,3,8,2,0.169837536812417
"29",6,4,6,0.2,0.34219187469328
"30",6,5,8,0.2,0.286969192544423
"31",7,1,0.5,0.01,0.22861317327389
"32",7,2,8,0.01,0.222070764806523
"33",7,3,8,0.2,0.257215716552826
"34",7,4,8,0.2,0.221578787124406
"35",7,5,6,0.2,0.328914500043089
"36",8,1,2,0.01,0.193506675155206
"37",8,2,0.5,0.01,0.284928168515518
"38",8,3,8,0.1,0.228264790962922
"39",8,4,8,0.05,0.235221644466119
"40",8,5,8,0.2,0.236243762885905
"41",9,1,8,0.01,0.229078152393735
"42",9,2,8,2,0.267413989497921
"43",9,3,8,0.2,0.2734279277138
"44",9,4,8,0.05,0.172273799262893
"45",9,5,4,0.05,0.265781515798246
"46",10,1,8,0.2,0.24471618026418
"47",10,2,8,0.2,0.213952131442626
"48",10,3,1,0,0.196082203296839
"49",10,4,8,0.05,0.279130366370885
"50",10,5,8,0.2,0.300782039529353
"51",11,1,2,0.01,0.162556118627951
"52",11,2,8,0.2,0.256674771053308
"53",11,3,3,0.05,0.273957600835019
"54",11,4,8,0.5,0.240187989912686
"55",11,5,8,0.1,0.312191063238317
"56",12,1,0,0.01,0.354660033452628
"57",12,2,8,0.2,0.301362875265177
"58",12,3,4,0.01,0.192558827000658
"59",12,4,8,0.5,0.240131864687633
"60",12,5,6,0.2,0.297131297123707
"61",13,1,8,0.2,0.29033416389191
"62",13,2,8,0.5,0.205244808817434
"63",13,3,8,0.2,0.312981277645691
"64",13,4,0,0.05,0.512595852082443
"65",13,5,1,0.01,0.362363349362167
"66",14,1,2,0.01,0.257316026844145
"67",14,2,0,0.01,0.252774061494619
"68",14,3,8,0.2,0.196426690288292
"69",14,4,8,0.5,0.292307868095078
"70",14,5,2,0.01,0.361763555203549
"71",15,1,8,1,0.248612502393022
"72",15,2,8,0.05,0.207953952956704
"73",15,3,6,0.1,0.335648813845713
"74",15,4,0,0,0.198058825273451
"75",15,5,8,0.05,0.255288919238147
"76",16,1,3,0,0.214159113770576
"77",16,2,1,0.01,0.129611954345601
"78",16,3,8,0,0.251305102881469
"79",16,4,6,0.2,0.315403419711349
"80",16,5,4,0.1,0.410017237406437
"81",17,1,8,2,0.410830891740888
"82",17,2,8,2,0.253391001818009
"83",17,3,1,0.05,0.303225803654735
"84",17,4,8,0.05,0.285043540006595
"85",17,5,8,0.5,0.320989129365452
"86",18,1,8,1,0.229698954934526
"87",18,2,8,0.05,0.266946341989586
"88",18,3,2,0.01,0.272577263837661
"89",18,4,1,0.01,0.245613488893874
"90",18,5,8,0.2,0.296725255135625
"91",19,1,6,0,0.210573190749721
"92",19,2,8,1,0.24993555904
"93",19,3,4,0.05,0.280643748824182
"94",19,4,6,0,0.237361720479411
"95",19,5,4,0,0.361486710501425
"96",20,1,8,0.1,0.191675069725012
"97",20,2,8,1,0.298188741686751
"98",20,3,8,0.2,0.29228191027735
"99",20,4,0.1,0.01,0.283222464111419
"100",20,5,8,0.1,0.25318135364825
"101",21,1,1,0.01,0.245735255201242
"102",21,2,8,1,0.192979093295796
"103",21,3,8,2,0.298106984802988
"104",21,4,8,0.05,0.165984496320627
"105",21,5,4,0.05,0.323186728106935
"106",22,1,8,0.2,0.223033947231992
"107",22,2,0,0.01,0.171020487261104
"108",22,3,0.5,0.01,0.259695851998097
"109",22,4,8,1,0.51561261234251
"110",22,5,6,0.1,0.359890456808221
"111",23,1,8,0.2,0.226678836065426
"112",23,2,6,0.01,0.314298276464338
"113",23,3,6,0.1,0.21925696416327
"114",23,4,8,0.05,0.346882690709745
"115",23,5,8,0.5,0.37618918669746
"116",24,1,8,1,0.267163265835036
"117",24,2,8,0.05,0.209757478149914
"118",24,3,0,0.01,0.226868206130855
"119",24,4,8,0.5,0.206844224453363
"120",24,5,3,0.05,0.412108115030877
"121",25,1,1,0.01,0.17004248295313
"122",25,2,8,0.2,0.272597925332283
"123",25,3,8,0.2,0.181708183380038
"124",25,4,8,0.2,0.199238871836539
"125",25,5,6,0.2,0.331840643940901
"126",26,1,0,0.01,0.326913010321509
"127",26,2,8,1,0.21311843500174
"128",26,3,2,0.01,0.278214895393228
"129",26,4,8,2,0.460519184790651
"130",26,5,4,0.1,0.321531148253342
"131",27,1,4,0.01,0.210430902706552
"132",27,2,3,0.01,0.267103221436857
"133",27,3,8,1,0.290037502225505
"134",27,4,8,0.2,0.225488195078048
"135",27,5,3,0.05,0.356841119526372
"136",28,1,8,0.05,0.176312286066571
"137",28,2,8,0.05,0.255548578499713
"138",28,3,8,0,0.230344590189953
"139",28,4,8,0.05,0.163535340186975
"140",28,5,4,0.05,0.345849133294809
"141",29,1,8,0.5,0.230643073152451
"142",29,2,1,0.05,0.332908182765825
"143",29,3,8,0.05,0.239628758661908
"144",29,4,0.5,0.01,0.24999222855366
"145",29,5,8,0.5,0.3175739035677
"146",30,1,8,0.05,0.194622859825178
"147",30,2,6,0.1,0.245418138156701
"148",30,3,8,0.2,0.292027600236548
"149",30,4,8,0,0.197968346927448
"150",30,5,2,0.01,0.297556835842736
"151",31,1,0,0.01,0.323399762468998
"152",31,2,8,0.2,0.147987014208169
"153",31,3,3,0.01,0.251894122944809
"154",31,4,8,0.2,0.345112590737185
"155",31,5,8,0.1,0.479210906062016
"156",32,1,6,0.2,0.247536317447321
"157",32,2,8,0.05,0.269407922997075
"158",32,3,8,0.01,0.221729699403894
"159",32,4,6,0.1,0.245081506043602
"160",32,5,8,0.2,0.262274691738011
"161",33,1,4,0.01,0.300901330850575
"162",33,2,8,0,0.19637653149248
"163",33,3,8,0.1,0.25443801244643
"164",33,4,8,0.2,0.186136748529898
"165",33,5,8,1,0.341581576176717
"166",34,1,0,0.01,0.207234926595089
"167",34,2,8,0.5,0.239707908609209
"168",34,3,8,0.05,0.306538029082432
