"","model","target","theta","lambda","rmse"
"1",1,1,8,0.2,0.472952148495035
"2",1,2,8,0.01,0.185792404782572
"3",1,3,0,0,0.312423780049174
"4",1,4,2,0.05,0.476134613282268
"5",1,5,8,0.2,0.319345252665986
"6",2,1,8,0.5,0.235896011114192
"7",2,2,0.5,0.01,0.215667466542372
"8",2,3,8,0.05,0.257372939483584
"9",2,4,8,0.1,0.352477231586766
"10",2,5,8,0.01,0.2674775705279
"11",3,1,8,0.1,0.263571345349288
"12",3,2,8,0.01,0.304968217660978
"13",3,3,1,0,0.281205402348061
"14",3,4,8,0.2,0.25842795158766
"15",3,5,8,0.5,0.307813462521401
"16",4,1,8,0.2,0.250181163931688
"17",4,2,8,1,0.199416744615749
"18",4,3,8,0.2,0.397175782373894
"19",4,4,2,0.05,0.553516075557563
"20",4,5,0,0,0.458266979490078
"21",5,1,0,0.01,0.241824165480336
"22",5,2,6,0,0.301964290029471
"23",5,3,0.5,0,0.331504543587941
"24",5,4,2,0.01,0.174800335367097
"25",5,5,8,0.05,0.252177633344757
"26",6,1,8,0.1,0.172314880589997
"27",6,2,8,0.1,0.227772498305692
"28",6,3,8,1,0.169837536812417
"29",6,4,6,0.1,0.343253480537827
"30",6,5,8,0.1,0.287878751671523
"31",7,1,1,0.01,0.228766729087385
"32",7,2,8,0.01,0.222529476797843
"33",7,3,8,0.2,0.259561855688445
"34",7,4,8,0.1,0.22283423115255
"35",7,5,6,0.2,0.328332433758749
"36",8,1,2,0.01,0.194041277414109
"37",8,2,0.5,0.01,0.284307612669511
"38",8,3,8,0.1,0.230508834495677
"39",8,4,8,0.05,0.236279178728799
"40",8,5,8,0.2,0.236668745048383
"41",9,1,8,0.01,0.229802338797765
"42",9,2,8,1,0.267413989497921
"43",9,3,8,0.2,0.27831461107141
"44",9,4,8,0.05,0.173916108766893
"45",9,5,4,0.05,0.267580630076017
"46",10,1,8,0.2,0.24968052152884
"47",10,2,8,0.2,0.215668098801955
"48",10,3,1,0,0.196082203296839
"49",10,4,8,0.01,0.278976565636612
"50",10,5,6,0.2,0.300469038441205
"51",11,1,2,0.01,0.163061373038309
"52",11,2,8,0.2,0.256769501678541
"53",11,3,4,0.05,0.274570145730567
"54",11,4,8,0.5,0.238126353184853
"55",11,5,8,0.1,0.311961271789241
"56",12,1,0,0.01,0.354602972789756
"57",12,2,8,0.2,0.300576730059132
"58",12,3,4,0.01,0.192440388893911
"59",12,4,8,0.2,0.24063542189431
"60",12,5,6,0.1,0.297965256434881
"61",13,1,8,0.2,0.290210674561028
"62",13,2,8,1,0.205456963661595
"63",13,3,8,0.2,0.313632090394138
"64",13,4,0,0.05,0.514744910818964
"65",13,5,1,0.01,0.361464448378887
"66",14,1,2,0.01,0.257410162964593
"67",14,2,0,0.01,0.253040415650934
"68",14,3,8,0.2,0.198257206499875
"69",14,4,8,1,0.293075792106455
"70",14,5,2,0.01,0.360831700771395
"71",15,1,8,1,0.248693932770211
"72",15,2,8,0,0.208683358579916
"73",15,3,6,0.1,0.335149416312753
"74",15,4,0,0,0.198058825273451
"75",15,5,8,0.05,0.255771139267901
"76",16,1,3,0,0.214159113770576
"77",16,2,2,0.01,0.129715078607636
"78",16,3,8,0,0.251305102881469
"79",16,4,6,0.1,0.317411515387038
"80",16,5,4,0.1,0.410178109936346
"81",17,1,8,1,0.410830891740888
"82",17,2,8,0.5,0.253281149543376
"83",17,3,1,0.01,0.303926891624474
"84",17,4,8,0.05,0.286282561940532
"85",17,5,8,0.2,0.324172096289439
"86",18,1,8,0.5,0.229698954934526
"87",18,2,8,0.1,0.267637520708279
"88",18,3,2,0.01,0.272659885432612
"89",18,4,1,0.01,0.245420738939615
"90",18,5,8,0.2,0.297841454277022
"91",19,1,6,0,0.210573190749721
"92",19,2,8,1,0.24993555904
"93",19,3,6,0.01,0.280687575058785
"94",19,4,6,0,0.237361720479411
"95",19,5,4,0,0.361486710501425
"96",20,1,8,0.05,0.195917872063638
"97",20,2,8,0.5,0.298188741686751
"98",20,3,8,0.2,0.291172127987405
"99",20,4,0.1,0.05,0.283269759782151
"100",20,5,8,0.1,0.253404047112098
"101",21,1,1,0,0.246017636333452
"102",21,2,8,1,0.192979093295796
"103",21,3,8,1,0.298106984802988
"104",21,4,8,0.1,0.166133543593728
"105",21,5,4,0.05,0.32321603243227
"106",22,1,8,0.1,0.225852492321842
"107",22,2,0,0,0.171235543038319
"108",22,3,0.5,0.01,0.259889747287912
"109",22,4,8,1,0.51561261234251
"110",22,5,6,0.1,0.358384090637561
"111",23,1,8,0.2,0.228316990134742
"112",23,2,6,0.01,0.314466659714299
"113",23,3,6,0.1,0.219837285036941
"114",23,4,8,0.05,0.34653859866087
"115",23,5,6,0.2,0.378164953397574
"116",24,1,8,1,0.267163265835036
"117",24,2,8,0.05,0.210867635957073
"118",24,3,0,0.01,0.227497759895804
"119",24,4,8,1,0.20689240190359
"120",24,5,3,0.05,0.412813390207264
"121",25,1,1,0.01,0.170062441887205
"122",25,2,8,0.2,0.274027505088675
"123",25,3,8,0.1,0.181809633695064
"124",25,4,8,0.1,0.2000105022895
"125",25,5,6,0.2,0.331964161294679
"126",26,1,0,0.01,0.326936833485269
"127",26,2,8,0.5,0.213012943069069
"128",26,3,2,0.01,0.278457295106444
"129",26,4,8,1,0.460519184790651
"130",26,5,4,0.05,0.322899142186607
"131",27,1,4,0.01,0.210627146198458
"132",27,2,2,0,0.267168647419628
"133",27,3,8,1,0.290037502225505
"134",27,4,8,0.2,0.226497476655147
"135",27,5,3,0.05,0.359195977323564
"136",28,1,8,0.05,0.177671804089836
