"","model","target","theta","lambda","rmse"
"1",1,1,8,1,0.455700274491899
"2",1,2,8,0.2,0.173801226038385
"3",1,3,0,0.01,0.312211031574374
"4",1,4,4,0.5,0.468807025224925
"5",1,5,2,0.05,0.333800435035298
"6",2,1,8,1,0.232587594080238
"7",2,2,4,0.2,0.209014467138893
"8",2,3,8,0.5,0.25722433545973
"9",2,4,8,0.5,0.341146395397032
"10",2,5,8,0.01,0.271686708672046
"11",3,1,8,0.2,0.263957461231459
"12",3,2,8,0.1,0.302456000474845
"13",3,3,1,0.01,0.280871417749229
"14",3,4,8,1,0.253967183105756
"15",3,5,8,5,0.307522217693608
"16",4,1,8,8,0.256370665106402
"17",4,2,8,8,0.203484888280466
"18",4,3,8,1,0.399168457599107
"19",4,4,3,0.2,0.549207707674732
"20",4,5,0,0.01,0.458010722177355
"21",5,1,0,0,0.243432155977755
"22",5,2,8,0.5,0.292160705173969
"23",5,3,0.5,0.01,0.330671400746645
"24",5,4,4,0.1,0.171267010796051
"25",5,5,8,0.5,0.255221965480057
"26",6,1,8,0.5,0.167596080669415
"27",6,2,8,0.2,0.231132485136613
"28",6,3,8,1,0.163975417462911
"29",6,4,6,0.2,0.337589701300054
"30",6,5,8,0.5,0.286401290900328
"31",7,1,0.5,0.01,0.229839690101284
"32",7,2,8,0.1,0.216519853623677
"33",7,3,8,0.5,0.248884343094133
"34",7,4,8,1,0.223574705042614
"35",7,5,8,8,0.343231027399849
"36",8,1,3,0.05,0.193014489354158
"37",8,2,3,0.2,0.28253277181489
"38",8,3,8,0.5,0.223070338108729
"39",8,4,8,0.2,0.226153251915959
"40",8,5,6,0.2,0.239344098570482
"41",9,1,6,0.1,0.227580143399555
"42",9,2,8,8,0.269133882264242
"43",9,3,8,1,0.268703786940674
"44",9,4,8,0.2,0.167229740783013
"45",9,5,6,0.2,0.267415760079978
"46",10,1,8,0.5,0.234261985110658
"47",10,2,8,0.5,0.201907625818023
"48",10,3,2,0.05,0.194859908677509
"49",10,4,8,0.2,0.276475634893347
"50",10,5,4,0.2,0.299095745713579
"51",11,1,3,0.1,0.160008680886584
"52",11,2,8,1,0.259872734294991
"53",11,3,2,0.05,0.275796384572463
"54",11,4,8,1,0.23550378369542
"55",11,5,8,0.5,0.32057000533634
"56",12,1,0,0.01,0.356415521933946
"57",12,2,8,1,0.302738899846424
"58",12,3,4,0.01,0.193024471642409
"59",12,4,8,5,0.241194348931058
"60",12,5,6,0.5,0.297406929663124
"61",13,1,8,1,0.289421304953014
"62",13,2,8,1,0.195979142765942
"63",13,3,8,0.5,0.309820404506079
"64",13,4,0,0.05,0.517884454808407
"65",13,5,1,0.05,0.364985380103687
"66",14,1,8,1,0.249218210621127
"67",14,2,0,0.01,0.254021580988281
"68",14,3,8,0.2,0.19580960195437
"69",14,4,8,8,0.292933551229622
"70",14,5,3,0,0.363861788509065
"71",15,1,8,8,0.247795527190484
"72",15,2,8,0.2,0.199573959054672
"73",15,3,8,0.2,0.333412974974429
"74",15,4,0,0,0.198058825273451
"75",15,5,8,0.1,0.254257833676783
"76",16,1,3,0.05,0.213509467658123
"77",16,2,1,0,0.129885655518493
"78",16,3,8,0.05,0.24996457252978
"79",16,4,8,2,0.31081723320519
"80",16,5,4,0.2,0.411431769405307
"81",17,1,8,8,0.414246110444903
"82",17,2,8,5,0.252508114047824
"83",17,3,8,0.2,0.302837605193463
"84",17,4,8,0.1,0.289398811180751
"85",17,5,8,2,0.32562518671136
"86",18,1,8,0.5,0.219447217239174
"87",18,2,8,0.2,0.263851418088966
"88",18,3,3,0.05,0.272110416386109
"89",18,4,2,0.05,0.244839974455741
"90",18,5,8,1,0.295643855326664
"91",19,1,6,0,0.210573190749721
"92",19,2,8,8,0.249899250707898
"93",19,3,4,0.05,0.280043154754507
"94",19,4,4,0.01,0.237197847055772
"95",19,5,6,0.2,0.359473994229868
"96",20,1,8,0.5,0.178546946900754
"97",20,2,4,0.2,0.291575168495202
"98",20,3,8,2,0.290688062831584
"99",20,4,0.1,0.01,0.283006093182412
"100",20,5,8,0.2,0.254647438451925
"101",21,1,8,1,0.236795655201901
"102",21,2,8,2,0.190699264297212
"103",21,3,8,5,0.296585543515424
"104",21,4,8,0.2,0.159935451388086
"105",21,5,4,0.1,0.323334656458481
"106",22,1,8,0.5,0.212337261761319
"107",22,2,0,0,0.171235543038319
"108",22,3,8,2,0.257316252929286
"109",22,4,4,0.5,0.512148442998247
"110",22,5,6,0.2,0.365742917745946
"111",23,1,8,0.5,0.217820380952486
"112",23,2,6,0.1,0.31229618224012
"113",23,3,2,0.05,0.221295893980658
"114",23,4,8,0.1,0.348742224016351
"115",23,5,6,0.5,0.378462664702241
"116",24,1,8,8,0.268120648445894
"117",24,2,8,0.2,0.20856708337712
"118",24,3,1,0.05,0.229767304982853
"119",24,4,8,5,0.206262405469222
"120",24,5,3,0.05,0.413613326832103
"121",25,1,0.5,0,0.170760625695094
"122",25,2,8,0.05,0.276717919658841
"123",25,3,8,0.5,0.183733550760031
"124",25,4,8,0.5,0.198045125287139
"125",25,5,6,0.5,0.32768761509033
"126",26,1,0.5,0.01,0.330201451831921
"127",26,2,8,2,0.206634462050948
"128",26,3,3,0.05,0.277933015343778
"129",26,4,8,2,0.456084441913988
"130",26,5,4,0.2,0.319614676402294
"131",27,1,8,0.5,0.203402757494227
"132",27,2,8,0.5,0.259156603742602
"133",27,3,8,2,0.28209853728302
"134",27,4,8,1,0.222235463115381
"135",27,5,4,0.2,0.356523567090802
"136",28,1,8,0.2,0.169954159372044
"137",28,2,8,0.2,0.258820773009635
"138",28,3,8,0.01,0.229730342330348
"139",28,4,8,0.1,0.162737879001977
"140",28,5,4,0.1,0.34384036289322
"141",29,1,8,2,0.23621675658761
"142",29,2,6,0.5,0.328984714585644
"143",29,3,8,0.2,0.232712533352525
"144",29,4,8,2,0.241114593588021
"145",29,5,6,0.5,0.314659639979712
"146",30,1,8,0.5,0.176431017432147
"147",30,2,6,0.2,0.24001912945999
"148",30,3,8,0.5,0.289285129950483
"149",30,4,8,0.01,0.197890920248128
"150",30,5,2,0.05,0.298234557243101
"151",31,1,0,0.01,0.325401886977436
"152",31,2,8,0.5,0.151087636333689
"153",31,3,2,0,0.253618812916173
"154",31,4,8,0.5,0.344905025063968
"155",31,5,6,0.5,0.481782206288737
"156",32,1,8,1,0.245696294894149
"157",32,2,8,0.2,0.265401570736547
"158",32,3,8,0.05,0.217318477408003
"159",32,4,6,0.5,0.232782838544092
"160",32,5,8,1,0.261299022024842
"161",33,1,4,0.1,0.297466352458958
"162",33,2,8,0.01,0.19571455167204
"163",33,3,8,0.1,0.26552662874907
"164",33,4,8,0.5,0.18306361979648
"165",33,5,8,2,0.339404922156787
"166",34,1,3,0.1,0.206880572939638
"167",34,2,8,1,0.229786153931176
"168",34,3,8,0.1,0.305917366110091
"169",34,4,8,0.2,0.118991903162723
"170",34,5,6,0.2,0.333472652780274
"171",35,1,0,0.01,0.237948231183931
"172",35,2,8,1,0.288252648026704
"173",35,3,1,0.01,0.318667025610719
"174",35,4,8,5,0.195147746991885
"175",35,5,2,0.1,0.365169265486089
"176",36,1,8,8,0.203659536118231
"177",36,2,8,0.5,0.226140626765632
"178",36,3,8,0.5,0.222368260698173
"179",36,4,8,0.5,0.204383169201481
"180",36,5,8,2,0.313943306764059
"181",37,1,8,0.2,0.225864994135426
"182",37,2,8,0.2,0.186148992391424
"183",37,3,6,0.01,0.225539244619651
"184",37,4,6,0.1,0.159793008769304
"185",37,5,6,0.5,0.343419558136127
"186",38,1,2,0.01,0.247826685386623
"187",38,2,8,0.5,0.163547695028112
"188",38,3,8,0.2,0.27245197410329
"189",38,4,6,0.2,0.186763214062253
"190",38,5,6,0.5,0.286466381322541
"191",39,1,8,0.5,0.312010669539928
"192",39,2,8,0.5,0.215705135382943
"193",39,3,8,0.2,0.210793207641296
"194",39,4,8,0.5,0.195408551668659
"195",39,5,6,0.5,0.337456922305034
"196",40,1,8,5,0.239346935156713
"197",40,2,8,1,0.233504602812232
"198",40,3,8,0.5,0.235054578075489
"199",40,4,4,0.1,0.237849649537339
"200",40,5,8,0.1,0.21232922317572
"201",41,1,8,0.5,0.280362921917314
"202",41,2,6,0.5,0.254127353186251
"203",41,3,8,0.2,0.303695228454866
"204",41,4,8,0.5,0.246395337132519
"205",41,5,8,1,0.276261921777811
"206",42,1,8,0.1,0.288804477860944
"207",42,2,8,0.01,0.216529801700335
"208",42,3,8,0.05,0.238360189451223
"209",42,4,8,1,0.167270380166289
"210",42,5,4,0.2,0.325556762643972
"211",43,1,3,0.1,0.333467369207798
"212",43,2,8,2,0.311643242605675
"213",43,3,0.1,0.01,0.281367703119665
"214",43,4,8,1,0.255628439079204
"215",43,5,8,0.5,0.226780687901813
"216",44,1,8,0.5,0.297183148958238
"217",44,2,8,0.5,0.188657700189373
"218",44,3,8,1,0.185883914110562
"219",44,4,4,0.1,0.242771700458316
"220",44,5,3,0.1,0.289618856693935
"221",45,1,6,0.5,0.190427659957952
"222",45,2,8,8,0.332108840018299
"223",45,3,4,0.05,0.143586076521847
"224",45,4,8,0.5,0.262217594915356
"225",45,5,6,0.2,0.278066223191128
"226",46,1,0,0,0.180878082511271
"227",46,2,0,0,0.247387099625802
"228",46,3,8,8,0.249924511960009
"229",46,4,1,0.05,0.331993724338251
"230",46,5,8,2,0.31857599693785
"231",47,1,3,0.05,0.204004096250589
"232",47,2,8,1,0.277235098848057
"233",47,3,2,0.01,0.265408618935285
"234",47,4,8,8,0.207485672263818
"235",47,5,8,0.5,0.298243029541129
"236",48,1,8,1,0.184061641930998
"237",48,2,8,8,0.191104905503996
"238",48,3,8,0.2,0.203058435841904
"239",48,4,8,0.2,0.196987548050453
"240",48,5,6,0.5,0.357569529471932
"241",49,1,6,0.2,0.285586605895672
"242",49,2,8,1,0.337816975729783
"243",49,3,8,0.1,0.213596256050523
"244",49,4,8,2,0.358730765897755
"245",49,5,8,2,0.441038360804505
"246",50,1,8,0.2,0.24724372355365
"247",50,2,0,0.01,0.302322786098617
"248",50,3,8,0.2,0.233552710146409
"249",50,4,0,0,0.267689334965529
"250",50,5,0.5,0.01,0.57436953520311
