"","model","target","theta","lambda","rmse"
"1",1,1,3,0,0.49983211547766
"2",1,2,8,0,0.181473641496098
"3",1,3,0,0,0.312424775312836
"4",1,4,0.5,0,0.482168898085373
"5",1,5,0.5,0,0.335679295380198
"6",2,1,4,0,0.253677856490356
"7",2,2,0.1,0,0.215943070382188
"8",2,3,6,0,0.266400607804028
"9",2,4,2,0,0.374464199577187
"10",2,5,6,0,0.272134730012686
"11",3,1,6,0,0.27208204829138
"12",3,2,4,0,0.305676330177559
"13",3,3,0.5,0,0.28121161133713
"14",3,4,4,0,0.282775352033148
"15",3,5,4,0,0.342777843821794
"16",4,1,0.5,0,0.258375709709111
"17",4,2,0,0,0.232282602693604
"18",4,3,2,0,0.41786926701973
"19",4,4,0.5,0,0.561341863265192
"20",4,5,0,0,0.458266266761665
"21",5,1,0,0,0.24343057304117
"22",5,2,3,0,0.301880160473703
"23",5,3,0.5,0,0.332018086024628
"24",5,4,1,0,0.176498949662327
"25",5,5,3,0,0.269851991663384
"26",6,1,0.5,0,0.172794062249019
"27",6,2,6,0,0.233627039258811
"28",6,3,3,0,0.187417755940957
"29",6,4,2,0,0.34812444698066
"30",6,5,4,0,0.301735495297385
"31",7,1,0.1,0,0.230134515083054
"32",7,2,8,0,0.177805914893079
"33",7,3,3,0,0.276722224584081
"34",7,4,1,0,0.236726625833525
"35",7,5,2,0,0.353105737995751
"36",8,1,1,0,0.194187569668142
"37",8,2,0.1,0,0.285972447593891
"38",8,3,1,0,0.236484268796281
"39",8,4,4,0,0.240539619644738
"40",8,5,3,0,0.248886663769253
"41",9,1,4,0,0.230757031208294
"42",9,2,4,0,0.312330060902149
"43",9,3,0.1,0,0.280574409890123
"44",9,4,6,0,0.176182212569354
"45",9,5,2,0,0.271104087630619
"46",10,1,6,0,0.25912372127469
"47",10,2,0.5,0,0.226786923689009
"48",10,3,0.5,0,0.196126756848891
"49",10,4,4,0,0.281375315973416
"50",10,5,2,0,0.309445315545597
"51",11,1,1,0,0.163448365074028
"52",11,2,4,0,0.282991452435521
"53",11,3,1,0,0.278346699482399
"54",11,4,4,0,0.26305551857502
"55",11,5,4,0,0.337621782780127
"56",12,1,0,0,0.356591587727133
"57",12,2,4,0,0.329834044104009
"58",12,3,2,0,0.19358882006668
"59",12,4,4,0,0.263914160489156
"60",12,5,0.5,0,0.299271997429187
"61",13,1,0,0,0.295362250992062
"62",13,2,2,0,0.212463162189997
"63",13,3,0,0,0.334469512334479
"64",13,4,0,0,0.51843738169682
"65",13,5,0.5,0,0.365658828315518
"66",14,1,1,0,0.257577103090997
"67",14,2,0,0,0.25407510756604
"68",14,3,0.5,0,0.216463261848733
"69",14,4,0.5,0,0.299966259669141
"70",14,5,1,0,0.364901220016275
"71",15,1,0.5,0,0.265022079694936
"72",15,2,6,0,0.193494803155043
"73",15,3,4,0,0.340232987307601
"74",15,4,0,0,0.198058019307131
"75",15,5,4,0,0.259982036748965
"76",16,1,1,0,0.214478789012934
"77",16,2,0.5,0,0.12989198195019
"78",16,3,4,0,0.251320639501167
"79",16,4,2,0,0.328065817801143
"80",16,5,2,0,0.414281930109075
"81",17,1,0,0,0.419935838443834
"82",17,2,0,0,0.296335257610682
"83",17,3,0.5,0,0.310088737453533
"84",17,4,3,0,0.292463990581104
"85",17,5,1,0,0.349150272935614
"86",18,1,2,0,0.236154788647051
"87",18,2,4,0,0.27489463611278
"88",18,3,1,0,0.27296906529996
"89",18,4,0.5,0,0.245744895719504
"90",18,5,3,0,0.315654003341032
"91",19,1,3,0,0.210532169584902
"92",19,2,1,0,0.265214699868871
"93",19,3,3,0,0.282835659022657
"94",19,4,3,0,0.237390193691288
"95",19,5,2,0,0.361514816786553
"96",20,1,3,0,0.198640385602882
"97",20,2,4,0,0.300168394804516
"98",20,3,0.5,0,0.315046479663252
"99",20,4,6,0,0.261314898518776
"100",20,5,3,0,0.263444619890996
"101",21,1,0.5,0,0.246006469261564
"102",21,2,0.1,0,0.216700393494024
"103",21,3,4,0,0.33812273728455
"104",21,4,6,0,0.166646022467797
"105",21,5,2,0,0.328035306486101
"106",22,1,0.5,0,0.243993374076732
"107",22,2,0,0,0.171235383459834
"108",22,3,0.1,0,0.259915725309303
"109",22,4,1,0,0.520540204914308
"110",22,5,2,0,0.374694556200387
"111",23,1,0,0,0.231667881578533
"112",23,2,3,0,0.314912899435086
"113",23,3,1,0,0.224563530814764
"114",23,4,3,0,0.361242165332797
"115",23,5,2,0,0.394291564307149
"116",24,1,0.1,0,0.276054191189489
"117",24,2,2,0,0.22269958605404
"118",24,3,0,0,0.230925767667299
"119",24,4,1,0,0.229420549793852
"120",24,5,1,0,0.414691332527335
"121",25,1,0.5,0,0.170941480919435
"122",25,2,4,0,0.279164153551543
"123",25,3,3,0,0.207025366971008
"124",25,4,3,0,0.209871110507673
"125",25,5,2,0,0.347027259933547
"126",26,1,0.1,0,0.330533244889397
"127",26,2,3,0,0.24789800413062
"128",26,3,1,0,0.278824113205627
"129",26,4,0.5,0,0.468385295417712
"130",26,5,2,0,0.324611340591217
"131",27,1,2,0,0.210682573219117
"132",27,2,1,0,0.267181682410045
"133",27,3,1,0,0.295350722985739
"134",27,4,6,0,0.243236558641997
"135",27,5,1,0,0.362673032395002
"136",28,1,3,0,0.186187410658799
"137",28,2,4,0,0.260608013265897
"138",28,3,4,0,0.230335447697506
"139",28,4,3,0,0.172393305461583
"140",28,5,2,0,0.347671959312033
"141",29,1,6,0,0.274369731893454
"142",29,2,0,0,0.338160574113074
"143",29,3,4,0,0.2459956953265
"144",29,4,0,0,0.250605216812662
"145",29,5,2,0,0.323680238435283
"146",30,1,8,0,0.160634295744586
"147",30,2,3,0,0.251629665792504
"148",30,3,3,0,0.315882152906906
"149",30,4,4,0,0.19798251421034
"150",30,5,1,0,0.29918017360645
"151",31,1,0,0,0.326163587162489
"152",31,2,3,0,0.161723084431968
"153",31,3,1,0,0.253927827591656
"154",31,4,2,0,0.352181533627719
"155",31,5,3,0,0.484741119241252
"156",32,1,2,0,0.266448987650911
"157",32,2,4,0,0.278008604246148
"158",32,3,4,0,0.22441724839318
"159",32,4,1,0,0.252391449372815
"160",32,5,2,0,0.279813785751956
"161",33,1,2,0,0.3016390823038
"162",33,2,6,0,0.192459306391619
"163",33,3,3,0,0.270301388072702
"164",33,4,4,0,0.187117018758915
"165",33,5,1,0,0.370941764852042
"166",34,1,0,0,0.208468212716401
"167",34,2,6,0,0.253384205318921
