"","model","target","theta","lambda","rmse"
"1",1,1,4,0.01,0.0552524755198543
"2",1,2,8,0.05,0.0729860179262986
"3",1,3,4,0,0.0625798257334943
"4",1,4,8,0.05,0.0656092411990311
"5",1,5,8,0.05,0.110953048856219
"6",2,1,8,0,0.0628333468261122
"7",2,2,8,0.1,0.0732686548756031
"8",2,3,8,0,0.0962225338188826
"9",2,4,8,0.01,0.0639870575027682
"10",2,5,8,0,0.0915359691448046
"11",3,1,8,0,0.0796897063995239
"12",3,2,8,0.01,0.0876814493680508
"13",3,3,8,0.05,0.071287995597708
"14",3,4,8,0.05,0.0783280038136496
"15",3,5,8,0.2,0.158341083941286
"16",4,1,8,0.01,0.0580121850633864
"17",4,2,0,0,0.0816137754229794
"18",4,3,8,0.01,0.0438363609409782
"19",4,4,8,0.05,0.0647809897650115
"20",4,5,8,0.01,0.0885202579479109
"21",5,1,8,0.05,0.0615098020671637
"22",5,2,8,0.05,0.0916557496831579
"23",5,3,8,0.05,0.114966176939517
"24",5,4,8,0.05,0.0749577794324938
"25",5,5,8,0.05,0.0860510994730758
"26",6,1,8,0.05,0.0762989784972941
"27",6,2,8,0.1,0.0829246359869806
"28",6,3,8,0.05,0.0942959987086573
"29",6,4,6,0,0.104318010169251
"30",6,5,8,0.05,0.103100167622893
"31",7,1,8,0.01,0.055089532134839
"32",7,2,8,0.1,0.0601347028236406
"33",7,3,6,0.01,0.118849709126407
"34",7,4,8,0.05,0.103185190539154
"35",7,5,8,0,0.0980150116115824
"36",8,1,8,0.1,0.110657059617047
"37",8,2,8,0.2,0.0921882342969478
"38",8,3,8,0.1,0.0840127719547577
"39",8,4,8,0.05,0.0944255140805235
"40",8,5,8,0.1,0.100952447342267
"41",9,1,8,0.1,0.102380377529558
"42",9,2,3,0.05,0.0814953467376598
"43",9,3,8,0.05,0.0697462438035363
"44",9,4,8,0.05,0.0644067228698449
"45",9,5,8,0.05,0.0983139701172169
"46",10,1,8,0.05,0.0750113470779115
"47",10,2,8,0.1,0.119105650218575
"48",10,3,6,0.01,0.0683801476873157
"49",10,4,8,0,0.120651847148563
"50",10,5,8,0,0.2702107375018
"51",11,1,3,0.01,0.0916732828849245
"52",11,2,8,0.1,0.0639622951395291
"53",11,3,6,0.01,0.0949188456008162
"54",11,4,8,0.05,0.132643173834968
"55",11,5,8,0.01,0.0896861958195505
"56",12,1,8,0.05,0.0663029612406856
"57",12,2,8,0.1,0.0747867893708459
"58",12,3,8,0.01,0.0914374463580301
"59",12,4,8,0.01,0.0420931696280968
"60",12,5,8,0.01,0.0926929625463765
"61",13,1,8,0.05,0.0878231688509604
"62",13,2,8,0.1,0.0744574195854355
"63",13,3,6,0.01,0.0835239943640079
"64",13,4,8,0,0.0663287220231702
"65",13,5,8,0.01,0.0985868565290629
"66",14,1,8,0.1,0.0845864658400297
"67",14,2,8,0.05,0.0817466775150041
"68",14,3,8,0.05,0.0738670002212831
"69",14,4,8,0.01,0.0908064038404003
"70",14,5,8,0.1,0.109109392640043
"71",15,1,8,0.1,0.137243548640302
"72",15,2,2,0,0.0640631790549938
"73",15,3,8,0.01,0.0531373187635671
"74",15,4,8,0.01,0.0992225679990167
"75",15,5,8,0.05,0.105502147222184
"76",16,1,4,0,0.0783324144823438
"77",16,2,8,0.05,0.0854039991495054
"78",16,3,8,0.01,0.069511827496997
"79",16,4,8,0.05,0.0812696887954351
"80",16,5,8,0.1,0.106493754068689
"81",17,1,8,0,0.0673599346294255
"82",17,2,8,0.05,0.0882030480900931
"83",17,3,8,0.01,0.0536422247560004
"84",17,4,8,0.05,0.0760280417927343
"85",17,5,8,0.1,0.125708271971475
"86",18,1,8,0.1,0.0873221323256182
"87",18,2,8,0.1,0.0684432247057918
"88",18,3,4,0.01,0.108728191475856
"89",18,4,8,0.05,0.0876534569784242
"90",18,5,8,0.01,0.099575159682103
"91",19,1,8,0.05,0.101368568375384
"92",19,2,8,0.1,0.0867761544415635
"93",19,3,8,0.05,0.0809017337956201
"94",19,4,8,0.01,0.0764231922424777
"95",19,5,6,0.05,0.092165410495683
"96",20,1,8,0.05,0.0907538959399051
"97",20,2,8,0.05,0.0690968830716575
"98",20,3,8,0,0.0619681621730429
"99",20,4,8,0.05,0.0778338603513371
"100",20,5,8,0.1,0.113839349033243
"101",21,1,8,0.1,0.0794879682799703
"102",21,2,0,0,0.0692075699391963
"103",21,3,8,0.05,0.0645569178976674
"104",21,4,8,0.05,0.0753937760136165
"105",21,5,8,0.01,0.118443626889166
"106",22,1,8,0.05,0.0848579221887456
"107",22,2,8,0.2,0.0948546498826648
"108",22,3,8,0.01,0.065840143179976
"109",22,4,8,0.05,0.0645205640055302
"110",22,5,8,0.01,0.131040825569699
"111",23,1,6,0.05,0.0565705246476081
"112",23,2,8,0.01,0.0617454430818554
"113",23,3,4,0,0.0798528936465307
"114",23,4,8,0.05,0.0920368672388078
"115",23,5,8,0.05,0.101243930265169
"116",24,1,8,0.01,0.0457378563313384
"117",24,2,8,0.1,0.0630199873330143
"118",24,3,8,0.01,0.0937373519771243
"119",24,4,8,0.01,0.0551637177464221
"120",24,5,8,0.01,0.0940328276779557
"121",25,1,8,0.1,0.0936592865853627
"122",25,2,8,0.05,0.0727086312092294
"123",25,3,8,0.01,0.0803390579561504
"124",25,4,8,0.01,0.061967049273227
"125",25,5,8,0.01,0.0949124770670433
"126",26,1,4,0,0.0609859652953627
"127",26,2,0,0,0.106000514411631
"128",26,3,8,0.01,0.0651987312148925
"129",26,4,8,0.1,0.077555082285627
"130",26,5,8,0.1,0.106991747781622
"131",27,1,3,0,0.0759926592709627
"132",27,2,8,0.1,0.0698007171644209
"133",27,3,8,0.01,0.0691753246486326
"134",27,4,8,0.05,0.0692649985871266
"135",27,5,8,0.1,0.123843480995866
"136",28,1,6,0,0.0571130146573631
"137",28,2,8,0.1,0.0932918314584919
"138",28,3,8,0.01,0.103643667062308
"139",28,4,8,0.05,0.0715903600635392
"140",28,5,8,0.01,0.0930148947293058
"141",29,1,8,0.01,0.0541716163235548
"142",29,2,6,0.05,0.0763481877473561
"143",29,3,8,0.05,0.0749303895821817
"144",29,4,8,0.05,0.0904242075395966
"145",29,5,8,0.05,0.102029564761557
"146",30,1,0.1,0,0.0758300500110697
"147",30,2,8,0.05,0.0999407772890076
"148",30,3,8,0.05,0.0654451122420167
"149",30,4,8,0.05,0.0685993551949006
"150",30,5,6,0,0.117725255195246
"151",31,1,8,0.05,0.0659583416959435
"152",31,2,8,0.1,0.0723347747571831
"153",31,3,8,0.05,0.0942237881413072
"154",31,4,8,0.1,0.0732037752218615
"155",31,5,8,0.1,0.130546471611415
"156",32,1,8,0.01,0.0654126139143875
"157",32,2,2,0,0.0590886242207602
"158",32,3,8,0.05,0.0679995910767771
"159",32,4,8,0.05,0.0998001799292859
"160",32,5,8,0.05,0.0887213341452627
"161",33,1,6,0.05,0.0882183394464204
"162",33,2,8,0.1,0.111817461293572
"163",33,3,8,0.05,0.0760068955869148
"164",33,4,8,0.05,0.0842667823892157
"165",33,5,8,0.1,0.108816902970878
"166",34,1,8,0.05,0.081304330093588
"167",34,2,8,0.1,0.131431633831153
"168",34,3,8,0.05,0.070819804867475
"169",34,4,3,0.01,0.105886638492298
"170",34,5,8,0.05,0.100946237079234
"171",35,1,4,0.01,0.0826589909420022
"172",35,2,4,0.01,0.0823838155701371
"173",35,3,8,0.01,0.0610849540012836
"174",35,4,4,0,0.0863696668257863
"175",35,5,8,0.1,0.139988034973224
"176",36,1,3,0.01,0.0757884029609133
"177",36,2,8,0.05,0.0810011595653604
"178",36,3,6,0.05,0.0634995231271233
"179",36,4,6,0.01,0.0796742596174574
"180",36,5,4,0,0.147752405175384
"181",37,1,2,0.01,0.0963113672412165
"182",37,2,8,0.05,0.0650863808827772
"183",37,3,8,0.01,0.0784207942944209
"184",37,4,8,0.05,0.0643414010031259
"185",37,5,8,0.01,0.0968464806608628
"186",38,1,8,0.05,0.0658325668798576
"187",38,2,8,0.05,0.0651026326970762
"188",38,3,8,0.01,0.0686310157038335
"189",38,4,8,0.05,0.115943197255033
"190",38,5,8,0.01,0.124598649732199
"191",39,1,4,0,0.0720573177231833
"192",39,2,8,0.05,0.0642179664222684
"193",39,3,8,0.01,0.0889519887883692
"194",39,4,8,0.05,0.0431678370608258
"195",39,5,8,0.05,0.096739780208115
"196",40,1,6,0.01,0.0754950297994082
"197",40,2,8,0.1,0.0613218311461139
"198",40,3,8,0.05,0.0803950611211156
"199",40,4,8,0,0.0712070587674077
"200",40,5,8,0.05,0.103022657596405
"201",41,1,8,0.05,0.0566916345370149
"202",41,2,0,0,0.072586373890444
"203",41,3,8,0.05,0.0706194836039539
"204",41,4,8,0.01,0.151176926004431
"205",41,5,8,0.01,0.0979188425389254
"206",42,1,8,0.01,0.0999729941027663
"207",42,2,8,0.1,0.084779991935963
"208",42,3,8,0.05,0.0742329712565676
"209",42,4,8,0.01,0.0605422309674655
"210",42,5,6,0,0.138532499572742
"211",43,1,2,0.01,0.0799255770169988
"212",43,2,8,0.1,0.0707395843277174
"213",43,3,6,0.01,0.109894250729787
"214",43,4,8,0.1,0.115500631842606
"215",43,5,8,0.01,0.0899683282871826
"216",44,1,4,0,0.0536309634959105
"217",44,2,8,0.05,0.0689361761717149
"218",44,3,8,0.01,0.0465203615002153
"219",44,4,2,0.01,0.115473855701268
"220",44,5,8,0.01,0.103510390120141
"221",45,1,8,0.01,0.0561007990412798
"222",45,2,8,0.1,0.0696550164672777
"223",45,3,8,0.01,0.0717608671537944
"224",45,4,8,0.05,0.0908245709506089
"225",45,5,8,0.01,0.102691009245289
"226",46,1,8,0.1,0.0812683376941296
"227",46,2,8,0.05,0.0707074421476348
"228",46,3,8,0,0.0756113258367662
"229",46,4,6,0,0.0682485710905709
"230",46,5,8,0.01,0.121776062487131
"231",47,1,8,0.05,0.0575854551980008
"232",47,2,8,0.1,0.0844145867435689
"233",47,3,8,0.01,0.0719159308188816
"234",47,4,6,0.01,0.0697215627988413
"235",47,5,8,0.01,0.0853544809953339
"236",48,1,3,0.01,0.0751069446347279
"237",48,2,8,0.05,0.101101022029317
"238",48,3,8,0,0.0674508015141948
"239",48,4,8,0.05,0.0738242812844984
"240",48,5,8,0.01,0.0764827269212468
"241",49,1,8,0.01,0.0683759694030789
"242",49,2,6,0.1,0.0768062925721948
"243",49,3,8,0.01,0.0749313976762765
"244",49,4,8,0.05,0.0768387143705073
"245",49,5,8,0.05,0.0891865385187268
"246",50,1,8,0.05,0.0639154725085386
"247",50,2,8,0.1,0.0705517676973202
"248",50,3,4,0,0.101374259217091
"249",50,4,8,0.01,0.0839790956928732
"250",50,5,8,0.01,0.095765575345534
