"","model","target","theta","lambda","rmse"
"1",1,1,4,0,0.0555239963518058
"2",1,2,8,0.05,0.0751612036835657
"3",1,3,4,0,0.0625798257334943
"4",1,4,8,0.05,0.067440484677459
"5",1,5,8,0,0.112063374936011
"6",2,1,8,0,0.0628333468261122
"7",2,2,8,0.05,0.0745726235301859
"8",2,3,8,0,0.0962225338188826
"9",2,4,8,0.01,0.0647683657952574
"10",2,5,8,0,0.0915359691448046
"11",3,1,8,0,0.0796897063995239
"12",3,2,8,0,0.0889746567540285
"13",3,3,8,0.01,0.0724317452402734
"14",3,4,6,0.01,0.0797707256827488
"15",3,5,8,0.1,0.162154092082458
"16",4,1,8,0.01,0.058094948701252
"17",4,2,0,0,0.0816137754229794
"18",4,3,8,0.01,0.0440527677824906
"19",4,4,8,0.01,0.0648534603682085
"20",4,5,8,0.01,0.0892197662091615
"21",5,1,8,0.01,0.0640295368072488
"22",5,2,8,0.01,0.0925368589238854
"23",5,3,6,0.01,0.116181383244892
"24",5,4,8,0.01,0.0767606252695359
"25",5,5,8,0.01,0.0880400211991533
"26",6,1,8,0.01,0.077546946482989
"27",6,2,6,0.05,0.0848218410939897
"28",6,3,8,0.01,0.094373745586932
"29",6,4,6,0,0.104318010169251
"30",6,5,8,0.05,0.104380424808982
"31",7,1,8,0.01,0.0557240107707811
"32",7,2,8,0.1,0.0622240007447394
"33",7,3,6,0.01,0.118236016637781
"34",7,4,8,0.05,0.103983833236248
"35",7,5,8,0,0.0980150116115824
"36",8,1,4,0.01,0.112460460388632
"37",8,2,8,0.1,0.0933501815162181
"38",8,3,8,0.05,0.08785731890879
"39",8,4,8,0.05,0.0976784220899966
"40",8,5,8,0.05,0.102686817501498
"41",9,1,2,0,0.103178150381095
"42",9,2,1,0.01,0.0830591010133983
"43",9,3,6,0.01,0.0713356237068387
"44",9,4,8,0.01,0.0662636287080186
"45",9,5,8,0.01,0.100515556026438
"46",10,1,8,0.05,0.0750014768089507
"47",10,2,8,0.1,0.119788565482237
"48",10,3,6,0.01,0.0687054206712646
"49",10,4,8,0,0.120651847148563
"50",10,5,8,0,0.2702107375018
"51",11,1,4,0.01,0.0904346859300807
"52",11,2,8,0.05,0.0658488194501765
"53",11,3,8,0.05,0.0935237151412427
"54",11,4,6,0,0.133558860813679
"55",11,5,8,0.01,0.0909070716135427
"56",12,1,8,0.01,0.0668845212854098
"57",12,2,8,0.05,0.0771262297108081
"58",12,3,8,0,0.0915810902375368
"59",12,4,8,0.01,0.0416219687850794
"60",12,5,8,0,0.0928396528259759
"61",13,1,8,0.05,0.0888732538625843
"62",13,2,8,0.05,0.0772427509393929
"63",13,3,6,0.01,0.0837222242713843
"64",13,4,8,0,0.0663287220231702
"65",13,5,8,0,0.0999107125164093
"66",14,1,3,0,0.0881768038797877
"67",14,2,8,0.05,0.0850773885343244
"68",14,3,8,0.05,0.0732315981410034
"69",14,4,8,0,0.0912980928434845
"70",14,5,8,0.01,0.111812430665503
"71",15,1,6,0.05,0.140554270748335
"72",15,2,2,0,0.0640631790549938
"73",15,3,8,0.01,0.0533319541949806
"74",15,4,8,0.01,0.0988950144750528
"75",15,5,8,0.01,0.106059067719906
"76",16,1,4,0,0.0783324144823438
"77",16,2,8,0.05,0.0865710208607808
"78",16,3,8,0.01,0.0690782250033487
"79",16,4,8,0.01,0.0827878900414042
"80",16,5,8,0.05,0.10836739375401
"81",17,1,8,0,0.0673599346294255
"82",17,2,8,0.05,0.0895490194425739
"83",17,3,8,0.01,0.0547359963103726
"84",17,4,8,0.01,0.0785059230050847
"85",17,5,8,0.1,0.124903516126799
"86",18,1,8,0.05,0.0910930270191822
"87",18,2,0,0,0.0703304774195941
"88",18,3,4,0,0.108864037409988
"89",18,4,8,0.05,0.0875277044275268
"90",18,5,8,0,0.100710124240815
"91",19,1,8,0.05,0.104079506273773
"92",19,2,8,0.1,0.0893010247546054
"93",19,3,8,0.05,0.0820139272181922
"94",19,4,8,0.01,0.0766868148620452
"95",19,5,6,0.01,0.0929967586728194
"96",20,1,8,0,0.0908534392628481
"97",20,2,8,0.01,0.071601500826153
"98",20,3,8,0,0.0619681621730429
"99",20,4,4,0.01,0.0805400699301414
"100",20,5,8,0.1,0.114373883905565
"101",21,1,8,0.05,0.0806811973966524
"102",21,2,0,0,0.0692075699391963
