"","model","target","theta","lambda","rmse"
"1",1,1,4,0.01,0.0551934585283356
"2",1,2,8,0.1,0.0725333712324217
"3",1,3,6,0.01,0.0616324937599384
"4",1,4,8,0.05,0.0637303705507724
"5",1,5,8,0.1,0.107955487332086
"6",2,1,8,0.05,0.0598188976358481
"7",2,2,8,0.2,0.0709531664707677
"8",2,3,8,0.05,0.0928288317038088
"9",2,4,8,0.05,0.0612997610898001
"10",2,5,8,0.01,0.0911602845745915
"11",3,1,8,0.01,0.0778176844578251
"12",3,2,8,0.05,0.0857944415118377
"13",3,3,8,0.05,0.0704138981057118
"14",3,4,8,0.1,0.076129392891451
"15",3,5,8,0.2,0.156579549126317
"16",4,1,8,0.01,0.059058828205662
"17",4,2,0,0,0.0816137754229794
"18",4,3,8,0,0.0442970424691589
"19",4,4,8,0.01,0.0653378227303655
"20",4,5,8,0.01,0.0877333743660116
"21",5,1,8,0.05,0.0613465758467006
"22",5,2,8,0.05,0.088837192406099
"23",5,3,8,0.1,0.108746028074408
"24",5,4,8,0.1,0.0704820833586017
"25",5,5,8,0.1,0.0825133291086385
"26",6,1,8,0.05,0.0751466877533977
"27",6,2,8,0.2,0.0802555585826194
"28",6,3,8,0.05,0.0959365896363861
"29",6,4,6,0.01,0.103086937043501
"30",6,5,8,0.1,0.101163053265113
"31",7,1,8,0.05,0.0537186075631556
"32",7,2,8,0.2,0.0562186625778118
"33",7,3,4,0,0.120648042920452
"34",7,4,8,0.05,0.100044742877128
"35",7,5,8,0.05,0.0943049629545849
"36",8,1,8,0.1,0.105975477567994
"37",8,2,8,0.5,0.0894462344812336
"38",8,3,8,0.2,0.0795122727100911
"39",8,4,6,0.05,0.0990868295609908
"40",8,5,8,0.2,0.100352182166059
"41",9,1,8,0.1,0.103098720880801
"42",9,2,4,0.05,0.0793463684332166
"43",9,3,8,0.05,0.0689991517388234
"44",9,4,8,0.05,0.063262859840517
"45",9,5,8,0.1,0.100643329361989
"46",10,1,8,0.05,0.0749877822476666
"47",10,2,4,0.05,0.119534913842523
"48",10,3,6,0.01,0.0689918057489626
"49",10,4,8,0.05,0.118309431287225
"50",10,5,8,0,0.2702107375018
"51",11,1,4,0,0.0916858072089311
"52",11,2,8,0.1,0.0627314206367099
"53",11,3,4,0,0.0968757647081336
"54",11,4,8,0.2,0.127285729787929
"55",11,5,8,0.05,0.0871365717828162
"56",12,1,8,0.05,0.0647007702755763
"57",12,2,8,0.2,0.0696614922129868
"58",12,3,8,0.01,0.0907193913043887
