"","model","target","theta","lambda","rmse"
"1",1,1,2,0,0.0554977986672942
"2",1,2,0,0,0.0781500475509894
"3",1,3,2,0,0.0625969998749398
"4",1,4,2,0,0.0684628092390145
"5",1,5,4,0,0.112082043389553
"6",2,1,6,0,0.0593677556523868
"7",2,2,2,0,0.0796306395317053
"8",2,3,8,0,0.0907365760783207
"9",2,4,6,0,0.0639235490286366
"10",2,5,6,0,0.0862240161374055
"11",3,1,4,0,0.079725341488173
"12",3,2,6,0,0.0842657848245301
"13",3,3,0,0,0.0746210096872739
"14",3,4,2,0,0.0821568346900616
"15",3,5,2,0,0.164861995230713
"16",4,1,4,0,0.0593664401221805
"17",4,2,0,0,0.0816138396437935
"18",4,3,6,0,0.0406449289101313
"19",4,4,4,0,0.066181815869544
"20",4,5,4,0,0.0896759415555283
"21",5,1,4,0,0.0653896094392162
"22",5,2,3,0,0.094906825640431
"23",5,3,6,0,0.111993300787023
"24",5,4,4,0,0.0793017404623565
"25",5,5,6,0,0.0840185930768103
"26",6,1,3,0,0.0802329146292615
"27",6,2,0.1,0,0.0865836987186005
"28",6,3,3,0,0.0978965083238966
"29",6,4,3,0,0.104377053827008
"30",6,5,6,0,0.107072887621456
"31",7,1,3,0,0.0563873807532388
"32",7,2,6,0,0.063514996219627
"33",7,3,8,0,0.0895107993872201
"34",7,4,6,0,0.105398362057128
"35",7,5,6,0,0.0950618496027517
"36",8,1,1,0,0.114582361851409
"37",8,2,0,0,0.0977763595119362
"38",8,3,3,0,0.0919289252631122
"39",8,4,2,0,0.10316243936534
"40",8,5,3,0,0.108720733719608
"41",9,1,1,0,0.103171167413377
"42",9,2,2,0,0.083486678649662
"43",9,3,3,0,0.074191229124948
"44",9,4,3,0,0.0678061953061102
"45",9,5,3,0,0.110641203490776
"46",10,1,4,0,0.0776685922963505
"47",10,2,1,0,0.120895752074081
"48",10,3,2,0,0.0693381648123137
"49",10,4,6,0,0.117171592083922
"50",10,5,4,0,0.270212245629019
"51",11,1,2,0,0.0918284388970033
"52",11,2,1,0,0.0695062265056312
"53",11,3,2,0,0.0967442625851172
"54",11,4,3,0,0.133610901357718
"55",11,5,4,0,0.0918737512051605
"56",12,1,8,0,0.061748179783144
"57",12,2,6,0,0.0749105502948727
"58",12,3,6,0,0.0907450468622743
"59",12,4,6,0,0.039823300292568
"60",12,5,6,0,0.0857390309996226
"61",13,1,8,0,0.0871667375098889
"62",13,2,4,0,0.0781820053092025
"63",13,3,3,0,0.0839974741498838
"64",13,4,6,0,0.0656806205737933
"65",13,5,6,0,0.097085359354682
"66",14,1,6,0,0.0797170937880296
"67",14,2,4,0,0.0872027585976374
"68",14,3,2,0,0.0780363711794798
"69",14,4,8,0,0.0852579225119807
"70",14,5,4,0,0.116152259285859
"71",15,1,1,0,0.141564328703754
"72",15,2,8,0,0.0577447181514102
"73",15,3,4,0,0.0543774114306328
"74",15,4,2,0,0.10166337223035
"75",15,5,4,0,0.107882897505553
"76",16,1,2,0,0.0783433800095524
"77",16,2,0.5,0,0.0879511003396673
"78",16,3,4,0,0.0733881819210102
"79",16,4,6,0,0.0830344482852012
"80",16,5,4,0,0.116127780610917
"81",17,1,6,0,0.0537699564743006
"82",17,2,4,0,0.0902548728218919
"83",17,3,6,0,0.0576746504776116
"84",17,4,3,0,0.0795151871018591
"85",17,5,3,0,0.131267571792377
"86",18,1,2,0,0.0937585183326366
"87",18,2,0,0,0.0703311594031287
"88",18,3,2,0,0.108867427185623
"89",18,4,2,0,0.089716087875648
"90",18,5,6,0,0.0957767562529458
"91",19,1,1,0,0.108861267048935
"92",19,2,1,0,0.100052270225559
"93",19,3,1,0,0.0848251415947107
"94",19,4,4,0,0.0795877550328742
"95",19,5,3,0,0.0935838681592479
"96",20,1,6,0,0.0796058614968542
"97",20,2,6,0,0.0655790203644793
"98",20,3,4,0,0.0620274298283907
"99",20,4,8,0,0.0745454614704341
"100",20,5,3,0,0.124706664897057
"101",21,1,2,0,0.0825511744750906
"102",21,2,0,0,0.069300713131196
"103",21,3,3,0,0.0681626472250612
"104",21,4,1,0,0.0782335790556463
"105",21,5,6,0,0.115171680805624
"106",22,1,3,0,0.0863517971735857
"107",22,2,0.1,0,0.0973269999169825
"108",22,3,3,0,0.0661278961748334
"109",22,4,4,0,0.0691193188202848
"110",22,5,4,0,0.131369193862422
"111",23,1,2,0,0.0576753648664953
"112",23,2,4,0,0.0635142954118312
"113",23,3,2,0,0.0798801166017671
"114",23,4,8,0,0.0892549495191932
"115",23,5,4,0,0.102325080792877
"116",24,1,6,0,0.0451935407721956
"117",24,2,2,0,0.0699034905795097
"118",24,3,8,0,0.0948317810512406
"119",24,4,8,0,0.0404198429299624
"120",24,5,6,0,0.0933403887398485
"121",25,1,6,0,0.0878849057948328
"122",25,2,4,0,0.0768290083011967
"123",25,3,4,0,0.0822640429925627
"124",25,4,6,0,0.0584750609053467
"125",25,5,6,0,0.0929121451362523
"126",26,1,2,0,0.0609876208263005
"127",26,2,6,0,0.105068268503606
"128",26,3,3,0,0.0686295237575018
"129",26,4,1,0,0.0803939230302357
"130",26,5,3,0,0.112943496873823
"131",27,1,1,0,0.0765432040194858
"132",27,2,1,0,0.0747734403936758
"133",27,3,8,0,0.0651248453723459
"134",27,4,2,0,0.0694460113483786
"135",27,5,2,0,0.129263349713442
"136",28,1,3,0,0.0571155455670044
"137",28,2,2,0,0.102575441526355
"138",28,3,4,0,0.103890332137859
"139",28,4,3,0,0.071919977027286
"140",28,5,6,0,0.0918554629912923
"141",29,1,3,0,0.0544272442878499
"142",29,2,6,0,0.077616714901709
"143",29,3,2,0,0.0768010791277854
"144",29,4,6,0,0.0877909524459797
"145",29,5,4,0,0.103173737892408
"146",30,1,0.1,0,0.0758022881289788
"147",30,2,4,0,0.110805558192058
"148",30,3,2,0,0.0708433903293627
"149",30,4,6,0,0.0682029242788092
"150",30,5,3,0,0.117766229214291
"151",31,1,1,0,0.068260502267638
"152",31,2,1,0,0.0750332600512566
"153",31,3,6,0,0.0948902355770065
"154",31,4,3,0,0.0769692779318656
"155",31,5,6,0,0.134976224145075
"156",32,1,4,0,0.0673075264595542
"157",32,2,1,0,0.0590934807687925
"158",32,3,3,0,0.0697184231958553
"159",32,4,6,0,0.0985288891908507
"160",32,5,4,0,0.0935379119995405
"161",33,1,3,0,0.0887840955698588
"162",33,2,0,0,0.118494210045721
"163",33,3,3,0,0.0786228139086399
"164",33,4,4,0,0.0881268459424616
"165",33,5,4,0,0.114616126971429
"166",34,1,2,0,0.0825239973404355
"167",34,2,2,0,0.140193743308429
"168",34,3,2,0,0.0720689410141997
"169",34,4,1,0,0.105971917635452
"170",34,5,4,0,0.108930316845022
"171",35,1,2,0,0.083660877725402
"172",35,2,2,0,0.0837981144659308
"173",35,3,6,0,0.0599344333805358
"174",35,4,2,0,0.0863864346067694
"175",35,5,4,0,0.147031345672101
"176",36,1,1,0,0.0762008180820697
"177",36,2,8,0,0.0824636704812681
"178",36,3,1,0,0.0667274968742529
"179",36,4,6,0,0.0762612732385983
"180",36,5,2,0,0.147858818087794
"181",37,1,1,0,0.0977361409847551
"182",37,2,8,0,0.0648015913891568
"183",37,3,6,0,0.0775006198476999
"184",37,4,4,0,0.0659597606111514
"185",37,5,6,0,0.0940037979218876
"186",38,1,1,0,0.0693910618021009
"187",38,2,8,0,0.0577804681875022
"188",38,3,8,0,0.0611079045842316
"189",38,4,2,0,0.116856156985778
"190",38,5,4,0,0.125478898002732
"191",39,1,2,0,0.0720525524576778
"192",39,2,6,0,0.0661238128574323
"193",39,3,6,0,0.0886196279284271
"194",39,4,3,0,0.0456348489929804
"195",39,5,4,0,0.0987238370173128
"196",40,1,3,0,0.075866133926226
"197",40,2,4,0,0.0699055886331026
"198",40,3,8,0,0.0738582627823233
"199",40,4,4,0,0.071253802934374
"200",40,5,8,0,0.0995967926896499
"201",41,1,8,0,0.0476943573345586
"202",41,2,6,0,0.0682511505462286
"203",41,3,8,0,0.0705525528607888
"204",41,4,8,0,0.138363327620585
"205",41,5,6,0,0.0960672167280475
"206",42,1,4,0,0.101735931364515
"207",42,2,2,0,0.0892986561288324
"208",42,3,4,0,0.0745821052363076
"209",42,4,2,0,0.0630708464062755
"210",42,5,3,0,0.138575958053197
"211",43,1,6,0,0.0768013975374884
"212",43,2,0,0,0.076426756236443
"213",43,3,3,0,0.11090563196317
"214",43,4,0.5,0,0.119366482182666
"215",43,5,6,0,0.0951240817656314
"216",44,1,2,0,0.0536298154256778
"217",44,2,4,0,0.0713033956929944
"218",44,3,3,0,0.046957408595798
"219",44,4,1,0,0.116081033760023
