"","model","target","theta","lambda","rmse"
"1",1,1,8,0.2,0.381205445175196
"2",1,2,4,0.05,0.240747159877535
"3",1,3,2,0,0.304978894272904
"4",1,4,8,0.1,0.184881831800727
"5",1,5,8,0.5,0.215690071463156
"6",2,1,6,0.1,0.266437991423217
"7",2,2,8,0.1,0.169522963735744
"8",2,3,1,0.05,0.186330567505826
"9",2,4,8,0.01,0.204022492679984
"10",2,5,8,0.05,0.28166494370552
"11",3,1,8,0.5,0.434226005033401
"12",3,2,8,0.1,0.256547221855076
"13",3,3,8,0.2,0.387017070700072
"14",3,4,8,0.05,0.17422175396359
"15",3,5,4,0.05,0.279461829077206
"16",4,1,3,0.01,0.159143769127241
"17",4,2,8,0.05,0.252770398573014
"18",4,3,0,0,0.254650423165961
"19",4,4,8,0.2,0.209449197239843
"20",4,5,6,0.1,0.197580647758158
"21",5,1,0.5,0.01,0.201928963784301
"22",5,2,8,0.1,0.177933946633654
"23",5,3,8,0,0.193176546595969
"24",5,4,8,0.1,0.155834608065931
"25",5,5,8,0.1,0.156644693476953
"26",6,1,8,1,0.347500153243165
"27",6,2,1,0.01,0.344279130393387
"28",6,3,8,0.1,0.278710775659262
"29",6,4,4,0,0.177186604324379
"30",6,5,3,0.05,0.22940915325066
"31",7,1,4,0,0.21984361360672
"32",7,2,8,0.2,0.200011021701394
"33",7,3,4,0.05,0.313340972187796
"34",7,4,8,0.1,0.164760324679283
"35",7,5,8,0.05,0.185878998795475
"36",8,1,8,0.2,0.28014028962917
"37",8,2,2,0.01,0.267258505913011
"38",8,3,8,0.1,0.274102645319049
"39",8,4,8,0.1,0.171664922358237
"40",8,5,6,0.1,0.19959100971465
"41",9,1,8,0.05,0.229508542119203
"42",9,2,4,0.01,0.148299365612345
"43",9,3,8,0.01,0.158672983927445
"44",9,4,6,0.1,0.160239338192521
"45",9,5,8,0,0.150715888899512
"46",10,1,0.5,0.01,0.354555917734829
"47",10,2,8,0.05,0.169733276356793
"48",10,3,8,0.05,0.171406084713142
"49",10,4,8,0.01,0.140533575025345
"50",10,5,8,0.05,0.133361745446089
"51",11,1,8,0.2,0.213678448190507
"52",11,2,8,0.1,0.20861125101937
"53",11,3,3,0,0.23415467178943
"54",11,4,8,0.05,0.137685871745156
"55",11,5,8,0.1,0.182731585068871
"56",12,1,4,0.1,0.318366316277427
"57",12,2,8,0.1,0.298981204454877
"58",12,3,8,2,0.374281326757961
"59",12,4,8,0.05,0.167538394229717
"60",12,5,3,0.01,0.219133529307051
"61",13,1,8,1,0.206101459801835
"62",13,2,8,0.05,0.256037357918643
"63",13,3,2,0.05,0.243295351915965
"64",13,4,8,0.1,0.163402569598745
"65",13,5,8,0.05,0.180270346526157
"66",14,1,8,0.2,0.217258256650049
"67",14,2,8,0.05,0.19766201578197
"68",14,3,2,0.01,0.171615348851078
"69",14,4,8,0.01,0.170818212166706
"70",14,5,8,0.2,0.210074033773385
"71",15,1,0,0,0.180874114699713
"72",15,2,8,0.5,0.326069087406012
"73",15,3,8,0.1,0.241831956520511
"74",15,4,4,0.1,0.254623965903956
"75",15,5,8,0.1,0.194249366613097
"76",16,1,8,0.05,0.18331667105499
"77",16,2,4,0.05,0.286390043111164
"78",16,3,4,0.05,0.194456027534952
"79",16,4,4,0.05,0.209045511657714
"80",16,5,8,0.05,0.182335076130087
"81",17,1,8,0.2,0.240988818089181
"82",17,2,8,0.2,0.235333060026591
"83",17,3,6,0.05,0.208885928911765
"84",17,4,8,0.2,0.222679672438091
"85",17,5,4,0.05,0.179624052405682
"86",18,1,8,0.5,0.295724713818342
"87",18,2,8,0.05,0.291701348732224
"88",18,3,8,0.1,0.203464816289077
"89",18,4,8,0.1,0.167585902990876
"90",18,5,8,0.2,0.2124137319498
"91",19,1,8,0.2,0.286678946411235
"92",19,2,8,0.2,0.212027425687012
"93",19,3,8,0.2,0.215348245829285
"94",19,4,8,0.1,0.167305287066553
"95",19,5,8,0.1,0.177775267953147
"96",20,1,8,0.2,0.385754539046558
"97",20,2,6,0.05,0.235934168085544
"98",20,3,8,0.05,0.177412894277365
"99",20,4,6,0.05,0.158148711504424
"100",20,5,8,0.1,0.163930596655796
"101",21,1,0,0.05,0.567715770315232
"102",21,2,6,0.1,0.235763178230555
"103",21,3,8,0.2,0.278481324339303
"104",21,4,8,0.1,0.169295743755359
"105",21,5,3,0.05,0.251846828890367
"106",22,1,8,0.2,0.409512250657369
"107",22,2,0.1,0.01,0.396999320256703
"108",22,3,2,0.01,0.18079496040693
"109",22,4,6,0.05,0.188679123611333
"110",22,5,8,0.05,0.158525508459347
"111",23,1,8,0.2,0.15523551075542
"112",23,2,4,0,0.247569929369151
"113",23,3,0.5,0.01,0.286529219753521
"114",23,4,8,0.05,0.15906458813157
"115",23,5,8,0.05,0.160186078994408
"116",24,1,0.5,0,0.175836825170812
"117",24,2,8,0.05,0.104054155811021
"118",24,3,8,0.01,0.175211711422122
"119",24,4,8,0.05,0.157349189222703
"120",24,5,6,0.05,0.183828078372102
"121",25,1,1,0.01,0.212720223040385
"122",25,2,8,0.1,0.272878689211858
"123",25,3,3,0.05,0.258611513417652
"124",25,4,8,0.05,0.205808930405078
"125",25,5,8,0.01,0.166686159010693
"126",26,1,8,0.2,0.282731355405567
"127",26,2,3,0.01,0.168333563669135
"128",26,3,8,0.01,0.193790047145033
"129",26,4,8,0.1,0.161126489367232
"130",26,5,8,0.1,0.196205403751885
"131",27,1,0,0.01,0.338990695024791
"132",27,2,0.5,0.01,0.205145282135736
"133",27,3,8,0.2,0.229451308540279
"134",27,4,8,0,0.169596265561109
"135",27,5,8,0.05,0.150952412372416
"136",28,1,8,0.05,0.207330549773847
"137",28,2,0.1,0,0.142637480954664
"138",28,3,8,0.05,0.181292165907618
"139",28,4,0.1,0.01,0.438250805880595
"140",28,5,2,0.05,0.233609884899131
"141",29,1,8,0.5,0.317446531956437
"142",29,2,8,0.05,0.259072778784133
"143",29,3,8,0.2,0.349186487732732
"144",29,4,8,0.1,0.160199475022144
"145",29,5,6,0.05,0.198952007884006
"146",30,1,8,1,0.539763438921499
"147",30,2,2,0.05,0.338161415208592
"148",30,3,4,0.05,0.343140898383894
"149",30,4,8,0.1,0.185545334351982
"150",30,5,2,0.01,0.201317885559967
