"","model","target","theta","lambda","rmse"
"1",1,1,8,0.2,0.386032071793614
"2",1,2,4,0.05,0.243793966281397
"3",1,3,2,0,0.304978894272904
"4",1,4,8,0.1,0.184543310599698
"5",1,5,4,0.05,0.21893444144238
"6",2,1,6,0.05,0.268538634324845
"7",2,2,8,0.05,0.172796622559079
"8",2,3,8,0.1,0.187486068948662
"9",2,4,8,0.01,0.204226889358806
"10",2,5,3,0.05,0.282525725333832
"11",3,1,8,0.5,0.432237219084327
"12",3,2,8,0.1,0.256751125362252
"13",3,3,4,0.05,0.389861654879487
"14",3,4,8,0.01,0.17428629389978
"15",3,5,4,0.05,0.279914529448537
"16",4,1,3,0.01,0.158968601466515
"17",4,2,8,0.01,0.253802648878452
"18",4,3,0,0,0.254650423165961
"19",4,4,8,0.1,0.211880155266353
"20",4,5,6,0.05,0.198954977834162
"21",5,1,0.5,0.01,0.201690816100496
"22",5,2,8,0.1,0.179820670673251
"23",5,3,8,0,0.193176546595969
"24",5,4,8,0.1,0.157960862094136
"25",5,5,8,0.05,0.156966490540526
"26",6,1,8,1,0.346650421038464
"27",6,2,1,0.01,0.34329602496881
"28",6,3,8,0.05,0.280587176785203
"29",6,4,4,0,0.177186604324379
"30",6,5,8,0.2,0.229556140640323
"31",7,1,4,0,0.21984361360672
"32",7,2,2,0.01,0.200272654206382
"33",7,3,4,0.01,0.31420869331817
"34",7,4,8,0.05,0.165655483106045
"35",7,5,8,0.01,0.186611590104277
"36",8,1,8,0.2,0.279973853292632
"37",8,2,2,0.01,0.266787438643
"38",8,3,8,0.1,0.276873278985898
"39",8,4,8,0.05,0.173589257684874
"40",8,5,6,0.05,0.20064703332367
"41",9,1,8,0.05,0.23076862583766
"42",9,2,4,0,0.148774898563731
"43",9,3,8,0.01,0.158729354174506
"44",9,4,4,0,0.162340151515612
"45",9,5,8,0,0.150715888899512
"46",10,1,0.5,0.01,0.354688871172115
"47",10,2,8,0.01,0.171035994657172
"48",10,3,8,0.05,0.172039175344479
"49",10,4,8,0,0.141005687831768
"50",10,5,8,0.05,0.132603062271647
"51",11,1,8,0.2,0.216121156553019
"52",11,2,8,0.05,0.20987253665439
"53",11,3,3,0,0.23415467178943
"54",11,4,8,0.05,0.138538476640088
"55",11,5,8,0.1,0.186050208831545
"56",12,1,4,0.05,0.321167486482747
"57",12,2,6,0.05,0.301373662681432
"58",12,3,8,2,0.374281326757961
"59",12,4,8,0.05,0.17125384713853
"60",12,5,3,0.01,0.219100617516254
"61",13,1,8,1,0.206101459801835
"62",13,2,6,0,0.258022656501834
"63",13,3,1,0.01,0.245459119175286
"64",13,4,8,0.05,0.165781718808646
"65",13,5,8,0.05,0.180880294706107
"66",14,1,8,0.2,0.217163481460864
"67",14,2,6,0.01,0.199866975018652
"68",14,3,2,0.01,0.171407152742702
"69",14,4,8,0.01,0.171311468044279
"70",14,5,8,0.1,0.210009550962315
"71",15,1,0,0,0.180874114699713
