"","model","target","theta","lambda","rmse"
"1",1,1,8,1,0.366497345864726
"2",1,2,6,0.2,0.239484588926416
"3",1,3,2,0.05,0.30303902804307
"4",1,4,6,0.2,0.18974754644215
"5",1,5,8,1,0.215305757537852
"6",2,1,8,0.5,0.269040831139457
"7",2,2,8,0.2,0.16805235799859
"8",2,3,2,0.05,0.182379049376327
"9",2,4,8,0.01,0.204279459659972
"10",2,5,8,0.2,0.277914717596805
"11",3,1,2,0.1,0.430943654234956
"12",3,2,8,0.2,0.258419449728348
"13",3,3,6,0.2,0.383578469960103
"14",3,4,8,0.1,0.169543505564661
"15",3,5,3,0.05,0.28135793272688
"16",4,1,2,0.01,0.159281093123036
"17",4,2,8,0.2,0.243293116217307
"18",4,3,0,0,0.254650423165961
"19",4,4,8,0.5,0.208403013371371
"20",4,5,6,0.1,0.197501133062135
"21",5,1,1,0.01,0.202876412852299
"22",5,2,8,0.2,0.17003999176898
"23",5,3,8,0,0.193176546595969
"24",5,4,8,0.2,0.153818153343749
"25",5,5,8,0.5,0.155570739849452
"26",6,1,8,5,0.342156495975113
"27",6,2,1,0.01,0.344990685410868
"28",6,3,6,0.2,0.271737875466006
"29",6,4,4,0.05,0.174905984465586
"30",6,5,4,0.2,0.228198924552169
"31",7,1,8,0.2,0.213033980328504
"32",7,2,8,0.2,0.193115571231736
"33",7,3,4,0.1,0.311875034141054
"34",7,4,8,0.1,0.162397695266049
"35",7,5,8,0.1,0.182041913584739
"36",8,1,8,0.5,0.276900058053984
"37",8,2,2,0.01,0.267619296928111
"38",8,3,8,0.5,0.262351651098648
"39",8,4,8,0.2,0.176735419536434
"40",8,5,6,0.2,0.201348237454164
"41",9,1,8,0.1,0.228853615294388
"42",9,2,8,0.1,0.144970912159159
"43",9,3,8,0.05,0.158225923173003
"44",9,4,6,0.2,0.158618869913861
"45",9,5,8,0.05,0.148697852947378
"46",10,1,1,0.05,0.355410377505261
"47",10,2,8,0.1,0.166387280870779
"48",10,3,8,0.1,0.172210388860768
"49",10,4,8,0.05,0.138974457502821
"50",10,5,8,0.05,0.134037410779861
"51",11,1,8,0.5,0.206942077649504
"52",11,2,8,0.2,0.20626327912438
"53",11,3,8,0.2,0.225211239015668
"54",11,4,8,0.1,0.137091851383438
"55",11,5,8,0.2,0.183220930008647
"56",12,1,8,1,0.313150055099615
"57",12,2,8,0.5,0.291096227874298
"58",12,3,8,0.5,0.359367906980916
"59",12,4,8,0.2,0.162117049165344
"60",12,5,6,0.1,0.216175526765931
"61",13,1,8,1,0.198513362273711
"62",13,2,8,0.1,0.251385414068552
"63",13,3,8,1,0.240299188813626
"64",13,4,8,0.1,0.16241875626187
"65",13,5,8,0.1,0.182035524461839
"66",14,1,8,0.5,0.217952450378471
"67",14,2,8,0.1,0.196073656950504
"68",14,3,2,0.01,0.171816044242567
"69",14,4,8,0.05,0.169517523312912
"70",14,5,8,0.5,0.214428747148221
"71",15,1,0,0,0.180874114699713
"72",15,2,8,1,0.320629497387805
"73",15,3,8,0.2,0.230786314229952
"74",15,4,8,0.5,0.243586237685687
"75",15,5,8,0.2,0.197576023869659
"76",16,1,8,0.2,0.171883115866367
"77",16,2,8,0.2,0.283558402693466
"78",16,3,8,0.2,0.184930642759424
"79",16,4,4,0.05,0.20842970984828
"80",16,5,8,0.2,0.176708116202472
"81",17,1,8,0.5,0.229511724459001
"82",17,2,8,1,0.231526375959361
"83",17,3,4,0.05,0.208824644800967
