"","model","target","theta","lambda","rmse"
"1",1,1,0,0,0.39331797439398
"2",1,2,1,0,0.24446320872837
"3",1,3,1,0,0.304995701830417
"4",1,4,2,0,0.196555005730046
"5",1,5,2,0,0.220345927040947
"6",2,1,2,0,0.27979305533415
"7",2,2,3,0,0.181479932554038
"8",2,3,0.1,0,0.189426519237773
"9",2,4,3,0,0.205230383165714
"10",2,5,1,0,0.28455834715712
"11",3,1,0.5,0,0.435853720168209
"12",3,2,2,0,0.266486970277572
"13",3,3,1,0,0.396592919584384
"14",3,4,3,0,0.180024919187975
"15",3,5,1,0,0.283753636928295
"16",4,1,1,0,0.1595189244961
"17",4,2,6,0,0.244425655454164
"18",4,3,0,0,0.254650323734987
"19",4,4,3,0,0.223586254750138
"20",4,5,3,0,0.202734748416095
"21",5,1,0.5,0,0.203047590239554
"22",5,2,6,0,0.191271166959726
"23",5,3,4,0,0.19314317975977
"24",5,4,3,0,0.167517314289306
"25",5,5,4,0,0.165038757060785
"26",6,1,0,0,0.376660887302999
"27",6,2,0.5,0,0.34539225131295
"28",6,3,3,0,0.286934068461989
"29",6,4,2,0,0.177185339004173
"30",6,5,0.5,0,0.2345847412447
"31",7,1,2,0,0.219838261108397
"32",7,2,1,0,0.200575117042041
"33",7,3,2,0,0.315192989300683
"34",7,4,4,0,0.171604991017996
"35",7,5,4,0,0.18845211260761
"36",8,1,6,0,0.286177124348154
"37",8,2,1,0,0.267692889336322
"38",8,3,4,0,0.286748176852697
"39",8,4,2,0,0.186414771040863
"40",8,5,2,0,0.210310599764471
"41",9,1,0,0,0.234565942013035
"42",9,2,2,0,0.148769944990435
"43",9,3,3,0,0.159587461830842
"44",9,4,2,0,0.162326201558035
"45",9,5,4,0,0.150724471546611
"46",10,1,0.1,0,0.357301411941275
"47",10,2,6,0,0.163988637286462
"48",10,3,2,0,0.177239890832449
"49",10,4,4,0,0.141013226182158
"50",10,5,3,0,0.138818364054243
"51",11,1,0.5,0,0.230952846540804
"52",11,2,2,0,0.216247298641391
"53",11,3,1,0,0.234531609343844
"54",11,4,4,0,0.148050633954312
"55",11,5,4,0,0.200474932629164
"56",12,1,1,0,0.325683759515676
"57",12,2,2,0,0.307613553190904
"58",12,3,0.5,0,0.377133771084915
"59",12,4,4,0,0.174380569867375
"60",12,5,2,0,0.221658344567526
"61",13,1,0,0,0.235835621202274
"62",13,2,3,0,0.25801782835652
"63",13,3,0.5,0,0.248435152215792
"64",13,4,3,0,0.171064930758393
"65",13,5,4,0,0.187345214737597
"66",14,1,0.1,0,0.226469512854756
"67",14,2,3,0,0.202670801595188
"68",14,3,1,0,0.173692042934628
"69",14,4,4,0,0.171778897815048
"70",14,5,2,0,0.227277535118252
"71",15,1,0,0,0.180873140303489
"72",15,2,4,0,0.347457073030393
"73",15,3,2,0,0.248102079215853
"74",15,4,2,0,0.263683487857024
"75",15,5,2,0,0.207395585645806
"76",16,1,3,0,0.18829593678383
"77",16,2,2,0,0.292216525901525
"78",16,3,1,0,0.195887509496557
"79",16,4,2,0,0.211910193048079
"80",16,5,3,0,0.189386076688025
"81",17,1,0,0,0.251275018526327
"82",17,2,0.5,0,0.246108969811376
"83",17,3,2,0,0.209681476907331
"84",17,4,2,0,0.242100295777585
"85",17,5,2,0,0.18333022477302
"86",18,1,1,0,0.317383818659263
"87",18,2,6,0,0.284836692232602
"88",18,3,3,0,0.212559154247517
"89",18,4,4,0,0.178177920112546
"90",18,5,3,0,0.220931435161033
"91",19,1,0.5,0,0.304480048610747
"92",19,2,2,0,0.232223705269304
"93",19,3,0.5,0,0.2376020085288
"94",19,4,3,0,0.187201273201368
"95",19,5,4,0,0.190965121451446
"96",20,1,3,0,0.398240600220672
"97",20,2,2,0,0.238708874645142
"98",20,3,2,0,0.180448781275244
"99",20,4,2,0,0.160542175044926
"100",20,5,4,0,0.176463738303592
"101",21,1,0,0,0.569549550123242
"102",21,2,1,0,0.242377021689284
"103",21,3,1,0,0.293934232776758
"104",21,4,2,0,0.175880648888449
"105",21,5,1,0,0.256286481392374
"106",22,1,2,0,0.421940808795019
"107",22,2,0.1,0,0.398066754865931
"108",22,3,1,0,0.181254192891454
"109",22,4,3,0,0.190904937490614
"110",22,5,8,0,0.162821648816245
"111",23,1,0,0,0.15672131366404
"112",23,2,2,0,0.247558384380892
"113",23,3,0.5,0,0.288195730140812
"114",23,4,4,0,0.171300458470985
"115",23,5,3,0,0.16780923407424
"116",24,1,0.5,0,0.175977384321133
"117",24,2,6,0,0.100457380020956
"118",24,3,3,0,0.175649395455176
"119",24,4,3,0,0.161888063739939
"120",24,5,2,0,0.19006662635478
"121",25,1,0.1,0,0.215111542960476
"122",25,2,1,0,0.287491350216696
"123",25,3,1,0,0.260782186418178
"124",25,4,4,0,0.213643713289711
"125",25,5,4,0,0.166778355592066
"126",26,1,1,0,0.31425008440808
"127",26,2,1,0,0.169554853453562
"128",26,3,6,0,0.194449693284142
"129",26,4,6,0,0.177167569117737
"130",26,5,3,0,0.201884024854095
"131",27,1,0,0,0.340743434827219
"132",27,2,0.1,0,0.205985830752355
"133",27,3,6,0,0.23150219259202
"134",27,4,6,0,0.167762601481962
"135",27,5,3,0,0.163815213622969
"136",28,1,3,0,0.224751872357141
"137",28,2,0.1,0,0.142484548770283
"138",28,3,3,0,0.193631878950968
"139",28,4,0.1,0,0.441823140145844
"140",28,5,1,0,0.235265052509578
"141",29,1,2,0,0.334039375709907
"142",29,2,2,0,0.262589325361637
"143",29,3,1,0,0.35925318971556
"144",29,4,3,0,0.174579343722232
"145",29,5,2,0,0.20085572158714
"146",30,1,0.5,0,0.587079713186768
"147",30,2,0.5,0,0.341404309369151
"148",30,3,1,0,0.352094916991039
"149",30,4,6,0,0.192147140651158
"150",30,5,1,0,0.201723111189132
"151",31,1,1,0,0.241866606732271
"152",31,2,0.5,0,0.303427154016623
"153",31,3,2,0,0.239799199813597
"154",31,4,3,0,0.189966760624656
"155",31,5,6,0,0.206849484471429
"156",32,1,3,0,0.38361144561269
"157",32,2,2,0,0.24998306416216
"158",32,3,1,0,0.20013457728774
"159",32,4,4,0,0.191953148670658
"160",32,5,6,0,0.204666432823165
"161",33,1,0,0,0.259449316363511
"162",33,2,0.5,0,0.299546482286539
"163",33,3,4,0,0.169242111503617
"164",33,4,2,0,0.225187421665646
"165",33,5,4,0,0.174756740131914
"166",34,1,3,0,0.190054096490894
"167",34,2,3,0,0.185328883032699
"168",34,3,3,0,0.158945363450568
"169",34,4,3,0,0.194914434023303
"170",34,5,0,0,0.385175137760057
"171",35,1,1,0,0.196878330624517
"172",35,2,2,0,0.217609471021476
"173",35,3,1,0,0.267072670837096
"174",35,4,4,0,0.169085122968563
"175",35,5,1,0,0.197303919152392
"176",36,1,0.5,0,0.204870682507371
"177",36,2,3,0,0.220773717561251
"178",36,3,0,0,0.371723519376839
"179",36,4,3,0,0.157966972978898
"180",36,5,3,0,0.171681577429128
"181",37,1,0,0,0.25432696403408
"182",37,2,1,0,0.181416740134237
"183",37,3,0.1,0,0.269805398634604
"184",37,4,3,0,0.185519849064057
"185",37,5,1,0,0.243153375613272
"186",38,1,2,0,0.26992696994616
"187",38,2,1,0,0.257638858474096
"188",38,3,0,0,0.282102010751292
"189",38,4,2,0,0.175252497880227
"190",38,5,4,0,0.199268088874786
"191",39,1,0.1,0,0.353507327528233
"192",39,2,0.5,0,0.327673488644697
"193",39,3,3,0,0.294291505898458
"194",39,4,2,0,0.199398647909563
"195",39,5,4,0,0.163003150340598
"196",40,1,0,0,0.351534511023131
"197",40,2,1,0,0.176634401121796
"198",40,3,2,0,0.182043963228966
"199",40,4,2,0,0.205255758660952
"200",40,5,3,0,0.18258474845002
"201",41,1,0,0,0.283873561490792
"202",41,2,2,0,0.237280705260472
"203",41,3,1,0,0.224747531723349
"204",41,4,4,0,0.150608144236596
"205",41,5,4,0,0.18296169813825
"206",42,1,1,0,0.491929580720433
"207",42,2,0.5,0,0.258985755600908
"208",42,3,0,0,0.332354352237134
"209",42,4,3,0,0.143416931383553
"210",42,5,2,0,0.168665922597119
"211",43,1,0,0,0.326674923877813
"212",43,2,1,0,0.232697765216589
"213",43,3,2,0,0.21698953654918
"214",43,4,4,0,0.19988128622091
"215",43,5,3,0,0.142226059202026
"216",44,1,3,0,0.150331791126008
"217",44,2,1,0,0.20887104539366
"218",44,3,2,0,0.186780079894196
"219",44,4,3,0,0.161101650356516
"220",44,5,4,0,0.159223512193408
"221",45,1,1,0,0.256982255592242
"222",45,2,1,0,0.236927329150302
"223",45,3,0.5,0,0.254987746469877
"224",45,4,2,0,0.191868702719203
"225",45,5,2,0,0.159990239632849
"226",46,1,0.5,0,0.2613416883955
"227",46,2,2,0,0.278977503716278
"228",46,3,1,0,0.205585447611746
"229",46,4,3,0,0.196492805588934
"230",46,5,6,0,0.155868251280934
"231",47,1,0.5,0,0.339600491459065
"232",47,2,2,0,0.283638172669741
"233",47,3,1,0,0.258328944771282
"234",47,4,0.5,0,0.179256389998795
"235",47,5,2,0,0.217772890403857
"236",48,1,1,0,0.152521882535103
"237",48,2,8,0,0.195760376450794
"238",48,3,3,0,0.244755715222035
"239",48,4,4,0,0.177904833543452
"240",48,5,3,0,0.201099832405765
"241",49,1,4,0,0.128374160094813
"242",49,2,1,0,0.191648217089436
"243",49,3,3,0,0.178695867355002
"244",49,4,3,0,0.189304519446191
"245",49,5,3,0,0.223836831950662
"246",50,1,1,0,0.328713722792308
"247",50,2,2,0,0.238666485061067
"248",50,3,0.1,0,0.239662021364961
"249",50,4,3,0,0.173601310458868
"250",50,5,1,0,0.185569471037977
