"","model","target","theta","lambda","rmse"
"1",1,1,3,0.2,0.78149836973972
"2",1,2,3,0.1,0.580139970758222
"3",1,3,8,0.5,0.581533339996992
"4",1,4,6,0.5,0.534175544729371
"5",1,5,8,2,0.567257674302861
"6",2,1,8,5,0.691717200505291
"7",2,2,2,0.2,0.671682669753685
"8",2,3,8,2,0.516160247506378
"9",2,4,8,1,0.610875410466211
"10",2,5,2,0.2,0.67494479806087
"11",3,1,1,0.2,0.797290746148249
"12",3,2,1,0.05,0.580488485385165
"13",3,3,6,5,0.866318606730172
"14",3,4,8,1,0.470368165200823
"15",3,5,6,1,0.695617699849945
"16",4,1,0.5,0,0.473318116267772
"17",4,2,8,5,0.641680294737078
"18",4,3,8,8,0.567245263516537
"19",4,4,8,1,0.44525373784328
"20",4,5,3,0.2,0.528180261468602
"21",5,1,0.5,0.05,0.546560822155658
"22",5,2,8,0.5,0.376611990691339
"23",5,3,8,0.5,0.420931080792751
"24",5,4,6,0.2,0.422827412516561
"25",5,5,8,5,0.424974190592609
"26",6,1,1,0.1,0.759612241177836
"27",6,2,0,0.05,0.598630789082551
"28",6,3,8,2,0.524673063689765
"29",6,4,3,0.1,0.50321143190307
"30",6,5,8,1,0.580093338776775
"31",7,1,0,0.05,0.637722555580106
"32",7,2,2,0.2,0.606532134956348
"33",7,3,2,0.2,0.671840010030666
"34",7,4,8,0.5,0.437451035533537
"35",7,5,4,0.2,0.544569162136574
"36",8,1,6,0.5,0.676838659294005
"37",8,2,3,0.2,0.658225894363595
"38",8,3,8,8,0.683890262991792
"39",8,4,0.5,0.05,0.50039122486979
"40",8,5,3,0.2,0.587857665343127
"41",9,1,0,0.05,0.553342201649412
"42",9,2,3,0.2,0.391050746026188
"43",9,3,8,5,0.507076192745026
"44",9,4,6,0.5,0.41756746489652
"45",9,5,8,0.5,0.407146134982037
"46",10,1,6,1,0.81748550183791
"47",10,2,4,0.1,0.488059877726575
"48",10,3,8,1,0.445422267642595
"49",10,4,6,0.2,0.425191228327373
"50",10,5,8,0.5,0.398925960775797
"51",11,1,8,0.5,0.548932730512061
"52",11,2,3,0.2,0.567051188672578
"53",11,3,1,0.1,0.654435199552939
"54",11,4,4,0.2,0.481452453083174
"55",11,5,8,0.5,0.4582983058424
"56",12,1,4,8,0.915045700776221
"57",12,2,2,0.2,0.762272340152174
"58",12,3,8,2,0.827119272094715
"59",12,4,3,0.05,0.485028184683403
"60",12,5,3,0.1,0.516915700356632
"61",13,1,8,2,0.524996928879296
"62",13,2,3,0.2,0.571673220114666
"63",13,3,8,5,0.520248275110924
"64",13,4,8,1,0.437452952827402
"65",13,5,8,0.5,0.523854096157804
"66",14,1,0.5,0.05,0.576172370293918
"67",14,2,8,5,0.482905407387344
"68",14,3,8,2,0.378683700066819
"69",14,4,4,0.2,0.520031048421076
"70",14,5,3,0.2,0.591314665333634
"71",15,1,0.5,0.1,0.603739898691673
"72",15,2,8,1,0.71394083896426
"73",15,3,4,0.2,0.634494388473147
"74",15,4,8,8,0.590399249471087
"75",15,5,6,0.5,0.517900138832701
"76",16,1,3,0.2,0.489380955709061
"77",16,2,6,1,0.705723165392927
"78",16,3,8,0.5,0.526454085476214
"79",16,4,1,0.05,0.563821343796064
"80",16,5,8,0.5,0.488120814931515
"81",17,1,8,2,0.658004872480487
"82",17,2,8,0.5,0.619532808016839
"83",17,3,0.5,0.05,0.566752969426491
"84",17,4,8,0.2,0.471010457197533
"85",17,5,8,1,0.502378948365864
"86",18,1,4,1,0.830331605855309
"87",18,2,0.5,0.05,0.671241689271905
"88",18,3,8,0.5,0.480467154029995
"89",18,4,4,0.2,0.454961655794622
"90",18,5,8,1,0.511069626502679
"91",19,1,6,0.5,0.656557115949822
"92",19,2,6,0.5,0.561963084897212
"93",19,3,0,0.01,0.58324404873154
"94",19,4,8,1,0.466140172709116
"95",19,5,6,0.2,0.465488541280416
