"","model","target","theta","lambda","rmse"
"1",1,1,2,0.05,0.781707006964595
"2",1,2,3,0.05,0.576437039811242
"3",1,3,8,0.2,0.575017738772427
"4",1,4,6,0.2,0.524848273050504
"5",1,5,6,0.2,0.564652458139755
"6",2,1,6,0.2,0.690986134826241
"7",2,2,1,0.1,0.668782663962562
"8",2,3,8,0.5,0.507374488957455
"9",2,4,6,0.2,0.596361220761792
"10",2,5,2,0.1,0.676188836817558
"11",3,1,1,0.05,0.797577152291823
"12",3,2,1,0.1,0.573326639219712
"13",3,3,6,0.5,0.866022251395783
"14",3,4,8,0.2,0.464943445781168
"15",3,5,6,0.2,0.681742308583426
"16",4,1,0.5,0.05,0.466961290511493
"17",4,2,8,1,0.641680294737078
"18",4,3,8,2,0.567245263516537
"19",4,4,8,0.2,0.437978545698163
"20",4,5,4,0.1,0.516454864600479
"21",5,1,0,0.05,0.546114120847824
"22",5,2,8,0.2,0.381189212846366
"23",5,3,8,0.2,0.430539632399897
"24",5,4,6,0.05,0.421827518359277
"25",5,5,8,1,0.424974190592609
"26",6,1,1,0.05,0.759382434093238
"27",6,2,0,0.05,0.591940614769827
"28",6,3,8,0.5,0.523293504357409
"29",6,4,3,0.05,0.502705832441528
"30",6,5,8,0.2,0.574087569621744
"31",7,1,0,0.01,0.638801460819351
"32",7,2,2,0.1,0.595183416787826
"33",7,3,1,0.05,0.669162521427988
"34",7,4,8,0.2,0.428607408198989
"35",7,5,4,0.1,0.542934080343775
"36",8,1,8,0.2,0.674709877835267
"37",8,2,3,0.1,0.660612866468266
"38",8,3,8,2,0.683890262991792
"39",8,4,1,0.05,0.494061084657042
"40",8,5,3,0.1,0.586112100372823
"41",9,1,0,0.05,0.550250582428022
"42",9,2,2,0.05,0.393564241204757
"43",9,3,8,1,0.507076192745026
"44",9,4,8,0.2,0.417664810972327
"45",9,5,6,0.2,0.39988100864205
"46",10,1,6,0.5,0.820321841530153
"47",10,2,6,0.1,0.487984554162463
"48",10,3,8,0.5,0.443436599255228
"49",10,4,8,0.2,0.417511182750854
"50",10,5,8,0.2,0.39177975189925
"51",11,1,8,0.2,0.552071325588234
"52",11,2,2,0,0.570769853916028
"53",11,3,0.5,0.01,0.658697040612722
"54",11,4,3,0.05,0.484265096360878
"55",11,5,8,0.2,0.452130060414055
"56",12,1,4,2,0.915045700776221
"57",12,2,2,0.05,0.763279729882163
"58",12,3,8,0.5,0.823661788719125
"59",12,4,6,0.1,0.483717331050878
"60",12,5,2,0.05,0.512837412157134
"61",13,1,8,0.5,0.522769377381825
"62",13,2,3,0.1,0.572775978883947
"63",13,3,8,1,0.520248275110924
"64",13,4,8,0.2,0.43015345851842
"65",13,5,8,0.2,0.513691907182194
"66",14,1,0,0,0.57779234579733
"67",14,2,8,1,0.482905407387344
"68",14,3,8,1,0.378894400497011
