"","model","target","theta","lambda","rmse"
"1",1,1,2,0.2,0.781446623245089
"2",1,2,3,0.1,0.583187158336501
"3",1,3,8,0.5,0.586556365031913
"4",1,4,4,0.2,0.534313054240653
"5",1,5,8,8,0.569529942889936
"6",2,1,8,8,0.691027879775476
"7",2,2,2,0.2,0.673449494203194
"8",2,3,8,8,0.520374169542428
"9",2,4,8,8,0.615569122903147
"10",2,5,2,0.5,0.681658649304798
"11",3,1,0.5,0.2,0.800516430472155
"12",3,2,0.5,0.05,0.582470327229485
"13",3,3,6,8,0.866280063832244
"14",3,4,8,1,0.478381296321844
"15",3,5,4,0.5,0.700653773761918
"16",4,1,0.5,0,0.473318116267772
"17",4,2,8,8,0.643277380271353
"18",4,3,8,5,0.565248819981003
"19",4,4,8,1,0.445988590928522
"20",4,5,3,0.1,0.534913810094538
"21",5,1,0.5,0.1,0.544132032690106
"22",5,2,8,0.5,0.381633613053397
"23",5,3,6,0.5,0.42172926570695
"24",5,4,8,0.2,0.427155697916563
"25",5,5,8,8,0.42708015966792
"26",6,1,1,0.2,0.759722821202954
"27",6,2,0,0.01,0.60216862361041
"28",6,3,8,5,0.525385567170999
"29",6,4,3,0.1,0.506946457138383
"30",6,5,8,2,0.582326112290278
"31",7,1,0.1,0.1,0.636783081109901
"32",7,2,1,0.05,0.61092818324931
"33",7,3,2,0.2,0.669532182590334
"34",7,4,8,0.5,0.446829516392069
"35",7,5,3,0.2,0.547344117960641
"36",8,1,6,1,0.678591511310121
"37",8,2,3,0.2,0.658006684800459
"38",8,3,6,8,0.69635652421882
"39",8,4,0,0.05,0.500661851628909
"40",8,5,3,0.2,0.591639199253563
"41",9,1,0,0.05,0.558282619110154
"42",9,2,2,0.1,0.393698001466378
"43",9,3,8,5,0.500514614284246
"44",9,4,6,2,0.419590816032928
"45",9,5,6,0.5,0.406567738094338
"46",10,1,4,1,0.814202635697591
"47",10,2,4,0.2,0.490701929517839
"48",10,3,8,2,0.450760527638151
"49",10,4,6,0.5,0.430117860349708
"50",10,5,8,1,0.401069975013271
"51",11,1,8,1,0.553331926953319
"52",11,2,3,0.2,0.564544984398002
"53",11,3,2,0.2,0.653886597429965
"54",11,4,6,0.5,0.481331171609465
"55",11,5,6,0.5,0.462681829423043
"56",12,1,0.5,0.5,0.910638333558403
"57",12,2,4,0.5,0.763216906770141
"58",12,3,8,8,0.829233888148236
"59",12,4,2,0.01,0.48513682675105
