"","model","target","theta","lambda","rmse"
"1",1,1,0.5,0,0.787573144743126
"2",1,2,1,0,0.584344784396705
"3",1,3,3,0,0.613118779606917
"4",1,4,2,0,0.540920179470826
"5",1,5,2,0,0.595516495555819
"6",2,1,0.5,0,0.716569009697037
"7",2,2,1,0,0.687433604165847
"8",2,3,4,0,0.541193020401243
"9",2,4,1,0,0.632042659269819
"10",2,5,0.5,0,0.694113052458112
"11",3,1,0.1,0,0.805921590700074
"12",3,2,0.5,0,0.584221954035641
"13",3,3,1,0,0.893749502145124
"14",3,4,2,0,0.501641134631788
"15",3,5,1,0,0.710654028854042
"16",4,1,0.5,0,0.473674868689079
"17",4,2,0.5,0,0.676732548964242
"18",4,3,0,0,0.590547284957836
"19",4,4,3,0,0.46930580059393
"20",4,5,1,0,0.538833020315124
"21",5,1,0.1,0,0.548640664786625
"22",5,2,1,0,0.399336682229925
"23",5,3,2,0,0.440926714577006
"24",5,4,4,0,0.432701979592492
"25",5,5,2,0,0.469099356979409
"26",6,1,0.1,0,0.763249894648826
"27",6,2,0,0,0.602473464382012
"28",6,3,2,0,0.595400111604633
"29",6,4,1,0,0.510250632442717
"30",6,5,2,0,0.606260565288074
"31",7,1,0,0,0.638827448821981
"32",7,2,0.5,0,0.613157456077574
"33",7,3,0.5,0,0.676143600846856
"34",7,4,3,0,0.461581807495642
"35",7,5,2,0,0.555087776622974
"36",8,1,2,0,0.701914379427993
"37",8,2,1,0,0.670086038811844
"38",8,3,1,0,0.725296209007401
"39",8,4,0,0,0.502549425896215
"40",8,5,1,0,0.598135245818042
"41",9,1,0,0,0.55896473174779
"42",9,2,0.5,0,0.395387404676364
"43",9,3,0.5,0,0.53234556552926
"44",9,4,2,0,0.446178145434778
"45",9,5,2,0,0.420108385865903
"46",10,1,0.5,0,0.829259652287214
"47",10,2,2,0,0.495614584496069
"48",10,3,3,0,0.519828610181954
"49",10,4,2,0,0.438269598281623
"50",10,5,2,0,0.411775096933622
"51",11,1,3,0,0.592178257710738
"52",11,2,1,0,0.570772713535209
"53",11,3,0.5,0,0.660430822781428
"54",11,4,2,0,0.492476788120856
"55",11,5,2,0,0.480283757026476
"56",12,1,0.1,0,0.924336014474478
"57",12,2,0,0,0.767118415546921
"58",12,3,2,0,0.84898818179153
"59",12,4,1,0,0.48523463508625
"60",12,5,1,0,0.522307492697046
"61",13,1,0,0,0.561285106498293
"62",13,2,1,0,0.578925718423227
"63",13,3,0.5,0,0.544611521159123
"64",13,4,2,0,0.459272553098084
"65",13,5,2,0,0.539867640393739
"66",14,1,0,0,0.577783499215617
"67",14,2,0.1,0,0.529833164148336
"68",14,3,2,0,0.443559714652766
"69",14,4,2,0,0.533650101491901
"70",14,5,1,0,0.597117934784315
"71",15,1,0.1,0,0.612274648978419
"72",15,2,2,0,0.747370977412922
"73",15,3,1,0,0.645025471849389
"74",15,4,1,0,0.607935410773364
"75",15,5,2,0,0.542640818343487
"76",16,1,0.5,0,0.502147279539531
"77",16,2,2,0,0.734590926000055
"78",16,3,0.1,0,0.533066240469329
"79",16,4,0.5,0,0.564453043998369
"80",16,5,3,0,0.504761794145822
"81",17,1,0.5,0,0.682764122160957
"82",17,2,3,0,0.655216073305213
"83",17,3,0.1,0,0.570577707826603
"84",17,4,3,0,0.487215707784456
"85",17,5,2,0,0.514429047611085
"86",18,1,1,0,0.867310948639276
"87",18,2,0.1,0,0.671528203311258
"88",18,3,0.5,0,0.535101859463008
"89",18,4,2,0,0.469094481890663
"90",18,5,3,0,0.550937177872294
"91",19,1,3,0,0.681837655833512
"92",19,2,0.5,0,0.571061860078169
"93",19,3,0,0,0.583479382641039
"94",19,4,0.5,0,0.477397159052909
"95",19,5,2,0,0.472330925291591
"96",20,1,1,0,0.851307787854706
"97",20,2,0.1,0,0.498509626381977
"98",20,3,0.1,0,0.495043785263474
"99",20,4,4,0,0.416536418909397
"100",20,5,3,0,0.498434804838742
"101",21,1,1,0,0.877842708847456
"102",21,2,2,0,0.719782252688294
"103",21,3,2,0,0.828383223416229
"104",21,4,1,0,0.460444689805999
"105",21,5,2,0,0.605871818475449
"106",22,1,0.5,0,0.795053586207955
"107",22,2,2,0,0.800908023261672
"108",22,3,0.5,0,0.555410676889704
"109",22,4,0.5,0,0.591119239393684
"110",22,5,2,0,0.419416093824258
"111",23,1,2,0,0.524530150711704
"112",23,2,1,0,0.580803501274622
"113",23,3,0.1,0,0.596784469317959
"114",23,4,3,0,0.495783222674187
"115",23,5,1,0,0.493603246087501
"116",24,1,0.1,0,0.535613363298741
"117",24,2,1,0,0.465008625633915
"118",24,3,0.5,0,0.43856985807082
"119",24,4,2,0,0.490617585579643
"120",24,5,2,0,0.5900023443508
"121",25,1,2,0,0.553984687610714
"122",25,2,1,0,0.743107542183569
"123",25,3,1,0,0.686888247832329
"124",25,4,1,0,0.559498665832846
"125",25,5,0.5,0,0.527520071412818
"126",26,1,3,0,0.639309489524181
"127",26,2,3,0,0.493134952456415
"128",26,3,3,0,0.459469143753091
"129",26,4,1,0,0.467482188291143
"130",26,5,1,0,0.535533011994779
"131",27,1,1,0,0.726848556412823
"132",27,2,1,0,0.49570742487724
"133",27,3,1,0,0.552663558514627
"134",27,4,1,0,0.518707474291698
"135",27,5,1,0,0.454683337373547
"136",28,1,1,0,0.487608812161883
"137",28,2,2,0,0.481160979456721
"138",28,3,1,0,0.62868802408602
"139",28,4,1,0,0.886161184078546
"140",28,5,0.1,0,0.617307688538633
"141",29,1,1,0,0.739425154102109
"142",29,2,0.5,0,0.584856483323738
"143",29,3,1,0,0.748714089466324
"144",29,4,1,0,0.422657540743939
"145",29,5,1,0,0.538514416454432
"146",30,1,1,0,0.946853476200507
"147",30,2,0.5,0,0.775286113285347
"148",30,3,0.5,0,0.86560489960832
"149",30,4,2,0,0.550870918531962
"150",30,5,2,0,0.583500131240518
"151",31,1,1,0,0.653595078623898
"152",31,2,0,0,0.614263131681903
"153",31,3,0.5,0,0.591236884272381
"154",31,4,2,0,0.57446743015339
"155",31,5,2,0,0.559936295002658
"156",32,1,1,0,0.691708295291755
"157",32,2,1,0,0.660537600301021
"158",32,3,3,0,0.595223543489911
"159",32,4,3,0,0.41636822429946
"160",32,5,2,0,0.517816589767201
"161",33,1,3,0,0.696799110822302
"162",33,2,2,0,0.736004677906922
"163",33,3,3,0,0.464398265945974
"164",33,4,1,0,0.600127871300305
"165",33,5,1,0,0.469060178339412
"166",34,1,0.1,0,0.442635528140513
"167",34,2,0.1,0,0.388870650970697
"168",34,3,0.1,0,0.452242772405428
"169",34,4,3,0,0.518535060537164
"170",34,5,0,0,0.81798737818754
"171",35,1,0.5,0,0.443975754714558
"172",35,2,0.5,0,0.622647381149856
"173",35,3,0,0,0.723998462159849
"174",35,4,3,0,0.463690833748399
"175",35,5,3,0,0.518414799168245
"176",36,1,3,0,0.570661196119862
"177",36,2,0.5,0,0.598543314656077
"178",36,3,0.1,0,0.902408531073507
"179",36,4,2,0,0.41153092549278
"180",36,5,0.5,0,0.5479796209998
"181",37,1,0.5,0,0.720256467186352
"182",37,2,0.5,0,0.44750106887201
"183",37,3,0.1,0,0.522780480898184
"184",37,4,3,0,0.473337352562999
"185",37,5,1,0,0.619477238628352
"186",38,1,0.5,0,0.678300007695549
"187",38,2,2,0,0.65435750013996
"188",38,3,1,0,0.735117552887107
"189",38,4,1,0,0.475362546404707
"190",38,5,2,0,0.610311646678378
"191",39,1,0.5,0,0.895848553449411
"192",39,2,0.1,0,0.759181853800011
"193",39,3,2,0,0.55296363655225
"194",39,4,1,0,0.596182765690276
"195",39,5,2,0,0.490643635900202
"196",40,1,0.5,0,0.862342381792688
"197",40,2,0.5,0,0.441252631939693
"198",40,3,0.1,0,0.584647870221382
"199",40,4,1,0,0.50578858558026
"200",40,5,1,0,0.54809251091141
"201",41,1,2,0,0.73402886163936
"202",41,2,0,0,0.589227716902832
"203",41,3,2,0,0.479308642911435
"204",41,4,2,0,0.476312918357013
"205",41,5,1,0,0.49473562927662
"206",42,1,0,0,0.881211730886075
"207",42,2,1,0,0.585992081637606
"208",42,3,3,0,0.768449710111345
"209",42,4,0.1,0,0.442832425750137
"210",42,5,2,0,0.555803717189889
"211",43,1,3,0,0.572045817468476
"212",43,2,3,0,0.570876788635635
"213",43,3,3,0,0.551380304832591
"214",43,4,1,0,0.491608025602573
"215",43,5,4,0,0.446032224053751
"216",44,1,0,0,0.553790484002934
"217",44,2,1,0,0.513470537239702
"218",44,3,0.5,0,0.538545880760995
"219",44,4,1,0,0.501935225165017
"220",44,5,3,0,0.46537079369747
"221",45,1,3,0,0.611403661544506
"222",45,2,1,0,0.64541125785693
"223",45,3,1,0,0.713776575782363
"224",45,4,1,0,0.499730789796623
"225",45,5,2,0,0.495958458407858
"226",46,1,2,0,0.586530209801652
"227",46,2,0.5,0,0.678754522881863
"228",46,3,0.5,0,0.529450752161425
"229",46,4,2,0,0.483179385550074
"230",46,5,1,0,0.518679211243836
"231",47,1,1,0,0.723742619413042
"232",47,2,2,0,0.66619296603255
"233",47,3,2,0,0.658583718808387
"234",47,4,0.5,0,0.474245515582207
"235",47,5,2,0,0.543944079292668
"236",48,1,0.5,0,0.364322355080752
"237",48,2,0,0,0.570253275982549
"238",48,3,0.5,0,0.566399198354021
"239",48,4,3,0,0.418248619642791
"240",48,5,4,0,0.619199402313266
"241",49,1,1,0,0.48875061921096
"242",49,2,0,0,0.41811582066087
"243",49,3,4,0,0.445248613533531
"244",49,4,2,0,0.529491740051206
"245",49,5,2,0,0.595112684133844
"246",50,1,0,0,0.706898721036116
"247",50,2,1,0,0.488951698846422
"248",50,3,0,0,0.580549587756381
"249",50,4,2,0,0.409104701027
"250",50,5,2,0,0.469215601630454
