"","model","target","theta","lambda","rmse"
"1",1,1,8,0.5,0.550405793073468
"2",1,2,2,0.05,0.36399852040504
"3",1,3,0.5,0.01,0.436727481342305
"4",1,4,8,0.5,0.300993068208617
"5",1,5,8,1,0.368186037724166
"6",2,1,2,0.05,0.457273663691634
"7",2,2,2,0.05,0.351698096044758
"8",2,3,2,0.1,0.315282780016264
"9",2,4,6,0.05,0.388990382415693
"10",2,5,3,0.2,0.41874524960548
"11",3,1,8,5,0.58075699364951
"12",3,2,4,0.2,0.413911047839388
"13",3,3,0.5,0.1,0.595287121929868
"14",3,4,6,0.2,0.286774983172738
"15",3,5,3,0.1,0.397738279519334
"16",4,1,2,0.05,0.293999947356025
"17",4,2,0.1,0.01,0.42774947488681
"18",4,3,8,0.5,0.372375492028942
"19",4,4,8,0.5,0.317439487880845
"20",4,5,6,0.5,0.359576985757989
"21",5,1,8,0.2,0.282113526855586
"22",5,2,8,5,0.358850154228941
"23",5,3,8,1,0.331711052064134
"24",5,4,6,0.2,0.237780244559226
"25",5,5,6,0.5,0.281020861666835
"26",6,1,8,1,0.516851870227218
"27",6,2,8,0.5,0.472112444832595
"28",6,3,8,1,0.384302348186657
"29",6,4,2,0.05,0.327825857220895
"30",6,5,8,1,0.362846704179673
"31",7,1,8,0.5,0.381487026141468
"32",7,2,8,0.5,0.340427555326417
"33",7,3,0,0.05,0.443424065629315
"34",7,4,8,0.2,0.266230612821471
"35",7,5,8,0.5,0.316907094268126
"36",8,1,8,0.5,0.393959071462462
"37",8,2,8,1,0.427598433171342
"38",8,3,8,0.5,0.419981777872692
"39",8,4,3,0.1,0.298090366835634
"40",8,5,8,0.5,0.37242123227714
"41",9,1,6,0.2,0.383690485209179
"42",9,2,4,0.1,0.282361638921549
"43",9,3,2,0.01,0.279799444869538
"44",9,4,6,0.5,0.262946493474014
"45",9,5,6,0.05,0.231021885939687
"46",10,1,8,1,0.507774116923985
"47",10,2,6,0.2,0.340784695742125
"48",10,3,8,0.5,0.258021775141061
"49",10,4,8,0.2,0.274819640525441
"50",10,5,8,0.2,0.264984690477225
"51",11,1,8,2,0.322705907473457
"52",11,2,8,0.5,0.431552820747267
"53",11,3,8,0.5,0.382208329662687
"54",11,4,8,0.5,0.262831239151455
"55",11,5,8,0.5,0.327113044055369
"56",12,1,3,0.2,0.582469660655408
"57",12,2,8,0.5,0.485864001770382
"58",12,3,8,0.5,0.564470641296031
"59",12,4,8,0.2,0.31213838700107
"60",12,5,4,0.1,0.330465324221273
"61",13,1,8,5,0.326223059445191
"62",13,2,4,0.1,0.404594530446977
"63",13,3,8,0.2,0.315787881312972
"64",13,4,8,0.2,0.283235281025274
"65",13,5,8,0.1,0.263488521905325
"66",14,1,8,5,0.363813113100018
"67",14,2,8,5,0.29941453234386
"68",14,3,6,0.2,0.254391261897092
"69",14,4,6,0.2,0.348510795068052
"70",14,5,4,0.2,0.371640353580246
"71",15,1,0,0.01,0.329489345320162
"72",15,2,8,1,0.463536027642857
"73",15,3,6,0.1,0.429388770692686
"74",15,4,3,0.2,0.432987802474142
"75",15,5,8,0.2,0.319761711838035
"76",16,1,6,0.2,0.294236303509648
"77",16,2,8,0.5,0.430641283607029
"78",16,3,6,0.2,0.308415062987995
"79",16,4,3,0.1,0.360969464845779
"80",16,5,6,0.5,0.380453368065415
"81",17,1,8,1,0.404476783158986
"82",17,2,8,1,0.381924742634833
"83",17,3,2,0.05,0.344049033368714
"84",17,4,8,0.5,0.316373667703542
"85",17,5,8,0.2,0.290168051194904
"86",18,1,3,0.2,0.508142559708674
"87",18,2,1,0.05,0.453177337739657
"88",18,3,2,0.05,0.354178996092285
"89",18,4,8,0.2,0.315713829076633
"90",18,5,8,0.5,0.3130340992242
"91",19,1,8,0.5,0.406236924892559
"92",19,2,8,8,0.315008097654351
"93",19,3,8,1,0.327910533625118
"94",19,4,8,0.2,0.225830219115452
"95",19,5,1,0.05,0.322935821164051
"96",20,1,0,0.01,0.585601581026187
"97",20,2,6,0.2,0.330699002883205
"98",20,3,3,0.05,0.319091269992269
"99",20,4,6,0.05,0.265869914662333
"100",20,5,4,0.1,0.297753327848255
"101",21,1,0.5,0.05,0.749578440024658
"102",21,2,4,0.1,0.377198710346902
"103",21,3,4,0.2,0.526732664582345
"104",21,4,2,0.05,0.290195370327653
"105",21,5,8,0.5,0.350426316834788
"106",22,1,2,0.1,0.625907380923375
"107",22,2,3,0.1,0.614317365925068
"108",22,3,2,0.05,0.226793556265985
"109",22,4,2,0.1,0.378695907847634
"110",22,5,8,0.2,0.286843194765277
"111",23,1,8,0.5,0.241730552902507
"112",23,2,8,0.5,0.373636890729193
"113",23,3,8,1,0.402309259018129
"114",23,4,8,0.5,0.239147108831766
"115",23,5,4,0.2,0.324474389551257
"116",24,1,0.5,0.01,0.247396614456266
"117",24,2,8,0.5,0.242513245695557
"118",24,3,2,0.05,0.278633282435241
"119",24,4,8,0.2,0.274627789591819
"120",24,5,4,0.2,0.301371820278507
"121",25,1,3,0.2,0.398995916129573
"122",25,2,8,1,0.535738033139831
"123",25,3,3,0.1,0.406627514208125
"124",25,4,8,1,0.349579190004537
"125",25,5,8,0.5,0.321875955482718
"126",26,1,8,5,0.441114043496887
"127",26,2,3,0.05,0.252965295607044
"128",26,3,8,0.5,0.279136646979289
"129",26,4,6,0.2,0.275827517656521
"130",26,5,8,2,0.349456716126375
"131",27,1,0,0.05,0.56317824729123
"132",27,2,2,0.05,0.26131205998463
"133",27,3,2,0.1,0.367752657269466
"134",27,4,6,0.5,0.321517849442495
"135",27,5,8,0.2,0.275955086078243
"136",28,1,0.1,0.05,0.387934796657432
"137",28,2,1,0.1,0.26602393423116
"138",28,3,8,0.5,0.304028803008792
"139",28,4,1,0.2,0.666084683424378
"140",28,5,3,0.2,0.437236606347237
"141",29,1,8,5,0.555399785564298
"142",29,2,2,0.01,0.319695365198458
"143",29,3,8,1,0.552414545253676
"144",29,4,8,0.5,0.284064915458046
"145",29,5,8,0.5,0.352302564895273
"146",30,1,6,0.5,0.73977174209212
"147",30,2,0,0.01,0.536413804501939
"148",30,3,0.5,0.05,0.588300361873301
"149",30,4,6,0.1,0.341484209019933
"150",30,5,1,0.05,0.382280631324971
"151",31,1,8,1,0.425879958259086
"152",31,2,2,0.1,0.454313911183292
"153",31,3,8,1,0.410986845365463
"154",31,4,3,0.2,0.383244918058205
"155",31,5,6,0.5,0.384895927076556
"156",32,1,8,5,0.532057488961757
"157",32,2,1,0.05,0.385376622501602
"158",32,3,2,0.1,0.325780178842316
"159",32,4,8,0.5,0.296818355073339
"160",32,5,8,0.2,0.294351494711317
"161",33,1,8,1,0.350553526156113
"162",33,2,0.5,0.01,0.49404541478985
"163",33,3,8,0.1,0.277040973992794
"164",33,4,2,0.05,0.35648529514299
"165",33,5,8,0.5,0.281046061053907
"166",34,1,0,0.01,0.280957520139302
"167",34,2,0.1,0.01,0.277147379469409
"168",34,3,6,0.2,0.284015076237831
"169",34,4,8,0.5,0.327869610619059
"170",34,5,3,0.1,0.579798069522568
"171",35,1,8,2,0.370760631324849
"172",35,2,8,0.2,0.310157374238538
"173",35,3,8,2,0.412109749915217
"174",35,4,8,0.1,0.273832233152497
"175",35,5,0.1,0.05,0.319008547907088
"176",36,1,0,0.01,0.319017843385698
"177",36,2,1,0.01,0.347439056877985
"178",36,3,0,0.01,0.564934302696053
"179",36,4,3,0.05,0.27152059082752
