"","model","target","theta","lambda","rmse"
"1",1,1,8,0.2,0.557864413221675
"2",1,2,2,0.01,0.366013861472638
"3",1,3,0.5,0,0.436944902045426
"4",1,4,6,0.2,0.2946967946408
"5",1,5,8,0.2,0.371034338952293
"6",2,1,3,0.1,0.455310763407646
"7",2,2,1,0.01,0.351932178196485
"8",2,3,1,0,0.318793809110139
"9",2,4,6,0.1,0.388147230844578
"10",2,5,4,0.2,0.419694005121536
"11",3,1,8,1,0.58075699364951
"12",3,2,1,0.01,0.418704436192741
"13",3,3,0.1,0.05,0.589489185149913
"14",3,4,8,0.1,0.282065979536869
"15",3,5,3,0.1,0.393451555366874
"16",4,1,2,0.05,0.293766792645157
"17",4,2,0,0,0.42789749889535
"18",4,3,8,0.1,0.381758985310904
"19",4,4,8,0.2,0.319180770774741
"20",4,5,6,0.2,0.352700421901306
"21",5,1,6,0,0.284758889154716
"22",5,2,8,1,0.358850154228941
"23",5,3,6,0.1,0.329740048262692
"24",5,4,4,0.05,0.242140251363862
"25",5,5,6,0.2,0.279462928964091
"26",6,1,8,0.5,0.514632121125789
"27",6,2,6,0.1,0.473498618683543
"28",6,3,8,0.2,0.38040506976153
"29",6,4,2,0.01,0.329064583718798
"30",6,5,8,0.2,0.363581174448533
"31",7,1,8,0.2,0.380989682360322
"32",7,2,8,0.2,0.345030520157703
"33",7,3,0,0.05,0.439942253238851
"34",7,4,8,0.2,0.261622214165294
"35",7,5,8,0.2,0.321040656229602
"36",8,1,8,0.1,0.396604979925995
"37",8,2,8,1,0.431872727293004
"38",8,3,8,0.2,0.419958189037386
"39",8,4,3,0.05,0.300106139279398
"40",8,5,8,0.2,0.362626051450694
"41",9,1,8,0.1,0.387227867628841
"42",9,2,2,0,0.286015571386651
"43",9,3,2,0,0.280134680058318
"44",9,4,8,0.2,0.257740266538424
"45",9,5,8,0.05,0.229483874646115
"46",10,1,8,1,0.51233647761675
"47",10,2,6,0.05,0.343854650860932
"48",10,3,8,0.2,0.263981927786739
"49",10,4,8,0.1,0.2728148796958
"50",10,5,6,0.05,0.261132233308806
"51",11,1,8,0.5,0.321294321612831
"52",11,2,8,0.2,0.428368067422005
"53",11,3,8,0.1,0.390411203459455
"54",11,4,8,0.2,0.254796349245001
"55",11,5,8,0.2,0.324712926108245
"56",12,1,2,0.1,0.578672868592955
"57",12,2,6,0.2,0.484884186342304
"58",12,3,8,0.5,0.574314785505692
