"","model","target","theta","lambda","rmse"
"1",1,1,8,1,0.551349666277157
"2",1,2,2,0.05,0.363368698178905
"3",1,3,1,0.05,0.435970325117269
"4",1,4,6,0.5,0.308465630388222
"5",1,5,8,5,0.370716081649096
"6",2,1,2,0.1,0.456823064771304
"7",2,2,2,0.05,0.351099600839369
"8",2,3,2,0.1,0.313841122788583
"9",2,4,6,0.05,0.389837233669459
"10",2,5,4,0.5,0.418559737711246
"11",3,1,8,8,0.582660035233659
"12",3,2,2,0.1,0.412752439908065
"13",3,3,3,0.2,0.600572222864961
"14",3,4,6,0.2,0.294584405591902
"15",3,5,2,0.01,0.398516296988788
"16",4,1,1,0.01,0.295493751218664
"17",4,2,0.1,0.01,0.427621432338072
"18",4,3,8,0.5,0.370822439632729
"19",4,4,8,1,0.319987232415526
"20",4,5,8,2,0.366578008472595
"21",5,1,8,0.2,0.27861881763863
"22",5,2,8,8,0.35831025550588
"23",5,3,8,8,0.333628618309845
"24",5,4,6,0.5,0.237878605685815
"25",5,5,6,1,0.282812015633175
"26",6,1,8,5,0.519506882401779
"27",6,2,8,1,0.469311771348108
"28",6,3,8,8,0.387100945718203
"29",6,4,3,0.1,0.328708486813337
"30",6,5,8,1,0.359343880669656
"31",7,1,8,2,0.382797392222258
"32",7,2,8,1,0.33436451312905
"33",7,3,0.5,0.05,0.446045999276569
"34",7,4,8,0.5,0.267033395123853
"35",7,5,8,0.5,0.318585549684397
"36",8,1,6,0.5,0.400025021335072
"37",8,2,8,2,0.426509853794453
"38",8,3,8,1,0.416212540779125
"39",8,4,3,0.1,0.300348501694423
"40",8,5,6,0.5,0.372459502792643
"41",9,1,8,0.5,0.38456399885756
"42",9,2,4,0.1,0.280427403704117
"43",9,3,3,0.05,0.279029359385517
"44",9,4,6,1,0.266520604251894
"45",9,5,6,0.01,0.23186523405333
"46",10,1,8,2,0.502546143463965
"47",10,2,6,0.2,0.340892436128249
"48",10,3,8,1,0.257746415959953
"49",10,4,6,0.2,0.28021648643454
"50",10,5,8,0.2,0.270211408886546
"51",11,1,8,8,0.322114152779261
"52",11,2,8,1,0.430166654730226
"53",11,3,8,1,0.383439230440752
"54",11,4,8,0.5,0.266962417648788
"55",11,5,6,0.5,0.331035392015172
"56",12,1,2,0.2,0.583930979910679
"57",12,2,8,1,0.481072291555985
"58",12,3,8,1,0.560346741213443
"59",12,4,8,0.2,0.310000661772086
"60",12,5,4,0.1,0.333261407848653
"61",13,1,8,8,0.32593280644144
"62",13,2,4,0.2,0.398873220475187
"63",13,3,8,0.5,0.318343411241008
"64",13,4,8,0.2,0.287447441020339
"65",13,5,8,0.2,0.266383244394893
"66",14,1,8,8,0.364887954510873
"67",14,2,8,8,0.300419006238954
"68",14,3,8,1,0.255242454292661
"69",14,4,6,0.5,0.35158250324256
"70",14,5,4,0.2,0.372566518119496
"71",15,1,0,0.01,0.329665013330834
"72",15,2,8,2,0.463331426831727
"73",15,3,6,0.2,0.428328378834017
"74",15,4,3,0.2,0.436035073003075
"75",15,5,8,0.2,0.320998795722847
"76",16,1,6,0.2,0.294341715781984
"77",16,2,8,2,0.429976631864945
"78",16,3,8,0.5,0.309491233873477
"79",16,4,4,0.2,0.362166651020187
"80",16,5,6,1,0.381011704089789
"81",17,1,8,2,0.399203024060801
"82",17,2,8,2,0.38161750546023
"83",17,3,2,0.05,0.346280406835791
"84",17,4,8,1,0.313873459954058
"85",17,5,8,0.1,0.295565520245614
"86",18,1,3,0.2,0.510933793679105
"87",18,2,1,0.05,0.453984676714862
"88",18,3,3,0.2,0.354290097139498
"89",18,4,8,0.5,0.324712732552597
"90",18,5,8,0.5,0.313751156182718
"91",19,1,8,1,0.402850893211618
"92",19,2,8,8,0.315592254495152
"93",19,3,8,2,0.328904954359685
"94",19,4,8,0.5,0.227708603453813
"95",19,5,0.5,0.01,0.328655676894986
"96",20,1,0,0.05,0.583676125484582
"97",20,2,6,0.2,0.333091458350481
"98",20,3,3,0.05,0.318191462140796
"99",20,4,6,0.01,0.265987849978609
"100",20,5,4,0.1,0.299055952206554
"101",21,1,2,0.2,0.746511210365098
