"","model","target","theta","lambda","rmse"
"1",1,1,3,0,0.583464184144984
"2",1,2,1,0,0.36637715113948
"3",1,3,0.1,0,0.436932285282843
"4",1,4,1,0,0.32606201358684
"5",1,5,1,0,0.38424349523878
"6",2,1,0.5,0,0.460260803438652
"7",2,2,1,0,0.353885134603225
"8",2,3,0.5,0,0.318766585481559
"9",2,4,3,0,0.390879496306547
"10",2,5,1,0,0.435917681121671
"11",3,1,1,0,0.610530681853498
"12",3,2,0.5,0,0.419390668568919
"13",3,3,0.5,0,0.606303576113753
"14",3,4,2,0,0.305097667319077
"15",3,5,1,0,0.398563839829551
"16",4,1,0.5,0,0.29589591601534
"17",4,2,0,0,0.427900631948557
"18",4,3,6,0,0.40284826459261
"19",4,4,2,0,0.348398034914618
"20",4,5,2,0,0.394810386722422
"21",5,1,3,0,0.284728625688803
"22",5,2,0.1,0,0.372872565610679
"23",5,3,0.5,0,0.340695103348515
"24",5,4,2,0,0.246508137069884
"25",5,5,4,0,0.299203212660359
"26",6,1,0.5,0,0.557780789893563
"27",6,2,1,0,0.483252176341357
"28",6,3,2,0,0.427482537378667
"29",6,4,1,0,0.331433828029492
"30",6,5,2,0,0.378782771781191
"31",7,1,2,0,0.392315309512395
"32",7,2,0.1,0,0.354188233692318
"33",7,3,0,0,0.446597732365543
"34",7,4,1,0,0.28384765405688
"35",7,5,4,0,0.338854579526776
"36",8,1,0.5,0,0.413778589633767
"37",8,2,0.5,0,0.458997132810386
"38",8,3,0,0,0.443422000725139
"39",8,4,1,0,0.304699267579522
"40",8,5,3,0,0.38109079347505
"41",9,1,0,0,0.396724992055867
"42",9,2,1,0,0.286007081907852
"43",9,3,1,0,0.280124748295635
"44",9,4,2,0,0.290749715386242
"45",9,5,3,0,0.232725341717181
"46",10,1,0.1,0,0.529620891685232
"47",10,2,1,0,0.350723359185548
"48",10,3,0.1,0,0.275409266398382
"49",10,4,3,0,0.285795848749272
"50",10,5,3,0,0.286058915038777
"51",11,1,0,0,0.356442715072379
"52",11,2,3,0,0.451173973713446
"53",11,3,1,0,0.409308588211168
"54",11,4,2,0,0.284273691161115
"55",11,5,3,0,0.349082593301914
"56",12,1,0.1,0,0.587292101639072
"57",12,2,0,0,0.497680446496853
"58",12,3,0,0,0.576807038953637
"59",12,4,4,0,0.335606536845889
"60",12,5,1,0,0.336295248236214
"61",13,1,0,0,0.361277699384515
"62",13,2,2,0,0.409045787877909
"63",13,3,3,0,0.33847197371728
"64",13,4,3,0,0.298994487728361
"65",13,5,4,0,0.28475062535039
"66",14,1,0.1,0,0.374829897824321
"67",14,2,6,0,0.308971505511473
"68",14,3,1,0,0.261485737117846
"69",14,4,3,0,0.363352732397361
"70",14,5,1,0,0.378906202293647
"71",15,1,0,0,0.329687265196903
"72",15,2,6,0,0.510788166562177
"73",15,3,2,0,0.434269023120251
"74",15,4,1,0,0.448298542532799
"75",15,5,4,0,0.331268448867878
"76",16,1,0.5,0,0.306121427047949
"77",16,2,0.5,0,0.442450420090572
"78",16,3,0,0,0.312417473876358
"79",16,4,1,0,0.368964878244729
"80",16,5,1,0,0.402884512471253
"81",17,1,0,0,0.448463985859938
"82",17,2,0.1,0,0.421713180513876
"83",17,3,0.5,0,0.347001065265858
"84",17,4,1,0,0.339678247804049
"85",17,5,4,0,0.303820763072486
"86",18,1,0.5,0,0.51628606365907
"87",18,2,0.1,0,0.455996435926843
"88",18,3,0.1,0,0.356382661297473
"89",18,4,1,0,0.338289525247405
"90",18,5,3,0,0.33118184057809
"91",19,1,3,0,0.427722780682084
"92",19,2,0,0,0.339757536195585
"93",19,3,0,0,0.348098533524678
"94",19,4,3,0,0.253179778277802
"95",19,5,0.1,0,0.329241125952619
"96",20,1,0,0,0.586184254448874
