"","model","target","theta","lambda","rmse"
"1",1,1,8,2,0.3241078520647
"2",1,2,8,0.05,0.134425559890661
"3",1,3,4,0.01,0.112064671836358
"4",1,4,8,0.05,0.122067814511287
"5",1,5,8,0.05,0.0932866293833921
"6",2,1,8,2,0.471543044037493
"7",2,2,3,0.01,0.179670412713022
"8",2,3,8,0.2,0.203773004658506
"9",2,4,6,0.05,0.133869480544954
"10",2,5,8,0.05,0.138697522462821
"11",3,1,8,0.5,0.189947167644907
"12",3,2,8,0.05,0.14125942098438
"13",3,3,8,0.1,0.133794490921
"14",3,4,8,0.01,0.0968331325715945
"15",3,5,8,0.05,0.123629394385086
"16",4,1,8,0.2,0.287436880236169
"17",4,2,6,0.05,0.148222198026574
"18",4,3,8,0.05,0.159312773557523
"19",4,4,8,0.05,0.0844438382906294
"20",4,5,8,0.05,0.0917167711794661
"21",5,1,8,0.2,0.2280033459925
"22",5,2,8,0.05,0.169400857257959
"23",5,3,4,0.01,0.131087128883896
"24",5,4,8,0.05,0.0911753906253097
"25",5,5,8,0.05,0.0949609199780038
"26",6,1,8,0.2,0.186951438588389
"27",6,2,4,0,0.138666616406415
"28",6,3,8,0.05,0.125646942314163
"29",6,4,8,0.05,0.072465479263469
"30",6,5,8,0.05,0.0860411417426103
"31",7,1,0,0,0.146317380664556
"32",7,2,8,0.1,0.127745824703704
"33",7,3,8,0.1,0.236454193621858
"34",7,4,8,0.05,0.107070147851287
"35",7,5,8,0.1,0.150476335372496
"36",8,1,8,0.2,0.164898577091008
"37",8,2,3,0.05,0.204741776443771
"38",8,3,8,0.05,0.163793599015086
"39",8,4,8,0.05,0.120835301777086
"40",8,5,4,0.05,0.134963953710538
"41",9,1,3,0.05,0.252756978665422
"42",9,2,1,0.01,0.143034563370154
"43",9,3,2,0.01,0.170882035274206
"44",9,4,6,0.2,0.166816860189885
"45",9,5,6,0.05,0.137904233004009
"46",10,1,8,0.2,0.197594757704182
"47",10,2,8,0.1,0.196068388797617
"48",10,3,4,0.01,0.138432283671569
"49",10,4,6,0.05,0.116334210993166
"50",10,5,8,0.05,0.0830255729898606
"51",11,1,0,0.01,0.308080695675653
"52",11,2,8,0.05,0.114922067792584
"53",11,3,3,0.01,0.137508704410463
"54",11,4,8,0.05,0.0831609371601014
"55",11,5,8,0.05,0.0956815031091245
"56",12,1,8,0.2,0.275895518725218
"57",12,2,1,0.01,0.368566601873143
"58",12,3,8,0.1,0.223338093587017
"59",12,4,8,0.1,0.162704316202888
"60",12,5,4,0.05,0.162089982555254
"61",13,1,8,0.2,0.22875925162926
"62",13,2,1,0.01,0.151095299560561
"63",13,3,8,0.1,0.162315510832138
"64",13,4,0.5,0.01,0.188511702851422
"65",13,5,8,0.05,0.109119076786166
"66",14,1,4,0.1,0.472042163000635
"67",14,2,8,0.2,0.411924610916067
"68",14,3,0,0.01,0.286724937854457
"69",14,4,1,0.01,0.218763153889735
"70",14,5,0.5,0.01,0.203927687646544
"71",15,1,8,0.2,0.168697103938849
"72",15,2,8,0.1,0.154268587063305
"73",15,3,8,0.05,0.166373575453641
"74",15,4,8,0.2,0.186068994587998
"75",15,5,4,0.01,0.141956779468903
"76",16,1,8,0.05,0.103565405807888
"77",16,2,3,0.01,0.128279269288753
"78",16,3,2,0.01,0.120202983589765
"79",16,4,8,0.05,0.0869309937005548
"80",16,5,4,0.05,0.117370227604319
"81",17,1,8,0.2,0.173890162503678
"82",17,2,8,0.2,0.140320434900194
"83",17,3,8,0.05,0.129630406607813
"84",17,4,6,0.05,0.127929229662781
"85",17,5,8,0.01,0.078377365778511
"86",18,1,6,0.05,0.17396332179991
"87",18,2,8,0.05,0.112939055491078
"88",18,3,4,0.01,0.108725917664488
"89",18,4,8,0.01,0.0875913579653305
"90",18,5,8,0,0.0838083905753189
"91",19,1,8,2,0.397598283985047
"92",19,2,8,0.2,0.207389303859681
"93",19,3,8,0.1,0.144352823148464
"94",19,4,6,0.05,0.137272162770475
"95",19,5,6,0.1,0.155834513627366
"96",20,1,1,0.01,0.328153120586957
"97",20,2,2,0.01,0.184281571250534
"98",20,3,4,0.05,0.166752790210179
"99",20,4,4,0.1,0.177383453236925
"100",20,5,0,0.05,0.338210470294347
"101",21,1,2,0.01,0.111616405655619
"102",21,2,6,0.05,0.106940906134659
"103",21,3,2,0.01,0.105944193699944
"104",21,4,4,0.05,0.15721955295374
"105",21,5,3,0.05,0.248031071228615
"106",22,1,8,0.2,0.158239596262044
"107",22,2,8,0.05,0.118381957113016
"108",22,3,6,0.01,0.115493182625982
"109",22,4,8,0.05,0.0971443692671115
"110",22,5,8,0.01,0.0886244186787014
"111",23,1,8,0.2,0.181647024029251
"112",23,2,8,0.05,0.117636274722204
"113",23,3,4,0.05,0.201224596535516
"114",23,4,8,0.05,0.0860991262060278
"115",23,5,8,0.05,0.0985822633828494
"116",24,1,8,0.2,0.222236068916626
"117",24,2,8,0.05,0.0990495648780027
"118",24,3,6,0.05,0.131165300836397
"119",24,4,8,0.05,0.0742473904386558
"120",24,5,8,0.01,0.0957221967382908
"121",25,1,8,2,0.559154425242831
"122",25,2,8,0.1,0.217716505602929
"123",25,3,4,0.05,0.173694109069184
"124",25,4,6,0.05,0.151798499885173
"125",25,5,8,0.1,0.117917002598694
"126",26,1,8,0.2,0.139927790577932
"127",26,2,8,0.05,0.136695172971985
"128",26,3,4,0.05,0.153486840861384
"129",26,4,8,0.05,0.110631170208645
"130",26,5,8,0.1,0.116977325756897
"131",27,1,8,0.1,0.074577025280415
"132",27,2,8,0.05,0.0921159753605806
"133",27,3,8,0,0.0720246010453977
"134",27,4,8,0.01,0.110044966129714
"135",27,5,8,0.01,0.0883572560063819
"136",28,1,8,1,0.171537590545721
"137",28,2,3,0.01,0.116225851375776
"138",28,3,8,0.05,0.109412642927008
"139",28,4,8,0.05,0.0777352059278107
"140",28,5,8,0.01,0.068328270033447
"141",29,1,0,0.05,0.670438680827856
"142",29,2,6,0.1,0.295459056345842
"143",29,3,4,0.01,0.281721620883337
"144",29,4,1,0.01,0.478343508075616
"145",29,5,8,0.05,0.224983757195505
"146",30,1,8,0.05,0.0830389200134616
"147",30,2,8,0.1,0.0898410970561646
"148",30,3,8,0.05,0.085656387731729
"149",30,4,8,0.05,0.140657671019239
"150",30,5,8,0.2,0.183473481556185
"151",31,1,8,0.2,0.152586592171809
"152",31,2,2,0,0.168754347913443
"153",31,3,4,0.01,0.12771751763177
"154",31,4,8,0.05,0.0974420891142626
"155",31,5,8,0.05,0.111307557386562
"156",32,1,8,0.2,0.214407210665459
"157",32,2,8,0.2,0.158112809925732
"158",32,3,8,0.05,0.105494565068828
"159",32,4,8,0.01,0.102634637059132
"160",32,5,8,0.05,0.0890699272059475
"161",33,1,8,0.5,0.354727176823044
"162",33,2,8,0.05,0.160374772742504
"163",33,3,8,0.1,0.212200470251003
"164",33,4,8,0.05,0.123023495628097
"165",33,5,8,0.1,0.126953693604169
"166",34,1,0.1,0.01,0.147371610398684
"167",34,2,8,0.2,0.29087334405602
"168",34,3,0.1,0,0.29579798162407
"169",34,4,4,0.05,0.143018043844455
"170",34,5,2,0.05,0.156599027300156
"171",35,1,8,0.1,0.108456349667627
"172",35,2,8,0.05,0.106157908283683
"173",35,3,8,0.1,0.129902990995343
"174",35,4,8,0.05,0.0944460041936383
"175",35,5,2,0,0.108651720046964
"176",36,1,8,0.1,0.213012444472672
"177",36,2,8,0.1,0.167352784755
"178",36,3,3,0.01,0.226737687987674
"179",36,4,4,0.05,0.160523689719145
"180",36,5,3,0.01,0.149786024931713
"181",37,1,8,0,0.133097251795959
"182",37,2,8,0.05,0.107783125730848
"183",37,3,6,0.05,0.126829567905641
"184",37,4,8,0.05,0.112214218613614
"185",37,5,8,0.05,0.09470598572309
"186",38,1,8,0,0.0803420180527477
"187",38,2,8,0.01,0.0794309502086206
"188",38,3,8,0.05,0.0877464403179536
"189",38,4,8,0.05,0.102887570957568
"190",38,5,8,0.1,0.148691189769273
"191",39,1,8,0.2,0.315968128985093
"192",39,2,2,0.01,0.209589503329832
"193",39,3,8,0.2,0.189863769378138
"194",39,4,8,0.05,0.154839490170865
"195",39,5,8,0.1,0.162760210563423
"196",40,1,8,0.1,0.129297517629221
"197",40,2,8,0.05,0.115355220046909
"198",40,3,8,0.05,0.0911609400115324
"199",40,4,8,0.05,0.102907828696669
"200",40,5,8,0.1,0.112345863126463
"201",41,1,8,0.1,0.114471231211414
"202",41,2,8,0.1,0.120800821276365
"203",41,3,8,0,0.105092357960745
"204",41,4,8,0.05,0.0913328865565911
"205",41,5,8,0.05,0.0786900223300836
"206",42,1,8,0.01,0.212414650307595
"207",42,2,3,0.01,0.137068323778466
"208",42,3,4,0,0.134450628477901
"209",42,4,8,0.01,0.0853755930473053
"210",42,5,8,0.05,0.0927762966675909
"211",43,1,8,0.05,0.0724470981880459
"212",43,2,8,0.05,0.071916007638413
"213",43,3,8,0.05,0.0817379131040788
"214",43,4,4,0.05,0.098222947829122
"215",43,5,4,0.05,0.098132915852219
"216",44,1,6,0.05,0.196800652055224
"217",44,2,4,0.01,0.124491913902416
"218",44,3,8,0.05,0.123303553075096
"219",44,4,8,0.05,0.0945828184955025
"220",44,5,8,0.05,0.105445075654482
"221",45,1,8,0.2,0.16445505102272
"222",45,2,8,0.05,0.110127383677199
"223",45,3,4,0.01,0.144923848507329
"224",45,4,8,0.05,0.118226878692699
"225",45,5,8,0.05,0.0854864845824873
"226",46,1,8,0.1,0.15113125419922
"227",46,2,8,0.1,0.104916857421595
"228",46,3,8,0.05,0.10903461254574
"229",46,4,8,0.05,0.0980494883541949
"230",46,5,8,0.1,0.109919524091331
"231",47,1,8,0.2,0.275183475904422
"232",47,2,6,0.01,0.115052614391869
"233",47,3,8,0.05,0.132768358138696
"234",47,4,8,0.01,0.0757397088089047
"235",47,5,8,0.05,0.0888314755913404
"236",48,1,4,0,0.0628365357798633
"237",48,2,4,0.01,0.0855540781573751
"238",48,3,8,0.05,0.0769043825235159
"239",48,4,8,0.05,0.070500577259524
"240",48,5,8,0.05,0.0887385761103738
"241",49,1,8,0.1,0.119136421568675
"242",49,2,0,0,0.0914854711783818
"243",49,3,8,0.05,0.10134299711157
"244",49,4,6,0.05,0.12911944560237
"245",49,5,1,0.01,0.15817774597441
"246",50,1,8,0.01,0.121752627331399
"247",50,2,6,0.01,0.104388903014331
"248",50,3,6,0.01,0.0857500831453006
"249",50,4,3,0.05,0.153588292902365
"250",50,5,2,0.05,0.227557835999743
