"","model","target","theta","lambda","rmse"
"1",1,1,8,1,0.3241078520647
"2",1,2,3,0.01,0.135536974229097
"3",1,3,4,0,0.112749006367329
"4",1,4,8,0.01,0.12534234039369
"5",1,5,8,0.01,0.0941274485055541
"6",2,1,8,1,0.471543044037493
"7",2,2,3,0.01,0.179542484978981
"8",2,3,8,0.2,0.205452484929828
"9",2,4,8,0.05,0.134506456988801
"10",2,5,8,0.05,0.141244595357383
"11",3,1,8,0.2,0.192085347483092
"12",3,2,3,0.01,0.143751949939607
"13",3,3,8,0.05,0.135832690753303
"14",3,4,8,0.01,0.0969479317520492
"15",3,5,8,0.05,0.125527125501911
"16",4,1,8,0.2,0.29147200817718
"17",4,2,6,0.05,0.149261664385372
"18",4,3,8,0.05,0.161379237797787
"19",4,4,8,0.01,0.0846430195738881
"20",4,5,6,0.01,0.0934566636234773
"21",5,1,8,0.2,0.229495362129573
"22",5,2,8,0.05,0.170454399879633
"23",5,3,4,0.01,0.130939349475183
"24",5,4,8,0.05,0.0928195588276691
"25",5,5,8,0.01,0.0960156230515074
"26",6,1,8,0.2,0.190746011402629
"27",6,2,4,0,0.138666616406415
"28",6,3,8,0.05,0.126856824440936
"29",6,4,8,0.01,0.0727293477006297
"30",6,5,8,0.01,0.0872109695934913
"31",7,1,0,0,0.146317380664556
"32",7,2,4,0.01,0.12837087485827
"33",7,3,3,0.01,0.240100031120558
"34",7,4,8,0.01,0.109723565831754
"35",7,5,8,0.05,0.154040160955503
"36",8,1,8,0.1,0.167673262585491
"37",8,2,2,0.01,0.206389662947697
"38",8,3,6,0,0.167725445701192
"39",8,4,8,0.01,0.123091779180883
"40",8,5,2,0,0.136273251566983
"41",9,1,3,0.05,0.253593009209976
"42",9,2,0.5,0.01,0.143324656711443
"43",9,3,1,0.01,0.170249708193903
"44",9,4,6,0.1,0.166861718886247
"45",9,5,8,0.05,0.13839143802691
"46",10,1,0,0.01,0.198348303506121
"47",10,2,8,0.05,0.202100014264203
"48",10,3,4,0.01,0.137631887225056
"49",10,4,6,0.01,0.117505120957868
"50",10,5,8,0.01,0.0839185000849076
"51",11,1,0,0.01,0.307863421442085
"52",11,2,4,0.01,0.116625431684186
"53",11,3,3,0.01,0.137931345230394
"54",11,4,8,0.01,0.0832785965256304
"55",11,5,8,0.01,0.0968375573396248
"56",12,1,8,0.1,0.279023675034859
"57",12,2,1,0,0.368675527145181
"58",12,3,8,0.1,0.224830896755176
"59",12,4,2,0.01,0.164771337937043
"60",12,5,4,0.01,0.163501980381743
"61",13,1,8,0.1,0.230926764173772
"62",13,2,1,0.01,0.151582926848722
"63",13,3,6,0.05,0.164497456006752
"64",13,4,1,0.01,0.188543406412674
"65",13,5,8,0.01,0.109882102725192
"66",14,1,4,0.05,0.474052508378549
"67",14,2,8,0.2,0.412042200261534
"68",14,3,0,0.01,0.285825505127575
"69",14,4,0.5,0,0.218935453537787
"70",14,5,0.5,0.01,0.203410380465623
"71",15,1,8,0.2,0.171730940428122
"72",15,2,1,0.01,0.1557683496684
"73",15,3,8,0.01,0.166423579421529
"74",15,4,8,0.1,0.189443259987054
"75",15,5,4,0.01,0.142007401428388
"76",16,1,8,0.01,0.105299794865476
"77",16,2,3,0.01,0.128231012035975
"78",16,3,2,0.01,0.12086232586985
"79",16,4,8,0.01,0.0900313378718515
"80",16,5,4,0.01,0.119249502330948
"81",17,1,8,0.2,0.180158762001054
"82",17,2,8,0.1,0.140840529551033
"83",17,3,8,0.05,0.131600900101323
"84",17,4,6,0.05,0.131083391707773
"85",17,5,8,0.01,0.0783077412772742
"86",18,1,8,0.1,0.175479161859298
"87",18,2,8,0.05,0.116805002746276
"88",18,3,4,0.01,0.108971538675456
"89",18,4,8,0.01,0.0878875014576216
"90",18,5,8,0,0.0838083905753189
"91",19,1,8,1,0.397598283985047
"92",19,2,8,0.1,0.215936995940132
"93",19,3,8,0.1,0.144216001970481
"94",19,4,4,0.01,0.139422290144698
"95",19,5,6,0.05,0.156966074982366
"96",20,1,0.5,0.01,0.328094210946119
"97",20,2,4,0.05,0.183728761814665
"98",20,3,1,0.01,0.167792363769104
"99",20,4,3,0.05,0.176296314764557
"100",20,5,0.5,0.05,0.338915760226488
"101",21,1,2,0.01,0.11136751570023
"102",21,2,2,0.01,0.109636452514972
"103",21,3,2,0.01,0.104973758744371
"104",21,4,4,0.05,0.155289821639648
"105",21,5,3,0.05,0.247761840248459
"106",22,1,8,0.2,0.159217653027008
"107",22,2,8,0.01,0.120469266416102
"108",22,3,6,0.01,0.115310196441504
"109",22,4,8,0.01,0.0986753708485632
"110",22,5,8,0.01,0.08905085852554
"111",23,1,8,0.1,0.183111319850396
"112",23,2,8,0.05,0.119170530334898
"113",23,3,3,0.01,0.20192770303631
"114",23,4,8,0.01,0.0856524996507436
"115",23,5,8,0.01,0.0999412036078097
"116",24,1,8,0.1,0.222117326913838
"117",24,2,6,0.01,0.0985852418358677
"118",24,3,4,0.01,0.133934429624404
"119",24,4,8,0.01,0.0746629016878838
"120",24,5,8,0.01,0.0966002498894866
"121",25,1,8,1,0.559154425242831
"122",25,2,8,0.05,0.219871114085914
"123",25,3,4,0.05,0.172220487571626
"124",25,4,6,0.05,0.154496022421696
"125",25,5,8,0.05,0.120777401563944
"126",26,1,0.5,0.01,0.143256143910843
"127",26,2,6,0.01,0.14069000145305
"128",26,3,2,0.01,0.153904075039653
"129",26,4,8,0.01,0.112873448855504
