"","model","target","theta","lambda","rmse"
"1",1,1,8,2,0.320908328174969
"2",1,2,8,0.1,0.1315628890685
"3",1,3,4,0.01,0.111742698854028
"4",1,4,8,0.1,0.120773344637201
"5",1,5,8,0.05,0.0935682902322146
"6",2,1,8,2,0.460491238715422
"7",2,2,8,0.1,0.178488595165962
"8",2,3,8,0.5,0.19768538444361
"9",2,4,6,0.05,0.134529143152248
"10",2,5,8,0.1,0.13702685807949
"11",3,1,8,1,0.181718261005298
"12",3,2,8,0.05,0.140307100552627
"13",3,3,8,0.1,0.132040221718885
"14",3,4,8,0.01,0.0974775256753839
"15",3,5,8,0.05,0.127149277828848
"16",4,1,8,0.5,0.280994095043307
"17",4,2,6,0.05,0.14786519885992
"18",4,3,8,0.1,0.159077851095053
"19",4,4,8,0.05,0.0862336189033469
"20",4,5,8,0.05,0.0894743589689773
"21",5,1,8,0.5,0.218849201269428
"22",5,2,8,0.2,0.163809110245945
"23",5,3,4,0.01,0.131320373200443
"24",5,4,8,0.1,0.0896410991783304
"25",5,5,8,0.05,0.096106328479361
"26",6,1,8,0.5,0.177755025765057
"27",6,2,4,0.01,0.138419348000083
"28",6,3,8,0.1,0.126135358339499
"29",6,4,8,0.05,0.0712681120292224
"30",6,5,8,0.1,0.082962772112075
"31",7,1,0,0,0.146317380664556
"32",7,2,8,0.1,0.125436743980583
"33",7,3,8,0.2,0.225686449244899
"34",7,4,8,0.05,0.107728928851354
"35",7,5,8,0.1,0.147245919471376
"36",8,1,8,0.5,0.171120538061121
"37",8,2,3,0.1,0.202983563344728
"38",8,3,8,0.2,0.155176563895226
"39",8,4,8,0.1,0.115924916519924
"40",8,5,3,0.05,0.134455165282603
"41",9,1,8,0.1,0.244863448832746
"42",9,2,0,0,0.143557144649047
"43",9,3,0.5,0,0.172493836601904
"44",9,4,8,0.5,0.166347467591789
"45",9,5,4,0.05,0.13731626146968
"46",10,1,8,0.5,0.194857645057135
"47",10,2,8,0.5,0.187797834103118
"48",10,3,3,0,0.138720947875108
"49",10,4,6,0.05,0.117026186151416
"50",10,5,8,0.05,0.082112701669259
"51",11,1,8,0.5,0.300566864966777
"52",11,2,8,0.1,0.114288703660529
"53",11,3,3,0.01,0.137081575377746
"54",11,4,8,0.01,0.0836244813370875
"55",11,5,8,0.05,0.0930700020668928
"56",12,1,8,0.5,0.266833826986699
"57",12,2,8,0.5,0.365689526910044
"58",12,3,8,0.2,0.220065232319661
"59",12,4,8,0.2,0.162047969583302
"60",12,5,4,0.05,0.163196668845885
"61",13,1,8,0.5,0.222693920698178
"62",13,2,0.1,0,0.152575755703537
"63",13,3,8,0.2,0.162437980600818
"64",13,4,0.5,0.01,0.189043340444136
"65",13,5,8,0.05,0.10837679213681
"66",14,1,8,0.5,0.468847482657685
"67",14,2,8,0.5,0.40632663450796
"68",14,3,0.1,0.01,0.289148021503977
