"","model","target","theta","lambda","rmse"
"1",1,1,0.5,0,0.340139306394371
"2",1,2,1,0,0.137115979468018
"3",1,3,2,0,0.112749849835465
"4",1,4,4,0,0.129382688439003
"5",1,5,3,0,0.0966797562601938
"6",2,1,0.1,0,0.500991409882189
"7",2,2,1,0,0.181241458269413
"8",2,3,0.1,0,0.211860163089678
"9",2,4,3,0,0.141039661101893
"10",2,5,6,0,0.148341809583438
"11",3,1,1,0,0.216431317437159
"12",3,2,2,0,0.145875745175877
"13",3,3,3,0,0.144257722210459
"14",3,4,4,0,0.0985383459627811
"15",3,5,3,0,0.132306872660718
"16",4,1,2,0,0.313394980518075
"17",4,2,2,0,0.150195680213263
"18",4,3,3,0,0.166108148878667
"19",4,4,4,0,0.0904837072875414
"20",4,5,3,0,0.0954054079362318
"21",5,1,8,0,0.233934144530198
"22",5,2,2,0,0.176715591195451
"23",5,3,2,0,0.131742490588267
"24",5,4,4,0,0.0991378778212934
"25",5,5,4,0,0.0997396279960393
"26",6,1,0.5,0,0.19742745674191
"27",6,2,2,0,0.138671795908648
"28",6,3,3,0,0.131741545553457
"29",6,4,4,0,0.0770565139332774
"30",6,5,6,0,0.0859732939093303
"31",7,1,0,0,0.146315702645871
"32",7,2,2,0,0.129818568502578
"33",7,3,0.5,0,0.24110464781832
"34",7,4,4,0,0.115700428946363
"35",7,5,4,0,0.157640578993418
"36",8,1,0.5,0,0.178802058979912
"37",8,2,0.5,0,0.206689526234166
"38",8,3,3,0,0.167761368549698
"39",8,4,3,0,0.12530237427358
"40",8,5,1,0,0.136301650204781
"41",9,1,3,0,0.256990602151752
"42",9,2,0,0,0.14353563339344
"43",9,3,0.5,0,0.172493841984866
"44",9,4,3,0,0.178261781071738
"45",9,5,2,0,0.141788141930624
"46",10,1,0,0,0.202540701098622
"47",10,2,3,0,0.212038442624409
"48",10,3,1,0,0.139339422088977
"49",10,4,2,0,0.118734525483479
"50",10,5,6,0,0.0862576456975853
"51",11,1,0.5,0,0.312934613043464
"52",11,2,2,0,0.118852451157776
"53",11,3,2,0,0.139145779563517
"54",11,4,4,0,0.0849662674318844
"55",11,5,4,0,0.099639523819028
"56",12,1,2,0,0.281875646900778
"57",12,2,0.5,0,0.368764406613277
"58",12,3,1,0,0.22814747393309
"59",12,4,0.5,0,0.166473324003584
"60",12,5,2,0,0.164239818787851
"61",13,1,0,0,0.240280594819388
"62",13,2,0,0,0.152510338383483
"63",13,3,1,0,0.168091884634987
"64",13,4,0.1,0,0.189344493242339
"65",13,5,4,0,0.114490253988344
"66",14,1,1,0,0.484240421721461
"67",14,2,1,0,0.441533542483629
"68",14,3,0,0,0.28916330142437
"69",14,4,0.1,0,0.218962831391191
"70",14,5,0,0,0.204492262552708
"71",15,1,0.5,0,0.200650147624416
"72",15,2,1,0,0.158216963541759
"73",15,3,4,0,0.172668068607571
"74",15,4,0.5,0,0.195092208077645
"75",15,5,2,0,0.144970584490951
"76",16,1,4,0,0.108477629520502
"77",16,2,2,0,0.130292400433652
"78",16,3,1,0,0.121178562226855
"79",16,4,3,0,0.0983653306137897
"80",16,5,2,0,0.120893542558269
"81",17,1,2,0,0.190616335895807
"82",17,2,2,0,0.145796666476038
"83",17,3,2,0,0.134867453373217
"84",17,4,3,0,0.133701464909254
"85",17,5,4,0,0.0820381392568982
"86",18,1,2,0,0.177304211130189
"87",18,2,2,0,0.120231819643164
"88",18,3,2,0,0.110032215567306
"89",18,4,4,0,0.0906743812122863
"90",18,5,4,0,0.0838295317702487
"91",19,1,1,0,0.410701947739031
"92",19,2,1,0,0.231748089184308
"93",19,3,1,0,0.148356643358536
"94",19,4,2,0,0.141703843552429
"95",19,5,2,0,0.167089064549162
"96",20,1,0.1,0,0.331041181117166
"97",20,2,0.1,0,0.184506323047749
"98",20,3,0.1,0,0.170863007028337
"99",20,4,1,0,0.183559722008993
"100",20,5,0,0,0.342143146601602
"101",21,1,0.5,0,0.114975608722474
"102",21,2,0.5,0,0.110381316962709
"103",21,3,0.5,0,0.110681526337864
"104",21,4,2,0,0.162051204911931
"105",21,5,1,0,0.251816765923685
"106",22,1,0,0,0.183455960181411
"107",22,2,6,0,0.11834626785937
"108",22,3,3,0,0.116526118594724
"109",22,4,6,0,0.0993332500218296
"110",22,5,4,0,0.0908535114725673
"111",23,1,0,0,0.19320566697473
"112",23,2,2,0,0.126386357420489
"113",23,3,1,0,0.203978860906593
"114",23,4,4,0,0.0879585436473914
"115",23,5,6,0,0.100941581466092
"116",24,1,0,0,0.227414132629909
"117",24,2,2,0,0.101639217667072
"118",24,3,2,0,0.134422823862385
"119",24,4,4,0,0.0777600231830242
"120",24,5,4,0,0.0984604255829452
"121",25,1,2,0,0.570122117370195
"122",25,2,4,0,0.229078894008249
"123",25,3,1,0,0.178318399492011
"124",25,4,2,0,0.15589389867534
"125",25,5,4,0,0.127777080871175
"126",26,1,0,0,0.144138878257946
"127",26,2,6,0,0.140836368476926
"128",26,3,1,0,0.156917925426205
"129",26,4,4,0,0.117344722173093
"130",26,5,3,0,0.13223416641536
"131",27,1,1,0,0.0777573380543021
"132",27,2,2,0,0.103277632527271
"133",27,3,6,0,0.0681262917188911
"134",27,4,3,0,0.111144292741059
"135",27,5,8,0,0.0876702543996954
"136",28,1,6,0,0.181015250050822
"137",28,2,2,0,0.117207114935486
"138",28,3,2,0,0.115781467508903
"139",28,4,4,0,0.0809333521668672
"140",28,5,4,0,0.0712281207360865
"141",29,1,0,0,0.674359896047296
"142",29,2,0,0,0.302222468156842
"143",29,3,2,0,0.283134541738702
"144",29,4,0.5,0,0.479568480991035
"145",29,5,4,0,0.23405892723695
"146",30,1,2,0,0.0867611954815894
"147",30,2,0.5,0,0.100406391495364
"148",30,3,6,0,0.0902360384491314
"149",30,4,2,0,0.148425430489184
"150",30,5,1,0,0.189575169727112
"151",31,1,4,0,0.179788293764536
"152",31,2,1,0,0.168761514163133
"153",31,3,2,0,0.127790516020138
"154",31,4,3,0,0.106468998419138
"155",31,5,3,0,0.11590372848962
"156",32,1,1,0,0.219877979691761
"157",32,2,1,0,0.170329906171121
"158",32,3,3,0,0.114075214013622
"159",32,4,4,0,0.103033674258403
"160",32,5,4,0,0.0964700998204164
"161",33,1,2,0,0.373730935065175
"162",33,2,4,0,0.171975830513059
"163",33,3,2,0,0.223765947429386
"164",33,4,2,0,0.126189939148615
"165",33,5,6,0,0.134236293158107
"166",34,1,0,0,0.148118868643348
"167",34,2,1,0,0.308349339543574
"168",34,3,0.1,0,0.295727929730481
"169",34,4,1,0,0.143950967837569
"170",34,5,1,0,0.158227838001643
"171",35,1,1,0,0.115088570800616
"172",35,2,2,0,0.108587499577183
"173",35,3,0.5,0,0.137005575140595
"174",35,4,4,0,0.100469863606178
"175",35,5,1,0,0.108712740466469
"176",36,1,4,0,0.22477593843005
"177",36,2,1,0,0.171223426226518
"178",36,3,1,0,0.228745759218767
"179",36,4,2,0,0.164531443667672
"180",36,5,2,0,0.150931985188879
"181",37,1,4,0,0.133078599910316
"182",37,2,4,0,0.11132169359647
"183",37,3,2,0,0.128486781379772
"184",37,4,4,0,0.119270429544941
"185",37,5,6,0,0.103223602569421
"186",38,1,4,0,0.0803393627665384
"187",38,2,6,0,0.0770633365455104
"188",38,3,2,0,0.0909110903861417
"189",38,4,4,0,0.109385351086392
"190",38,5,3,0,0.154697788860567
"191",39,1,4,0,0.326298344834121
"192",39,2,1,0,0.209589150956717
"193",39,3,1,0,0.19702240260737
"194",39,4,2,0,0.162521258389104
"195",39,5,2,0,0.17353256623262
"196",40,1,0,0,0.137270327182283
"197",40,2,3,0,0.126267368414537
"198",40,3,2,0,0.0954612732689947
"199",40,4,3,0,0.107007350669599
"200",40,5,2,0,0.119610165807099
"201",41,1,0,0,0.119736870779412
"202",41,2,6,0,0.127041179175906
"203",41,3,6,0,0.0982768824655861
"204",41,4,4,0,0.0928071160719344
"205",41,5,4,0,0.0837676760977734
"206",42,1,6,0,0.208703363814826
"207",42,2,2,0,0.13888250112292
"208",42,3,2,0,0.134445753148298
"209",42,4,4,0,0.0899599972542646
"210",42,5,4,0,0.0972858185462414
"211",43,1,0.5,0,0.0762455495017247
"212",43,2,2,0,0.0776934740808042
"213",43,3,0.5,0,0.08783777214867
"214",43,4,2,0,0.0998554594544126
"215",43,5,1,0,0.0993167522141071
"216",44,1,3,0,0.199544502734348
"217",44,2,2,0,0.126204887606336
"218",44,3,4,0,0.126409364234465
"219",44,4,4,0,0.104727203780182
"220",44,5,6,0,0.106247068843882
"221",45,1,0.5,0,0.16888940331911
"222",45,2,6,0,0.112369585150094
"223",45,3,2,0,0.145594580490206
"224",45,4,3,0,0.122390709091563
"225",45,5,4,0,0.0900717066958146
"226",46,1,4,0,0.159789056253934
"227",46,2,2,0,0.106951466527173
"228",46,3,6,0,0.118731752783211
"229",46,4,3,0,0.107791573666796
"230",46,5,3,0,0.115742710165696
"231",47,1,0.5,0,0.284723824140678
"232",47,2,2,0,0.116602450916306
"233",47,3,2,0,0.136383243248868
"234",47,4,6,0,0.0731659687904024
"235",47,5,4,0,0.0950013959835954
"236",48,1,2,0,0.0627894016364447
"237",48,2,2,0,0.0896808034071355
"238",48,3,8,0,0.0760446219487695
"239",48,4,2,0,0.0756194668301386
"240",48,5,4,0,0.0920778605931428
"241",49,1,0,0,0.122396180957598
"242",49,2,0,0,0.0916917968487375
"243",49,3,0.1,0,0.10285435544795
"244",49,4,3,0,0.138563181439256
"245",49,5,0.5,0,0.158596299310371
"246",50,1,6,0,0.12508258083808
"247",50,2,3,0,0.106458004730631
"248",50,3,2,0,0.0889119232256785
"249",50,4,0.5,0,0.156735190713699
"250",50,5,0.1,0,0.227986898511714
